timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
653683500,Zaglebie,Bologna,0,1,,,,0
653683500,Vejle,Admira,0,1,,,,0
653683500,Torpedo Moscow,GAIS,4,1,,,,0
653683500,Timisoara,Atl. Madrid,2,0,,,,0
653683500,Sporting CP,KV Mechelen,1,0,,,,0
653683500,Slavia Sofia,Omonia,2,1,,,,0
653683500,SK Rapid,Inter,2,1,,,,0
653683500,Sevilla,PAOK,0,0,,,,0
653683500,Roda,Monaco,1,3,,,,0
653683500,Partizani,Universitatea Craiova,0,1,,,,0
653683500,Norrkoping,FC Koln,0,0,,,,0
653683500,MTK Budapest,Luzern,1,1,,,,0
653683500,Magdeburg,Rovaniemi,0,0,,,,0
653683500,Lausanne,Real Sociedad,3,2,,,,0
653683500,Iraklis 1908,Valencia,0,0,,,,0
653683500,Hibernians,Partizan,0,3,,,,0
653683500,Hafnarfjordur,Dundee Utd,1,3,,,,0
653683500,Glenavon,Bordeaux,0,0,,,,0
653683500,GKS Katowice,TPS,3,0,,,,0
653683500,Fenerbahce,Vitoria Guimaraes,3,0,,,,0
653683500,Dortmund,Chemnitzer,2,0,,,,0
653683500,Dnipro,Hearts,1,1,,,,0
653683500,Derry City,Vitesse,0,1,,,,0
653683500,Ch. Odesa,Rosenborg,3,1,,,,0
653683500,Brondby,Eintracht Frankfurt,5,0,,,,0
653683500,Bayer Leverkusen,Twente,1,0,,,,0
653683500,Avenir Beggen,I. Bratislava,2,1,,,,0
653683500,Atalanta,D. Zagreb,0,0,,,,0
653683500,Aston Villa,Ostrava,3,1,,,,0
653683500,AS Roma,Benfica,1,0,,,,0
653683500,Antwerp,Ferencvaros,0,0,,,,0
653683500,Anderlecht,Petrolul,2,0,,,,0
654896700,Vitoria Guimaraes,Fenerbahce,2,3,,,,0
654896700,Vitesse,Derry City,0,0,,,,0
654896700,Valencia,Iraklis 1908,0,0,AET,2,0,0
654896700,Universitatea Craiova,Partizani,1,0,,,,0
654896700,Twente,Bayer Leverkusen,1,0,AET,1,1,0
654896700,TPS,GKS Katowice,0,1,,,,0
654896700,Rovaniemi,Magdeburg,0,1,,,,0
654896700,Rosenborg,Ch. Odesa,2,1,,,,0
654896700,Real Sociedad,Lausanne,1,0,,,,0
654896700,Petrolul,Anderlecht,0,2,,,,0
654896700,Partizan,Hibernians,2,0,,,,0
654896700,PAOK,Sevilla,0,0,Pen,0,1,0
654896700,Ostrava,Aston Villa,1,2,,,,0
654896700,Omonia,Slavia Sofia,2,1,AET,4,2,0
654896700,Monaco,Roda,3,1,,,,0
654896700,Luzern,MTK Budapest,2,1,,,,0
654896700,KV Mechelen,Sporting CP,2,2,,,,0
654896700,Inter,SK Rapid,2,1,AET,3,1,0
654896700,I. Bratislava,Avenir Beggen,5,0,,,,0
654896700,Hearts,Dnipro,3,1,,,,0
654896700,GAIS,Torpedo Moscow,1,1,,,,0
654896700,Ferencvaros,Antwerp,0,0,AET,3,1,0
654896700,FC Koln,Norrkoping,3,1,,,,0
654896700,Eintracht Frankfurt,Brondby,4,1,,,,0
654896700,Dundee Utd,Hafnarfjordur,2,2,,,,0
654896700,D. Zagreb,Atalanta,1,1,,,,0
654896700,Chemnitzer,Dortmund,0,2,,,,0
654896700,Bordeaux,Glenavon,2,0,,,,0
654896700,Bologna,Zaglebie,1,0,,,,0
654896700,Benfica,AS Roma,0,1,,,,0
654896700,Atl. Madrid,Timisoara,1,0,,,,0
654896700,Admira,Vejle,3,0,,,,0
656711100,Magdeburg,Bordeaux,0,1,,,,0
656797500,Vitesse,Dundee Utd,1,0,,,,0
656797500,Valencia,AS Roma,1,1,,,,0
656797500,Universitatea Craiova,Dortmund,0,3,,,,0
656797500,Torpedo Moscow,Sevilla,3,1,,,,0
656797500,Sporting CP,Timisoara,7,0,,,,0
656797500,Real Sociedad,Partizan,1,0,,,,0
656797500,Omonia,Anderlecht,1,1,,,,0
