timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
894204000,TB Tvoroyri,VB Vagur,4QTKNxoo,IazCAdFa,2,2,,,,0
894204000,Sumba,Toftir,4bol1O2c,Sdd6AGnq,1,2,,,,0
894204000,NSI Runavik,Vikingur,hhkDzDYF,xScZ0U2I,3,1,,,,0
894204000,IF Fuglafjordur,Klaksvik,nTLUUUol,GnA0fkqU,0,0,,,,0
894204000,B36 Torshavn,HB Torshavn,ljgDYnD5,lGvMSKuF,0,1,,,,0
894808800,VB Vagur,NSI Runavik,IazCAdFa,hhkDzDYF,0,5,,,,0
894808800,Toftir,Vikingur,Sdd6AGnq,xScZ0U2I,0,1,,,,0
894808800,Sumba,IF Fuglafjordur,4bol1O2c,nTLUUUol,1,0,,,,0
894808800,Klaksvik,B36 Torshavn,GnA0fkqU,ljgDYnD5,1,1,,,,0
894808800,HB Torshavn,TB Tvoroyri,lGvMSKuF,4QTKNxoo,4,3,,,,0
895413600,Vikingur,VB Vagur,xScZ0U2I,IazCAdFa,0,2,,,,0
895413600,TB Tvoroyri,Klaksvik,4QTKNxoo,GnA0fkqU,1,3,,,,0
895413600,NSI Runavik,HB Torshavn,hhkDzDYF,lGvMSKuF,0,4,,,,0
895413600,IF Fuglafjordur,Toftir,nTLUUUol,Sdd6AGnq,2,2,,,,0
895413600,B36 Torshavn,Sumba,ljgDYnD5,4bol1O2c,6,2,,,,0
896018400,Toftir,VB Vagur,Sdd6AGnq,IazCAdFa,2,1,,,,0
896018400,Sumba,TB Tvoroyri,4bol1O2c,4QTKNxoo,3,2,,,,0
896018400,Klaksvik,NSI Runavik,GnA0fkqU,hhkDzDYF,4,1,,,,0
896018400,IF Fuglafjordur,B36 Torshavn,nTLUUUol,ljgDYnD5,0,0,,,,0
896018400,HB Torshavn,Vikingur,lGvMSKuF,xScZ0U2I,3,0,,,,0
896709600,Vikingur,Klaksvik,xScZ0U2I,GnA0fkqU,2,2,,,,0
896709600,VB Vagur,HB Torshavn,IazCAdFa,lGvMSKuF,1,1,,,,0
896709600,TB Tvoroyri,IF Fuglafjordur,4QTKNxoo,nTLUUUol,2,2,,,,0
896709600,NSI Runavik,Sumba,hhkDzDYF,4bol1O2c,3,0,,,,0
896709600,B36 Torshavn,Toftir,ljgDYnD5,Sdd6AGnq,2,1,,,,0
897228000,Toftir,HB Torshavn,Sdd6AGnq,lGvMSKuF,0,0,,,,0
897228000,Sumba,Vikingur,4bol1O2c,xScZ0U2I,1,1,,,,0
897228000,Klaksvik,VB Vagur,GnA0fkqU,IazCAdFa,2,1,,,,0
897228000,IF Fuglafjordur,NSI Runavik,nTLUUUol,hhkDzDYF,1,1,,,,0
897228000,B36 Torshavn,TB Tvoroyri,ljgDYnD5,4QTKNxoo,7,0,,,,0
897487200,IF Fuglafjordur,VB Vagur,nTLUUUol,IazCAdFa,2,5,,,,0
897832800,Vikingur,IF Fuglafjordur,xScZ0U2I,nTLUUUol,3,1,,,,0
897832800,VB Vagur,Sumba,IazCAdFa,4bol1O2c,2,0,,,,0
897832800,TB Tvoroyri,Toftir,4QTKNxoo,Sdd6AGnq,0,5,,,,0
897832800,NSI Runavik,B36 Torshavn,hhkDzDYF,ljgDYnD5,2,0,,,,0
897832800,HB Torshavn,Klaksvik,lGvMSKuF,GnA0fkqU,4,0,,,,0
898437600,Toftir,Klaksvik,Sdd6AGnq,GnA0fkqU,1,5,,,,0
898437600,TB Tvoroyri,NSI Runavik,4QTKNxoo,hhkDzDYF,2,2,,,,0
898437600,Sumba,HB Torshavn,4bol1O2c,lGvMSKuF,1,2,,,,0
898437600,B36 Torshavn,Vikingur,ljgDYnD5,xScZ0U2I,1,1,,,,0
899042400,Vikingur,TB Tvoroyri,xScZ0U2I,4QTKNxoo,3,0,,,,0
899042400,NSI Runavik,Toftir,hhkDzDYF,Sdd6AGnq,4,1,,,,0
899042400,Klaksvik,Sumba,GnA0fkqU,4bol1O2c,4,1,,,,0
899042400,HB Torshavn,IF Fuglafjordur,lGvMSKuF,nTLUUUol,3,2,,,,0
899560800,VB Vagur,B36 Torshavn,IazCAdFa,ljgDYnD5,1,1,,,,0
902066400,Vikingur,NSI Runavik,xScZ0U2I,hhkDzDYF,5,1,,,,0
902066400,VB Vagur,TB Tvoroyri,IazCAdFa,4QTKNxoo,0,0,,,,0
902066400,Toftir,Sumba,Sdd6AGnq,4bol1O2c,6,0,,,,0
902066400,Klaksvik,IF Fuglafjordur,GnA0fkqU,nTLUUUol,2,0,,,,0
902152800,HB Torshavn,B36 Torshavn,lGvMSKuF,ljgDYnD5,2,3,,,,0
902584800,Vikingur,Toftir,xScZ0U2I,Sdd6AGnq,2,2,,,,0
902584800,TB Tvoroyri,HB Torshavn,4QTKNxoo,lGvMSKuF,1,4,,,,0
902584800,NSI Runavik,VB Vagur,hhkDzDYF,IazCAdFa,4,1,,,,0
902584800,IF Fuglafjordur,Sumba,nTLUUUol,4bol1O2c,6,0,,,,0
902584800,B36 Torshavn,Klaksvik,ljgDYnD5,GnA0fkqU,3,2,,,,0
903189600,VB Vagur,Vikingur,IazCAdFa,xScZ0U2I,3,1,,,,0
903189600,Toftir,IF Fuglafjordur,Sdd6AGnq,nTLUUUol,3,3,,,,0
903189600,Sumba,B36 Torshavn,4bol1O2c,ljgDYnD5,0,10,,,,0
903189600,Klaksvik,TB Tvoroyri,GnA0fkqU,4QTKNxoo,10,0,,,,0
903189600,HB Torshavn,NSI Runavik,lGvMSKuF,hhkDzDYF,2,1,,,,0
903794400,TB Tvoroyri,Sumba,4QTKNxoo,4bol1O2c,2,2,,,,0
903880800,Vikingur,HB Torshavn,xScZ0U2I,lGvMSKuF,1,3,,,,0
903880800,VB Vagur,Toftir,IazCAdFa,Sdd6AGnq,3,1,,,,0
903880800,NSI Runavik,Klaksvik,hhkDzDYF,GnA0fkqU,0,0,,,,0
903880800,B36 Torshavn,IF Fuglafjordur,ljgDYnD5,nTLUUUol,7,2,,,,0
904485600,Toftir,B36 Torshavn,Sdd6AGnq,ljgDYnD5,2,3,,,,0
904485600,Sumba,NSI Runavik,4bol1O2c,hhkDzDYF,1,6,,,,0
904485600,Klaksvik,Vikingur,GnA0fkqU,xScZ0U2I,4,2,,,,0
904485600,IF Fuglafjordur,TB Tvoroyri,nTLUUUol,4QTKNxoo,1,2,,,,0
904485600,HB Torshavn,VB Vagur,lGvMSKuF,IazCAdFa,5,1,,,,0
905608800,TB Tvoroyri,B36 Torshavn,4QTKNxoo,ljgDYnD5,0,3,,,,0
