timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1332604800,B36 Torshavn,FC Suduroy,1,0,,,,0
1332683100,TB Tvoroyri,Vikingur,0,2,,,,0
1332684000,Streymur,Klaksvik,1,1,,,,0
1332684000,IF Fuglafjordur,NSI Runavik,2,1,,,,0
1332684000,HB Torshavn,Toftir,4,0,,,,0
1333125000,Vikingur,Streymur,2,1,,,,0
1333206000,Toftir,IF Fuglafjordur,0,2,,,,0
1333287900,FC Suduroy,HB Torshavn,0,1,,,,0
1333288800,NSI Runavik,TB Tvoroyri,2,0,,,,0
1333288800,Klaksvik,B36 Torshavn,0,2,,,,0
1333634400,Vikingur,Toftir,2,0,,,,0
1333634400,NSI Runavik,FC Suduroy,0,0,,,,0
1333634400,Klaksvik,HB Torshavn,1,1,,,,0
1333634400,B36 Torshavn,IF Fuglafjordur,1,1,,,,0
1333638000,Streymur,TB Tvoroyri,1,1,,,,0
1334497500,TB Tvoroyri,B36 Torshavn,1,4,,,,0
1334498400,Toftir,NSI Runavik,3,2,,,,0
1334498400,Streymur,FC Suduroy,3,0,,,,0
1334498400,IF Fuglafjordur,Klaksvik,2,0,,,,0
1334498400,HB Torshavn,Vikingur,1,1,,,,0
1335016800,NSI Runavik,HB Torshavn,2,4,,,,0
1335016800,IF Fuglafjordur,Vikingur,1,2,,,,0
1335016800,B36 Torshavn,Streymur,1,2,,,,0
1335018600,FC Suduroy,Toftir,0,1,,,,0
1335024000,Klaksvik,TB Tvoroyri,0,0,,,,0
1335628800,Klaksvik,NSI Runavik,3,2,,,,0
1335708000,TB Tvoroyri,IF Fuglafjordur,1,0,,,,0
1335708000,Streymur,HB Torshavn,2,2,,,,0
1335708000,B36 Torshavn,Toftir,1,2,,,,0
1335711600,Vikingur,FC Suduroy,4,0,,,,0
1336143600,NSI Runavik,Vikingur,0,2,,,,0
1336150800,HB Torshavn,B36 Torshavn,2,1,,,,0
1336226400,Toftir,Klaksvik,0,2,,,,0
1336226400,IF Fuglafjordur,Streymur,1,2,,,,0
1336226400,FC Suduroy,TB Tvoroyri,1,1,,,,0
1336831200,TB Tvoroyri,Toftir,3,1,,,,0
1336838400,HB Torshavn,IF Fuglafjordur,1,2,,,,0
1336917600,Streymur,NSI Runavik,1,0,,,,0
1336917600,Klaksvik,FC Suduroy,5,1,,,,0
1336917600,B36 Torshavn,Vikingur,3,0,,,,0
1337436000,TB Tvoroyri,HB Torshavn,4,2,,,,0
1337443200,Toftir,Streymur,1,2,,,,0
1337522400,Vikingur,Klaksvik,0,1,,,,0
1337522400,NSI Runavik,B36 Torshavn,3,1,,,,0
1337522400,FC Suduroy,IF Fuglafjordur,0,6,,,,0
1338212700,FC Suduroy,NSI Runavik,0,2,,,,0
1338213600,Toftir,Vikingur,1,1,,,,0
1338213600,TB Tvoroyri,Streymur,0,3,,,,0
1338213600,IF Fuglafjordur,B36 Torshavn,1,1,,,,0
1338213600,HB Torshavn,Klaksvik,5,0,,,,0
1339250400,NSI Runavik,Klaksvik,0,2,,,,0
1339335900,FC Suduroy,Vikingur,1,1,,,,0
1339336800,Toftir,B36 Torshavn,1,1,,,,0
1339336800,IF Fuglafjordur,TB Tvoroyri,1,1,,,,0
1339336800,HB Torshavn,Streymur,0,1,,,,0
1339610400,Vikingur,NSI Runavik,1,1,,,,0
1339610400,TB Tvoroyri,FC Suduroy,3,0,,,,0
1339610400,Streymur,IF Fuglafjordur,2,1,,,,0
1339610400,Klaksvik,Toftir,3,0,,,,0
1339611300,B36 Torshavn,HB Torshavn,1,0,,,,0
1339855200,B36 Torshavn,Klaksvik,2,3,,,,0
1339866000,Streymur,Vikingur,0,1,,,,0
1339941600,TB Tvoroyri,NSI Runavik,1,3,,,,0
1339941600,IF Fuglafjordur,Toftir,2,0,,,,0
1339941600,HB Torshavn,FC Suduroy,6,0,,,,0
1340472600,FC Suduroy,Streymur,0,2,,,,0
1340546400,Vikingur,HB Torshavn,2,2,,,,0
1340546400,NSI Runavik,Toftir,0,2,,,,0
1340546400,Klaksvik,IF Fuglafjordur,1,0,,,,0
1340546400,B36 Torshavn,TB Tvoroyri,2,2,,,,0
1340991000,NSI Runavik,Streymur,1,0,,,,0
1340992800,Vikingur,B36 Torshavn,3,2,,,,0
1341064800,IF Fuglafjordur,HB Torshavn,2,0,,,,0
1341064800,FC Suduroy,Klaksvik,1,4,,,,0
1341072600,Toftir,TB Tvoroyri,1,1,,,,0
1342965600,Toftir,FC Suduroy,2,0,,,,0
1342965600,TB Tvoroyri,Klaksvik,1,6,,,,0
1342965600,Streymur,B36 Torshavn,1,1,,,,0
1342965600,HB Torshavn,NSI Runavik,2,4,,,,0
1343412000,Streymur,Toftir,0,0,,,,0
1343412000,Klaksvik,Vikingur,3,3,,,,0
1343415600,IF Fuglafjordur,FC Suduroy,3,2,,,,0
1343494800,HB Torshavn,TB Tvoroyri,4,1,,,,0
1343574000,B36 Torshavn,NSI Runavik,5,1,,,,0
1343844000,Vikingur,IF Fuglafjordur,1,4,,,,0
1344013200,Klaksvik,Streymur,1,3,,,,0
1344096000,Toftir,HB Torshavn,1,2,,,,0
1344175200,Vikingur,TB Tvoroyri,1,0,,,,0
1344175200,NSI Runavik,IF Fuglafjordur,1,2,,,,0
1344175200,FC Suduroy,B36 Torshavn,0,2,,,,0
1344618000,HB Torshavn,Vikingur,0,0,,,,0
1344693600,TB Tvoroyri,B36 Torshavn,0,0,,,,0
1344693600,Streymur,FC Suduroy,4,2,,,,0
1344700800,Toftir,NSI Runavik,1,1,,,,0
1344704400,IF Fuglafjordur,Klaksvik,5,2,,,,0
1345302000,Vikingur,Toftir,2,0,,,,0
1345384800,Streymur,TB Tvoroyri,3,2,,,,0
1345384800,NSI Runavik,FC Suduroy,5,1,,,,0
1345384800,Klaksvik,HB Torshavn,1,2,,,,0
1345384800,B36 Torshavn,IF Fuglafjordur,0,2,,,,0
1346259600,Toftir,Klaksvik,1,3,,,,0
1346259600,NSI Runavik,Vikingur,1,0,,,,0
1346259600,IF Fuglafjordur,Streymur,1,1,,,,0
1346259600,HB Torshavn,B36 Torshavn,2,0,,,,0
1346263200,FC Suduroy,TB Tvoroyri,1,0,,,,0
1346594400,Vikingur,FC Suduroy,3,1,,,,0
1346594400,TB Tvoroyri,IF Fuglafjordur,1,2,,,,0
1346594400,Streymur,HB Torshavn,3,2,,,,0
1346594400,Klaksvik,NSI Runavik,2,1,,,,0
1346594400,B36 Torshavn,Toftir,1,0,,,,0
1347463800,Klaksvik,TB Tvoroyri,1,1,,,,0
1347467400,Vikingur,IF Fuglafjordur,0,3,,,,0
1347467400,FC Suduroy,Toftir,2,1,,,,0
1347469200,NSI Runavik,HB Torshavn,2,0,,,,0
1347469200,B36 Torshavn,Streymur,1,4,,,,0
1347726600,B36 Torshavn,FC Suduroy,3,1,,,,0
1347804000,TB Tvoroyri,Vikingur,2,2,,,,0
1347804000,Streymur,Klaksvik,1,1,,,,0
1347804000,IF Fuglafjordur,NSI Runavik,3,1,,,,0
1347804000,HB Torshavn,Toftir,4,0,,,,0
1348407900,Vikingur,Streymur,2,3,,,,0
1348407900,Toftir,IF Fuglafjordur,0,0,,,,0
1348407900,NSI Runavik,TB Tvoroyri,0,1,,,,0
1348407900,Klaksvik,B36 Torshavn,3,4,,,,0
1348407900,FC Suduroy,HB Torshavn,0,4,,,,0
1348930800,Vikingur,Klaksvik,4,3,,,,0
1348930800,Toftir,Streymur,0,1,,,,0
1348930800,NSI Runavik,B36 Torshavn,0,0,,,,0
1348930800,HB Torshavn,TB Tvoroyri,3,1,,,,0
1348930800,FC Suduroy,IF Fuglafjordur,1,4,,,,0
1349532000,TB Tvoroyri,Toftir,1,4,,,,0
1349532000,Streymur,NSI Runavik,3,2,,,,0
1349532000,Klaksvik,FC Suduroy,7,1,,,,0
