timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1459594800,HJK,Mariehamn,xO7wlFSD,xv6lkb7q,2,0,,,,0
1459605600,PK-35 Vantaa,Rovaniemi,fXc0KYv8,zVgW5cY1,3,4,,,,0
1460129400,HJK,VPS,xO7wlFSD,WYtEUtB2,3,1,,,,0
1460206800,PS Kemi,SJK,EN9GWMfm,nNbzs3cc,3,0,Awrd,,,0
1460206800,PK-35 Vantaa,HIFK,fXc0KYv8,S6wQRveL,0,2,,,,0
1460206800,Mariehamn,Rovaniemi,xv6lkb7q,zVgW5cY1,1,0,,,,0
1460206800,KuPS,Ilves,MPMRnwYF,OMIIvzhg,0,1,,,,0
1460206800,Inter Turku,Lahti,lGvMSKuF,tGlVXFkM,1,1,,,,0
1460647800,SJK,Mariehamn,nNbzs3cc,xv6lkb7q,0,1,,,,0
1460647800,Rovaniemi,HJK,zVgW5cY1,xO7wlFSD,2,2,,,,0
1460647800,KuPS,PK-35 Vantaa,MPMRnwYF,fXc0KYv8,2,3,,,,0
1460647800,HIFK,Inter Turku,S6wQRveL,lGvMSKuF,1,2,,,,0
1460894400,PS Kemi,Mariehamn,EN9GWMfm,xv6lkb7q,1,2,,,,0
1460898000,PK-35 Vantaa,VPS,fXc0KYv8,WYtEUtB2,0,2,,,,0
1460993400,Lahti,HIFK,tGlVXFkM,S6wQRveL,2,2,,,,0
1460993400,Inter Turku,KuPS,lGvMSKuF,MPMRnwYF,3,1,,,,0
1460993400,HJK,SJK,xO7wlFSD,nNbzs3cc,2,1,,,,0
1461502800,VPS,Inter Turku,WYtEUtB2,lGvMSKuF,0,0,,,,0
1461502800,SJK,Ilves,nNbzs3cc,OMIIvzhg,0,2,,,,0
1461502800,Rovaniemi,PK-35 Vantaa,zVgW5cY1,fXc0KYv8,1,0,,,,0
1461502800,KuPS,Lahti,MPMRnwYF,tGlVXFkM,2,0,,,,0
1461504600,Mariehamn,HJK,xv6lkb7q,xO7wlFSD,0,0,,,,0
