timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1218308400,Valenciennes,St Etienne,GU4hlIMk,8Ca53MKO,1,0,,,,0
1218308400,Sochaux,Grenoble,GU4hlIMk,Q1gteDfA,1,2,,,,0
1218308400,Rennes,Marseille,Y5eozcI6,voNnDKJK,4,4,,,,0
1218308400,Nancy,Lille,Q15G9lAm,UDticXKP,0,0,,,,0
1218308400,Monaco,PSG,44KQTmnj,A7UDDuOO,1,0,,,,0
1218308400,Le Mans,Lorient,pztT5vMl,GU4hlIMk,0,1,,,,0
1218308400,Le Havre,Nice,W0g3UmAF,00sqJmg8,1,0,,,,0
1218308400,Bordeaux,Caen,6BghNX0a,GUflEdQm,2,1,,,,0
1218308400,Auxerre,Nantes,tY3UBVrm,YBWLmubi,2,1,,,,0
1218394800,Lyon,Toulouse,GU4hlIMk,COxgbCEm,3,0,,,,0
1218906000,Toulouse,Le Havre,COxgbCEm,W0g3UmAF,2,1,,,,0
1218906000,St Etienne,Sochaux,8Ca53MKO,GU4hlIMk,2,1,,,,0
1218906000,Nice,Nancy,00sqJmg8,Q15G9lAm,2,1,,,,0
1218906000,Nantes,Monaco,YBWLmubi,44KQTmnj,1,1,,,,0
1218906000,Lille,Le Mans,UDticXKP,pztT5vMl,1,3,,,,0
1218906000,Caen,Valenciennes,GUflEdQm,GU4hlIMk,3,1,,,,0
1218913200,PSG,Bordeaux,A7UDDuOO,6BghNX0a,1,0,,,,0
1218981600,Lorient,Lyon,GU4hlIMk,GU4hlIMk,0,0,,,,0
1218981600,Grenoble,Rennes,Q1gteDfA,Y5eozcI6,1,0,,,,0
1218999600,Marseille,Auxerre,voNnDKJK,tY3UBVrm,4,0,,,,0
1219510800,Valenciennes,Lorient,GU4hlIMk,GU4hlIMk,3,1,,,,0
1219510800,Sochaux,PSG,GU4hlIMk,A7UDDuOO,1,1,,,,0
1219510800,Nancy,Toulouse,Q15G9lAm,COxgbCEm,0,0,,,,0
1219510800,Monaco,Caen,44KQTmnj,GUflEdQm,1,1,,,,0
1219510800,Le Mans,St Etienne,pztT5vMl,8Ca53MKO,1,0,,,,0
1219510800,Le Havre,Marseille,W0g3UmAF,voNnDKJK,0,1,,,,0
1219518000,Lyon,Grenoble,GU4hlIMk,Q1gteDfA,2,0,,,,0
1219586400,Rennes,Lille,Y5eozcI6,UDticXKP,2,1,,,,0
1219586400,Auxerre,Nice,tY3UBVrm,00sqJmg8,0,1,,,,0
1219604400,Bordeaux,Nantes,6BghNX0a,YBWLmubi,2,0,,,,0
1220115600,Nice,Valenciennes,00sqJmg8,GU4hlIMk,2,0,,,,0
1220115600,Nantes,Le Mans,YBWLmubi,pztT5vMl,1,4,,,,0
1220115600,Nancy,Le Havre,Q15G9lAm,W0g3UmAF,2,1,,,,0
1220115600,Lorient,Auxerre,GU4hlIMk,tY3UBVrm,0,2,,,,0
1220115600,Grenoble,Monaco,Q1gteDfA,44KQTmnj,1,0,,,,0
1220115600,Caen,PSG,GUflEdQm,A7UDDuOO,0,1,,,,0
1220122800,Marseille,Sochaux,voNnDKJK,GU4hlIMk,2,1,,,,0
1220194800,Toulouse,Rennes,COxgbCEm,Y5eozcI6,0,0,,,,0
1220194800,Lille,Bordeaux,UDticXKP,6BghNX0a,2,1,,,,0
1220209200,St Etienne,Lyon,8Ca53MKO,GU4hlIMk,0,1,,,,0
1221325200,Valenciennes,Grenoble,GU4hlIMk,Q1gteDfA,1,1,,,,0
1221325200,Rennes,Le Havre,Y5eozcI6,W0g3UmAF,1,1,,,,0
1221325200,Monaco,Lorient,44KQTmnj,GU4hlIMk,2,0,,,,0
1221325200,Lyon,Nice,GU4hlIMk,00sqJmg8,3,2,,,,0
1221325200,Le Mans,Toulouse,pztT5vMl,COxgbCEm,1,2,,,,0
1221325200,Auxerre,Nancy,tY3UBVrm,Q15G9lAm,1,1,,,,0
1221332400,Bordeaux,Marseille,6BghNX0a,voNnDKJK,1,1,,,,0
1221404400,Sochaux,Lille,GU4hlIMk,UDticXKP,1,1,,,,0
1221404400,Caen,St Etienne,GUflEdQm,8Ca53MKO,2,0,,,,0
1221418800,PSG,Nantes,A7UDDuOO,YBWLmubi,1,0,,,,0
1221930000,Toulouse,Sochaux,COxgbCEm,GU4hlIMk,2,1,,,,0
1221930000,Nantes,Valenciennes,YBWLmubi,GU4hlIMk,2,0,,,,0
1221930000,Lorient,Caen,GU4hlIMk,GUflEdQm,1,1,,,,0
1221930000,Lille,Auxerre,UDticXKP,tY3UBVrm,3,2,,,,0
1221930000,Le Havre,Lyon,W0g3UmAF,GU4hlIMk,0,1,,,,0
1221930000,Grenoble,Bordeaux,Q1gteDfA,6BghNX0a,0,1,,,,0
1221937200,Nice,Le Mans,00sqJmg8,pztT5vMl,2,2,,,,0
1222009200,St Etienne,PSG,8Ca53MKO,A7UDDuOO,1,0,,,,0
1222009200,Nancy,Rennes,Q15G9lAm,Y5eozcI6,0,0,,,,0
1222023600,Marseille,Monaco,voNnDKJK,44KQTmnj,0,0,,,,0
1222534800,Sochaux,Lorient,GU4hlIMk,GU4hlIMk,1,1,,,,0
1222534800,Rennes,Nice,Y5eozcI6,00sqJmg8,1,0,,,,0
1222534800,Lyon,Nancy,GU4hlIMk,Q15G9lAm,2,1,,,,0
1222534800,Le Mans,Marseille,pztT5vMl,voNnDKJK,1,1,,,,0
1222534800,Caen,Nantes,GUflEdQm,YBWLmubi,3,0,,,,0
1222534800,Auxerre,Le Havre,tY3UBVrm,W0g3UmAF,3,0,,,,0
1222542000,PSG,Grenoble,A7UDDuOO,Q1gteDfA,0,1,,,,0
1222614000,Valenciennes,Toulouse,GU4hlIMk,COxgbCEm,0,1,,,,0
1222614000,Monaco,Lille,44KQTmnj,UDticXKP,0,2,,,,0
1222628400,Bordeaux,St Etienne,6BghNX0a,8Ca53MKO,1,1,,,,0
1223139600,Toulouse,Auxerre,COxgbCEm,tY3UBVrm,1,0,,,,0
1223139600,Nice,Sochaux,00sqJmg8,GU4hlIMk,1,1,,,,0
1223139600,Marseille,Caen,voNnDKJK,GUflEdQm,2,1,,,,0
1223139600,Lorient,Bordeaux,GU4hlIMk,6BghNX0a,1,2,,,,0
1223139600,Le Havre,Le Mans,W0g3UmAF,pztT5vMl,1,2,,,,0
1223139600,Grenoble,Nantes,Q1gteDfA,YBWLmubi,0,1,,,,0
1223146800,Lille,Valenciennes,UDticXKP,GU4hlIMk,1,0,,,,0
1223218800,St Etienne,Monaco,8Ca53MKO,44KQTmnj,2,0,,,,0
1223218800,Rennes,Lyon,Y5eozcI6,GU4hlIMk,3,0,,,,0
1223233200,Nancy,PSG,Q15G9lAm,A7UDDuOO,1,1,,,,0
1224349200,Sochaux,Le Havre,GU4hlIMk,W0g3UmAF,1,1,,,,0
1224349200,PSG,Lorient,A7UDDuOO,GU4hlIMk,3,2,,,,0
1224349200,Nantes,St Etienne,YBWLmubi,8Ca53MKO,1,0,,,,0
1224349200,Monaco,Nice,44KQTmnj,00sqJmg8,1,2,,,,0
1224349200,Caen,Grenoble,GUflEdQm,Q1gteDfA,2,2,,,,0
1224349200,Bordeaux,Toulouse,6BghNX0a,COxgbCEm,2,1,,,,0
1224356400,Lyon,Lille,GU4hlIMk,UDticXKP,2,2,,,,0
1224428400,Le Mans,Nancy,pztT5vMl,Q15G9lAm,2,0,,,,0
1224428400,Auxerre,Rennes,tY3UBVrm,Y5eozcI6,0,0,,,,0
1224442800,Valenciennes,Marseille,GU4hlIMk,voNnDKJK,1,3,,,,0
1224954000,Rennes,Le Mans,Y5eozcI6,pztT5vMl,2,2,,,,0
1224954000,Nice,Bordeaux,00sqJmg8,6BghNX0a,2,2,,,,0
1224954000,Lorient,Nantes,GU4hlIMk,YBWLmubi,3,0,,,,0
1224954000,Lille,Caen,UDticXKP,GUflEdQm,2,2,,,,0
1224954000,Le Havre,Valenciennes,W0g3UmAF,GU4hlIMk,2,1,,,,0
1224954000,Auxerre,Lyon,tY3UBVrm,GU4hlIMk,0,0,,,,0
1224961200,Toulouse,Monaco,COxgbCEm,44KQTmnj,0,0,,,,0
1225036800,St Etienne,Grenoble,8Ca53MKO,Q1gteDfA,0,2,,,,0
1225036800,Nancy,Sochaux,Q15G9lAm,GU4hlIMk,1,1,,,,0
1225051200,Marseille,PSG,voNnDKJK,A7UDDuOO,2,4,,,,0
1225224000,Bordeaux,Le Havre,6BghNX0a,W0g3UmAF,4,0,,,,0
1225303200,Valenciennes,Rennes,GU4hlIMk,Y5eozcI6,0,0,,,,0
1225303200,Sochaux,Lyon,GU4hlIMk,GU4hlIMk,0,2,,,,0
1225303200,PSG,Toulouse,A7UDDuOO,COxgbCEm,0,1,,,,0
1225303200,Nantes,Marseille,YBWLmubi,voNnDKJK,1,1,,,,0
1225303200,Monaco,Nancy,44KQTmnj,Q15G9lAm,3,1,,,,0
1225303200,Le Mans,Auxerre,pztT5vMl,tY3UBVrm,0,2,,,,0
1225303200,Grenoble,Lille,Q1gteDfA,UDticXKP,0,0,,,,0
1225303200,Caen,Nice,GUflEdQm,00sqJmg8,1,1,,,,0
1225310400,St Etienne,Lorient,8Ca53MKO,GU4hlIMk,1,4,,,,0
1225562400,Toulouse,Caen,COxgbCEm,GUflEdQm,0,1,,,,0
1225562400,Nice,PSG,00sqJmg8,A7UDDuOO,1,0,,,,0
1225562400,Nancy,Bordeaux,Q15G9lAm,6BghNX0a,1,0,,,,0
1225562400,Lorient,Grenoble,GU4hlIMk,Q1gteDfA,1,1,,,,0
1225562400,Lille,Nantes,UDticXKP,YBWLmubi,2,0,,,,0
1225562400,Auxerre,Valenciennes,tY3UBVrm,GU4hlIMk,0,0,,,,0
1225569600,Marseille,St Etienne,voNnDKJK,8Ca53MKO,3,1,,,,0
1225641600,Rennes,Sochaux,Y5eozcI6,GU4hlIMk,1,0,,,,0
1225641600,Le Havre,Monaco,W0g3UmAF,44KQTmnj,2,3,,,,0
1225656000,Lyon,Le Mans,GU4hlIMk,pztT5vMl,2,0,,,,0
