timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1471024800,Bastia,PSG,0,1,,,,0
1471026600,Monaco,Guingamp,2,2,,,,0
1471100400,Bordeaux,St Etienne,3,2,,,,0
1471111200,Montpellier,Angers,1,0,,,,0
1471111200,Metz,Lille,3,2,,,,0
1471111200,Dijon,Nantes,0,1,,,,0
1471111200,Caen,Lorient,3,2,,,,0
1471179600,Nancy,Lyon,0,3,,,,0
1471186800,Nice,Rennes,1,0,,,,0
1471200300,Marseille,Toulouse,0,0,,,,0
1471632300,Lyon,Caen,2,0,,,,0
1471705200,Nantes,Monaco,0,1,,,,0
1471716000,Toulouse,Bordeaux,4,1,,,,0
1471716000,Rennes,Nancy,2,0,,,,0
1471716000,Lorient,Bastia,0,3,,,,0
1471716000,Lille,Dijon,1,0,,,,0
1471716000,Angers,Nice,0,1,,,,0
1471784400,Guingamp,Marseille,2,1,,,,0
1471791600,St Etienne,Montpellier,3,1,,,,0
1471805100,PSG,Metz,3,0,,,,0
1472237100,Marseille,Lorient,2,0,,,,0
1472310000,Dijon,Lyon,4,2,,,,0
1472320800,Nice,Lille,1,1,,,,0
1472320800,Nancy,Guingamp,0,2,,,,0
1472320800,Montpellier,Rennes,1,1,,,,0
1472320800,Metz,Angers,2,0,,,,0
1472320800,Caen,Bastia,2,0,,,,0
1472389200,Bordeaux,Nantes,1,0,,,,0
1472396400,St Etienne,Toulouse,0,0,,,,0
1472409900,Monaco,PSG,3,1,,,,0
1473446700,PSG,St Etienne,1,1,,,,0
1473519600,Lyon,Bordeaux,1,3,,,,0
1473530400,Lorient,Nancy,0,2,,,,0
1473530400,Lille,Monaco,1,4,,,,0
1473530400,Guingamp,Montpellier,1,1,,,,0
1473530400,Bastia,Toulouse,2,1,,,,0
1473530400,Angers,Dijon,3,1,,,,0
1473598800,Nantes,Metz,0,3,,,,0
1473606000,Rennes,Caen,2,0,,,,0
1473619500,Nice,Marseille,3,2,,,,0
1474051500,Caen,PSG,0,6,,,,0
1474124400,Monaco,Rennes,3,0,,,,0
1474135200,Toulouse,Guingamp,2,1,,,,0
1474135200,Nancy,Nantes,1,1,,,,0
1474135200,Lorient,Lille,1,0,,,,0
1474135200,Dijon,Metz,0,0,,,,0
1474135200,Bordeaux,Angers,0,1,,,,0
1474203600,Montpellier,Nice,1,1,,,,0
1474210800,St Etienne,Bastia,1,0,,,,0
1474224300,Marseille,Lyon,0,0,,,,0
1474390800,Lille,Toulouse,1,2,,,,0
1474398000,PSG,Dijon,3,0,,,,0
1474477200,Nice,Monaco,4,0,,,,0
1474477200,Nantes,St Etienne,0,0,,,,0
1474477200,Metz,Bordeaux,0,3,,,,0
1474477200,Lyon,Montpellier,5,1,,,,0
1474477200,Guingamp,Lorient,1,0,,,,0
1474477200,Bastia,Nancy,0,0,,,,0
1474477200,Angers,Caen,2,1,,,,0
1474484400,Rennes,Marseille,3,2,,,,0
1474656300,Toulouse,PSG,2,0,,,,0
1474729200,Lorient,Lyon,1,0,,,,0
1474740000,Montpellier,Metz,0,1,,,,0
1474740000,Monaco,Angers,2,1,,,,0
1474740000,Dijon,Rennes,3,0,,,,0
1474740000,Bordeaux,Caen,0,0,,,,0
1474740000,Bastia,Guingamp,1,0,,,,0
1474808400,St Etienne,Lille,3,1,,,,0
1474815600,Nancy,Nice,0,1,,,,0
1474829100,Marseille,Nantes,2,1,,,,0
1475261100,Rennes,Guingamp,1,0,,,,0
1475334000,PSG,Bordeaux,2,0,,,,0
1475344800,Nantes,Bastia,1,0,,,,0
1475344800,Metz,Monaco,0,7,,,,0
1475344800,Lille,Nancy,1,0,,,,0
1475344800,Dijon,Montpellier,3,3,,,,0
