timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1249133400,Bolnisi,Tskhinvali,1,4,,,,0
1249135200,Zugdidi,Rustavi,1,2,,,,0
1249219800,Zestafoni,Loco. Tbilisi,0,0,,,,0
1249219800,WIT Georgia,Samtredia,2,1,,,,0
1249738200,Tskhinvali,Zugdidi,1,0,,,,0
1249738200,Loco. Tbilisi,Rustavi,1,2,,,,0
1249738200,Gagra,WIT Georgia,4,0,,,,0
1249739400,Samtredia,Zestafoni,0,2,,,,0
1250341200,Rustavi,Samtredia,5,0,,,,0
1250343000,Zugdidi,Loco. Tbilisi,2,1,,,,0
1250429400,Zestafoni,Gagra,1,0,,,,0
1250429400,WIT Georgia,Bolnisi,2,1,,,,0
1250434800,Dinamo Tbilisi,Tskhinvali,5,0,,,,0
1250946000,Tskhinvali,Loco. Tbilisi,2,0,,,,0
1250946000,Samtredia,Zugdidi,1,0,,,,0
1250946000,Gagra,Rustavi,0,1,,,,0
1250946000,Dinamo Tbilisi,WIT Georgia,0,0,,,,0
1250946000,Bolnisi,Zestafoni,0,0,,,,0
1251212400,Dinamo Tbilisi,Gagra,2,0,,,,0
1251550800,Zestafoni,Dinamo Tbilisi,4,1,,,,0
1251637200,Zugdidi,Gagra,2,2,,,,0
1251637200,WIT Georgia,Tskhinvali,2,0,,,,0
1251637200,Rustavi,Bolnisi,3,0,,,,0
1251637200,Loco. Tbilisi,Samtredia,0,3,,,,0
1252753200,Tskhinvali,Samtredia,2,0,,,,0
1252753200,Gagra,Loco. Tbilisi,2,0,,,,0
1252753200,Bolnisi,Zugdidi,1,0,,,,0
1252839600,WIT Georgia,Zestafoni,1,1,,,,0
1252850400,Dinamo Tbilisi,Rustavi,4,0,,,,0
1253361600,Zugdidi,Dinamo Tbilisi,0,6,,,,0
1253361600,Zestafoni,Tskhinvali,4,1,,,,0
1253361600,Rustavi,WIT Georgia,0,0,,,,0
1253361600,Loco. Tbilisi,Bolnisi,0,0,,,,0
1253448000,Samtredia,Gagra,4,3,,,,0
1253620800,Bolnisi,Dinamo Tbilisi,0,0,,,,0
1253880000,Zestafoni,Rustavi,2,2,,,,0
1253880000,WIT Georgia,Zugdidi,2,1,,,,0
1253887200,Dinamo Tbilisi,Loco. Tbilisi,1,0,,,,0
1253966400,Tskhinvali,Gagra,3,1,,,,0
1253966400,Bolnisi,Samtredia,3,0,,,,0
1254225600,Zugdidi,Zestafoni,0,1,,,,0
