timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1489563000,Norchi D. T.,Loco. Tbilisi,1,0,,,,0
1489563000,Gagra,Meshakhte Tkibuli,2,0,,,,0
1489575600,Zugdidi,Tskhinvali,2,2,AET,3,2,0
1489575600,Skuri Tsalenjikha,Bolnisi,1,3,,,,0
1489575600,Sapovnela Terjola,Torpedo Kutaisi,0,2,,,,0
1489575600,Samgurali II,Dila Gori,0,4,,,,0
1489575600,Samegrelo,Guria,1,1,Pen,1,2,0
1489575600,Kolkheti 1913,Dinamo Batumi,1,0,,,,0
1489575600,Gori,Shukura,1,1,Pen,2,1,0
1489575600,FC Lesitchine,Chikhura,0,7,,,,0
1489575600,FC Gareji Sagarejo,Khoni,0,1,,,,0
1489575600,Chiatura,Samgurali,1,1,AET,1,4,0
1489575600,Algeti Marneuli,Dinamo Tbilisi,0,2,,,,0
1489578300,WIT Georgia,Samtredia,1,2,,,,0
1489578300,Rustavi,Merani Martvili,1,0,,,,0
1489590000,Shevardeni Tbilisi,Iberia 1999,3,0,Awrd,,,0
1493121600,Rustavi,Zugdidi,3,2,,,,0
1493121600,Khoni,Bolnisi,1,0,,,,0
1493121600,Gagra,Chikhura,0,2,,,,0
1493121600,Dila Gori,Kolkheti 1913,1,0,,,,0
1493208000,Shevardeni Tbilisi,Guria,2,0,,,,0
1493208000,Samgurali,Dinamo Tbilisi,0,2,,,,0
1493208000,Gori,Norchi D. T.,0,0,Pen,0,1,0
1493222400,Torpedo Kutaisi,Samtredia,2,0,,,,0
1505217600,Khoni,Norchi D. T.,2,2,Pen,3,2,0
1505232000,Shevardeni Tbilisi,Torpedo Kutaisi,1,2,,,,0
1505304000,Rustavi,Dinamo Tbilisi,0,0,Pen,0,1,0
1505304000,Chikhura,Dila Gori,3,0,,,,0
1509530400,Khoni,Chikhura,0,5,,,,0
1509548400,Torpedo Kutaisi,Dinamo Tbilisi,0,0,Pen,1,0,0
1512213300,Chikhura,Torpedo Kutaisi,0,0,Pen,1,0,1
