timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1618736400,Zestafoni,Dusheti,GU4hlIMk,lIVcht7n,1,2,,,,0
1618909200,Legioni,Shevardeni Tbilisi,WQ6EdQSa,6aT5jKya,0,5,,,,0
1618909200,Guria,Chikhura,dxlxqBhr,rThaYtoQ,1,2,,,,0
1618916400,Spaeri,Iberia 1999,6oURetIB,rVsp3mPF,0,1,,,,0
1618916400,Dinamo Tbilisi 2,WIT Georgia,4lpES2yk,0WLerOuQ,2,1,,,,0
1618916400,Didube,Gori,Gn4jsCmo,6aT5jKya,1,2,,,,0
1618916400,Chiatura,Samgurali,0diXU30c,thxdQveD,0,3,,,,0
1618995600,Shukura,Dinamo Tbilisi,0diXU30c,MqwiOmp3,1,0,,,,0
1618999200,WIT Georgia 2,Dila Gori,G8cCWQtE,WfpuTxB8,0,0,Pen,0,1,0
1618999200,Merani Tbilisi,Loco. Tbilisi,Q7lMIApe,0diXU30c,2,5,,,,0
1618999200,Iberia 1999 2,FC Gareji Sagarejo,vcX8QXsd,nHkIJjVl,2,5,,,,0
1619002800,Samgurali II,Telavi,vNrBGz1N,Crw6ZJam,1,3,,,,0
1619002800,Rustavi,Dinamo Batumi,WvdjqzuG,vZdRBggj,0,2,,,,0
1619002800,Merani Martvili,Torpedo Kutaisi,drR8zYr0,6FX7qLsb,0,0,Pen,1,0,0
1619002800,Gagra,Zugdidi,KrkUCdS2,2qEOAq7a,5,2,,,,0
1619002800,Bolnisi,Samtredia,OEhZqrON,8lqbyXv8,2,2,AET,4,2,0
1621425600,Merani Martvili,Gagra,drR8zYr0,KrkUCdS2,0,1,,,,0
1621425600,Dinamo Tbilisi 2,FC Gareji Sagarejo,4lpES2yk,nHkIJjVl,0,1,,,,0
1621425600,Chikhura,Dinamo Batumi,rThaYtoQ,vZdRBggj,0,5,,,,0
1621432800,Loco. Tbilisi,Telavi,0diXU30c,Crw6ZJam,2,0,,,,0
1621512000,Shevardeni Tbilisi,Shukura,6aT5jKya,0diXU30c,0,2,,,,0
1621512000,Gori,Dusheti,6aT5jKya,lIVcht7n,2,0,,,,0
1621512000,Bolnisi,Samgurali,OEhZqrON,thxdQveD,1,1,AET,1,3,0
1621519200,Iberia 1999,Dila Gori,rVsp3mPF,WfpuTxB8,3,1,,,,0
1635413400,Gori,Samgurali,6aT5jKya,thxdQveD,1,1,AET,1,2,0
1635413400,Gagra,Shukura,KrkUCdS2,0diXU30c,1,2,,,,0
1635413400,FC Gareji Sagarejo,Iberia 1999,nHkIJjVl,rVsp3mPF,1,2,,,,0
1635429600,Loco. Tbilisi,Dinamo Batumi,0diXU30c,vZdRBggj,1,3,,,,0
1637744400,Shukura,Samgurali,0diXU30c,thxdQveD,2,3,,,,0
1637762400,Iberia 1999,Dinamo Batumi,rVsp3mPF,vZdRBggj,2,1,,,,0
1638968400,Samgurali,Iberia 1999,thxdQveD,rVsp3mPF,0,1,,,,0
