timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
840202200,St. Pauli,Bayern Munich,1,2,,,,0
840202200,B. Monchengladbach,Arminia Bielefeld,0,0,,,,0
840288600,Stuttgart,Schalke,4,0,,,,0
840288600,Munich 1860,Hamburger SV,2,1,,,,0
840288600,Hansa Rostock,Karlsruher SC,2,2,,,,0
840288600,Freiburg,Werder Bremen,3,2,,,,0
840288600,Bochum,Duisburg,1,0,,,,0
840288600,Bayer Leverkusen,Dortmund,4,2,,,,0
840375000,Dusseldorf,FC Koln,0,3,,,,0
840547800,Werder Bremen,Hansa Rostock,1,1,,,,0
840547800,Schalke,B. Monchengladbach,0,0,,,,0
840547800,Hamburger SV,Freiburg,5,1,,,,0
840547800,Arminia Bielefeld,St. Pauli,1,2,,,,0
840634200,FC Koln,Munich 1860,1,0,,,,0
840634200,Duisburg,Bayer Leverkusen,1,3,,,,0
840634200,Dortmund,Dusseldorf,4,0,,,,0
840634200,Bayern Munich,Bochum,1,1,,,,0
840807000,St. Pauli,Schalke,4,4,,,,0
840807000,Hansa Rostock,Hamburger SV,0,1,,,,0
840893400,Stuttgart,Werder Bremen,2,1,,,,0
840893400,Munich 1860,Dortmund,1,3,,,,0
840893400,Freiburg,FC Koln,1,3,,,,0
840893400,Bochum,Arminia Bielefeld,1,1,,,,0
840893400,Bayer Leverkusen,Dusseldorf,0,1,,,,0
840893400,B. Monchengladbach,Karlsruher SC,1,3,,,,0
840979800,Duisburg,Bayern Munich,0,4,,,,0
841152600,Werder Bremen,B. Monchengladbach,1,0,,,,0
841152600,Schalke,Bochum,1,1,,,,0
841152600,Hamburger SV,Stuttgart,0,4,,,,0
841152600,Dortmund,Freiburg,3,1,,,,0
841239000,Karlsruher SC,St. Pauli,4,0,,,,0
841239000,FC Koln,Hansa Rostock,0,2,,,,0
841239000,Dusseldorf,Munich 1860,0,0,,,,0
841239000,Bayern Munich,Bayer Leverkusen,4,2,,,,0
841239000,Arminia Bielefeld,Duisburg,1,1,,,,0
842016600,Freiburg,Dusseldorf,1,2,,,,0
842016600,B. Monchengladbach,Hamburger SV,3,0,,,,0
842103000,St. Pauli,Werder Bremen,0,3,,,,0
842103000,Hansa Rostock,Dortmund,0,1,,,,0
842103000,Duisburg,Schalke,0,1,,,,0
842103000,Bochum,Karlsruher SC,3,1,,,,0
842103000,Bayern Munich,Arminia Bielefeld,1,0,,,,0
842103000,Bayer Leverkusen,Munich 1860,3,0,,,,0
842189400,Stuttgart,FC Koln,4,0,,,,0
842621400,Werder Bremen,Bochum,5,1,,,,0
842621400,Dusseldorf,Hansa Rostock,0,2,,,,0
842707800,Schalke,Bayern Munich,1,1,,,,0
842707800,Munich 1860,Freiburg,4,0,,,,0
842707800,Karlsruher SC,Duisburg,1,0,,,,0
842707800,FC Koln,B. Monchengladbach,4,0,,,,0
842707800,Dortmund,Stuttgart,1,1,,,,0
842707800,Arminia Bielefeld,Bayer Leverkusen,0,1,,,,0
842794200,Hamburger SV,St. Pauli,3,0,,,,0
842967000,Karlsruher SC,Stuttgart,0,2,,,,0
843226200,Hansa Rostock,Munich 1860,2,4,,,,0
843226200,Duisburg,Werder Bremen,3,2,,,,0
843312600,Stuttgart,Dusseldorf,0,2,,,,0
843312600,St. Pauli,FC Koln,0,0,,,,0
843312600,Bochum,Hamburger SV,3,1,,,,0
843312600,Bayern Munich,Karlsruher SC,1,0,,,,0
843312600,B. Monchengladbach,Dortmund,5,1,,,,0
843312600,Arminia Bielefeld,Schalke,0,1,,,,0
843399000,Bayer Leverkusen,Freiburg,5,3,,,,0
843831000,Karlsruher SC,Arminia Bielefeld,5,2,,,,0
843831000,FC Koln,Bochum,2,0,,,,0
843917400,Werder Bremen,Bayern Munich,3,0,,,,0
843917400,Schalke,Bayer Leverkusen,1,2,,,,0
843917400,Munich 1860,Stuttgart,2,5,,,,0
843917400,Hamburger SV,Duisburg,1,1,,,,0
