timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
998604000,Yesilyurt,Freiburg,2,4,,,,0
998604000,VfR Mannheim,Hannover,1,3,,,,0
998604000,Stuttgart II,Greuther Furth,0,1,,,,0
998604000,Erfurt,Ahlen,3,2,,,,0
998690400,Wurzburger FV,Munich 1860,0,10,,,,0
998690400,Wolfsburg II,Dortmund,1,0,,,,0
998690400,VfL Osnabruck,Hansa Rostock,2,1,,,,0
998690400,Uerdingen,Cottbus,1,0,,,,0
998690400,Stutt. Kickers,Unterhaching,1,5,,,,0
998690400,St. Pauli II,Eintracht Frankfurt,0,0,AET,0,1,0
998690400,Lubeck,Werder Bremen,2,3,,,,0
998690400,Karlsruher SC,Mannheim,2,5,,,,0
998690400,FC 08 Homburg,Hamburger SV,2,5,,,,0
998690400,Eintracht Trier,Alemannia Aachen,2,2,AET,2,4,0
998690400,Bruhl,Kaiserslautern,1,4,,,,0
998690400,Babelsberg,Hertha Berlin,1,2,,,,0
998690400,Aue,Mainz,1,1,AET,1,2,0
998690400,Aalen,Oberhausen,0,2,,,,0
998776800,Werder Bremen II,Saarbrucken,5,0,,,,0
998776800,Union Berlin,Duisburg,1,0,,,,0
998776800,Ulm,Nurnberg,2,1,,,,0
998776800,Schuttorf,Reutlingen,1,4,,,,0
998776800,Schonberg,Stuttgart,2,4,,,,0
998776800,Schalke II,Bochum,0,1,,,,0
998776800,Regensburg,Bayer Leverkusen,0,3,,,,0
998776800,Mainz II,B. Monchengladbach,0,1,,,,0
998776800,Magdeburg,Wolfsburg,1,5,,,,0
998776800,Freiburg II,Schalke,0,1,,,,0
998776800,Darmstadt,St. Pauli,3,1,,,,0
998776800,Cottbus II,Arminia Bielefeld,0,4,,,,0
998776800,Chemnitzer,FC Koln,2,5,,,,0
998863200,Paderborn,Bayern Munich,1,5,,,,0
1006864200,Erfurt,Hertha Berlin,1,1,AET,1,2,0
1006884000,Wolfsburg,Unterhaching,3,0,,,,0
1006884000,Uerdingen,Werder Bremen,1,1,,,,0
1006884000,Mainz,Greuther Furth,3,2,,,,0
1006884000,Hamburger SV,Stuttgart,0,2,,,,0
1006884000,Arminia Bielefeld,Schalke,1,2,,,,0
1006972200,Wolfsburg II,Hannover,0,4,,,,0
1006972200,Werder Bremen II,Eintracht Frankfurt,3,3,,,,0
1006972200,Ulm,Union Berlin,0,3,,,,0
1006972200,Reutlingen,Oberhausen,1,1,,,,0
1006972200,Munich 1860,B. Monchengladbach,4,3,,,,0
1006972200,Mannheim,Kaiserslautern,2,3,,,,0
1006972200,Darmstadt,Freiburg,2,2,,,,0
1006972200,Alemannia Aachen,FC Koln,1,2,,,,0
1008093600,Union Berlin,Oberhausen,1,2,,,,0
1008093600,Stuttgart,Munich 1860,2,2,AET,2,2,0
1008093600,Bochum,Bayer Leverkusen,2,3,,,,0
1008098400,Mainz,Kaiserslautern,2,3,,,,0
1008180000,Uerdingen,FC Koln,1,1,,,,0
1008180000,Eintracht Frankfurt,Hertha Berlin,1,1,AET,1,2,0
1008181800,Darmstadt,Schalke,0,0,AET,0,1,0
1008185400,VfL Osnabruck,Bayern Munich,0,2,,,,0
1011722400,Hannover,Bayer Leverkusen,1,2,,,,0
1011813300,Bayern Munich,Wolfsburg,2,1,,,,0
1012413600,Schalke,Oberhausen,2,0,,,,0
1012413600,Hertha Berlin,FC Koln,1,1,AET,1,2,0
1012413600,Bayer Leverkusen,Munich 1860,3,0,,,,0
1012419000,Kaiserslautern,Bayern Munich,0,0,AET,0,1,0
1015356600,Bayer Leverkusen,FC Koln,1,1,AET,3,1,0
1015443000,Schalke,Bayern Munich,0,0,AET,2,0,0
1021142700,Bayer Leverkusen,Schalke,2,4,,,,0
