timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1389970800,Hearts of Oak,WAFA,1,0,,,,0
1389970800,Brong Ahafo,Bechem United,1,0,,,,0
1390057200,Sekondi Hasaacas,Liberty,3,1,,,,0
1390057200,Legon Cities,Berekum Chelsea,1,0,,,,0
1390057200,Inter Allies,Medeama,2,0,,,,0
1390057200,Heart of Lions,New Edubiase,2,0,,,,0
1390057200,Ashanti,Great Olympics,2,0,,,,0
1390058100,Aduana,Asante Kotoko,1,0,,,,0
1390316400,WAFA,Ashanti,0,1,,,,0
1390316400,New Edubiase,Aduana,1,1,,,,0
1390316400,Medeama,Legon Cities,0,0,,,,0
1390316400,Liberty,Brong Ahafo,2,0,,,,0
1390316400,Great Olympics,Heart of Lions,3,2,,,,0
1390316400,Berekum Chelsea,Hearts of Oak,4,2,,,,0
1390316400,Bechem United,Inter Allies,1,0,,,,0
1390318200,Asante Kotoko,Sekondi Hasaacas,2,2,,,,0
1390575600,Hearts of Oak,Medeama,2,2,,,,0
1390662000,WAFA,Great Olympics,2,1,,,,0
1390662000,Sekondi Hasaacas,New Edubiase,1,0,,,,0
1390662000,Legon Cities,Bechem United,2,0,,,,0
1390662000,Inter Allies,Liberty,0,0,,,,0
1390662000,Brong Ahafo,Asante Kotoko,0,2,,,,0
1390662000,Ashanti,Berekum Chelsea,1,0,,,,0
1390662000,Aduana,Heart of Lions,1,0,,,,0
1391095800,Asante Kotoko,Inter Allies,1,0,,,,0
1391180400,New Edubiase,Brong Ahafo,2,1,,,,0
1391180400,Medeama,Ashanti,2,0,,,,0
1391180400,Liberty,Legon Cities,1,0,,,,0
1391180400,Heart of Lions,Sekondi Hasaacas,2,0,,,,0
1391180400,Great Olympics,Aduana,0,1,,,,0
1391180400,Berekum Chelsea,WAFA,2,0,,,,0
1391180400,Bechem United,Hearts of Oak,1,0,,,,0
1391526000,WAFA,Medeama,1,0,,,,0
1391526000,Sekondi Hasaacas,Aduana,2,0,,,,0
1391526000,Legon Cities,Asante Kotoko,0,0,,,,0
1391526000,Inter Allies,New Edubiase,2,0,,,,0
1391526000,Hearts of Oak,Liberty,1,1,,,,0
1391526000,Brong Ahafo,Heart of Lions,1,1,,,,0
1391526000,Berekum Chelsea,Great Olympics,1,0,,,,0
1391526000,Ashanti,Bechem United,2,1,,,,0
1391785200,New Edubiase,Legon Cities,3,2,,,,0
1391785200,Medeama,Berekum Chelsea,1,0,,,,0
1391785200,Liberty,Ashanti,0,1,,,,0
1391785200,Heart of Lions,Inter Allies,0,0,,,,0
1391785200,Great Olympics,Sekondi Hasaacas,2,0,,,,0
1391785200,Bechem United,WAFA,1,1,,,,0
1391785200,Asante Kotoko,Hearts of Oak,0,1,,,,0
1391785200,Aduana,Brong Ahafo,1,0,,,,0
1392130800,WAFA,Liberty,2,0,,,,0
1392130800,Medeama,Great Olympics,3,2,,,,0
1392130800,Legon Cities,Heart of Lions,0,1,,,,0
1392130800,Inter Allies,Aduana,2,0,,,,0
1392130800,Brong Ahafo,Sekondi Hasaacas,1,0,,,,0
1392130800,Berekum Chelsea,Bechem United,4,2,,,,0
1392130800,Ashanti,Asante Kotoko,2,1,,,,0
1392132600,Hearts of Oak,New Edubiase,1,2,,,,0
1392994800,Sekondi Hasaacas,Inter Allies,2,1,,,,0
1393081200,New Edubiase,Ashanti,2,3,,,,0
1393081200,Liberty,Berekum Chelsea,1,0,,,,0
1393081200,Heart of Lions,Hearts of Oak,1,0,,,,0
1393081200,Great Olympics,Brong Ahafo,3,1,,,,0
1393081200,Bechem United,Medeama,2,1,,,,0
1393081200,Asante Kotoko,WAFA,0,0,,,,0
1393081200,Aduana,Legon Cities,1,0,,,,0
1393340400,WAFA,New Edubiase,3,1,,,,0
1393340400,Medeama,Liberty,1,1,,,,0
1393340400,Legon Cities,Sekondi Hasaacas,3,1,,,,0
1393340400,Inter Allies,Brong Ahafo,2,0,,,,0
1393340400,Hearts of Oak,Aduana,3,2,,,,0
1393340400,Berekum Chelsea,Asante Kotoko,1,1,,,,0
1393340400,Bechem United,Great Olympics,2,0,,,,0
1393340400,Ashanti,Heart of Lions,2,2,,,,0
1394290800,Sekondi Hasaacas,Hearts of Oak,1,1,,,,0
1394290800,New Edubiase,Berekum Chelsea,2,1,,,,0
1394290800,Liberty,Bechem United,3,2,,,,0
1394290800,Heart of Lions,WAFA,0,0,,,,0
1394290800,Great Olympics,Inter Allies,0,1,,,,0
1394290800,Brong Ahafo,Legon Cities,1,2,,,,0
1394290800,Asante Kotoko,Medeama,1,1,,,,0
1394290800,Aduana,Ashanti,1,0,,,,0
1395414000,WAFA,Aduana,2,1,,,,0
1395500400,Medeama,New Edubiase,3,0,,,,0
1395500400,Liberty,Great Olympics,0,1,,,,0
1395500400,Legon Cities,Inter Allies,2,1,,,,0
1395500400,Hearts of Oak,Brong Ahafo,2,0,,,,0
1395500400,Berekum Chelsea,Heart of Lions,1,0,,,,0
1395500400,Bechem United,Asante Kotoko,1,3,,,,0
1395500400,Ashanti,Sekondi Hasaacas,1,0,,,,0
1396018800,Great Olympics,Legon Cities,1,0,,,,0
1396108800,Sekondi Hasaacas,WAFA,3,1,,,,0
1396108800,New Edubiase,Bechem United,2,0,,,,0
1396108800,Inter Allies,Hearts of Oak,2,1,,,,0
1396108800,Heart of Lions,Medeama,1,0,,,,0
1396108800,Brong Ahafo,Ashanti,1,0,,,,0
1396108800,Asante Kotoko,Liberty,1,0,,,,0
1396108800,Aduana,Berekum Chelsea,2,1,,,,0
1397228400,Ashanti,Inter Allies,2,0,,,,0
1397314800,WAFA,Brong Ahafo,2,0,,,,0
1397314800,Medeama,Aduana,2,0,,,,0
1397314800,Liberty,New Edubiase,3,2,,,,0
1397314800,Hearts of Oak,Legon Cities,1,0,,,,0
1397314800,Berekum Chelsea,Sekondi Hasaacas,1,0,,,,0
1397314800,Bechem United,Heart of Lions,2,0,,,,0
1397315700,Asante Kotoko,Great Olympics,0,0,,,,0
1398438000,Inter Allies,WAFA,0,1,,,,0
1398524400,Sekondi Hasaacas,Medeama,2,2,,,,0
1398524400,New Edubiase,Asante Kotoko,2,2,,,,0
1398524400,Legon Cities,Ashanti,1,0,,,,0
1398524400,Heart of Lions,Liberty,0,0,,,,0
1398524400,Brong Ahafo,Berekum Chelsea,2,1,,,,0
1398524400,Aduana,Bechem United,1,0,,,,0
1398525300,Great Olympics,Hearts of Oak,0,0,,,,0
1398783600,WAFA,Legon Cities,0,0,,,,0
1398783600,Medeama,Brong Ahafo,3,1,,,,0
1398783600,Liberty,Aduana,1,0,,,,0
1398783600,Great Olympics,New Edubiase,2,2,,,,0
1398783600,Berekum Chelsea,Inter Allies,2,1,,,,0
1398783600,Bechem United,Sekondi Hasaacas,2,0,,,,0
1398783600,Ashanti,Hearts of Oak,1,1,,,,0
1398783600,Asante Kotoko,Heart of Lions,4,0,,,,0
1402153200,Sekondi Hasaacas,Bechem United,1,0,,,,0
1402153200,New Edubiase,Great Olympics,0,0,,,,0
1402153200,Legon Cities,WAFA,2,0,,,,0
1402153200,Inter Allies,Berekum Chelsea,1,1,,,,0
1402153200,Heart of Lions,Asante Kotoko,3,1,,,,0
1402153200,Brong Ahafo,Medeama,1,1,,,,0
1402153200,Aduana,Liberty,0,0,,,,0
1402414200,Hearts of Oak,Ashanti,2,2,,,,0
1402590600,Asante Kotoko,New Edubiase,1,2,,,,0
1402671600,WAFA,Inter Allies,1,1,,,,0
1402671600,Medeama,Sekondi Hasaacas,0,0,,,,0
1402671600,Liberty,Heart of Lions,3,2,,,,0
1402671600,Hearts of Oak,Great Olympics,1,0,,,,0
1402671600,Berekum Chelsea,Brong Ahafo,2,0,,,,0
1402671600,Bechem United,Aduana,1,0,,,,0
1402671600,Ashanti,Legon Cities,1,0,,,,0
1403017200,Sekondi Hasaacas,Berekum Chelsea,2,0,,,,0
1403017200,New Edubiase,Liberty,0,0,,,,0
1403017200,Legon Cities,Hearts of Oak,2,0,,,,0
1403017200,Inter Allies,Ashanti,1,1,,,,0
1403017200,Heart of Lions,Bechem United,1,1,,,,0
1403017200,Brong Ahafo,WAFA,1,1,,,,0
1403017200,Aduana,Medeama,2,0,,,,0
1403019000,Great Olympics,Asante Kotoko,2,3,,,,0
1403362800,WAFA,Sekondi Hasaacas,4,1,,,,0
1403362800,Medeama,Heart of Lions,4,1,,,,0
1403362800,Liberty,Asante Kotoko,3,1,,,,0
1403362800,Legon Cities,Great Olympics,2,0,,,,0
1403362800,Hearts of Oak,Inter Allies,0,0,,,,0
1403362800,Berekum Chelsea,Aduana,2,1,,,,0
1403362800,Bechem United,New Edubiase,3,1,,,,0
1403363700,Ashanti,Brong Ahafo,4,1,,,,0
1403882100,New Edubiase,Medeama,1,0,,,,0
1403967600,Sekondi Hasaacas,Ashanti,2,0,,,,0
1403967600,Inter Allies,Legon Cities,1,0,,,,0
1403967600,Heart of Lions,Berekum Chelsea,1,1,,,,0
1403967600,Great Olympics,Liberty,1,0,,,,0
1403967600,Brong Ahafo,Hearts of Oak,1,1,,,,0
1403967600,Asante Kotoko,Bechem United,2,1,,,,0
1403967600,Aduana,WAFA,1,0,,,,0
1404572400,WAFA,Heart of Lions,2,1,,,,0
1404572400,Medeama,Asante Kotoko,0,0,,,,0
1404572400,Legon Cities,Brong Ahafo,0,0,,,,0
1404572400,Inter Allies,Great Olympics,1,0,,,,0
1404572400,Hearts of Oak,Sekondi Hasaacas,1,2,,,,0
1404572400,Berekum Chelsea,New Edubiase,2,0,,,,0
1404572400,Bechem United,Liberty,2,1,,,,0
1404572400,Ashanti,Aduana,1,0,,,,0
1405695600,Sekondi Hasaacas,Legon Cities,1,1,,,,0
1405695600,Brong Ahafo,Inter Allies,0,2,,,,0
1405782000,New Edubiase,WAFA,2,0,,,,0
1405782000,Liberty,Medeama,0,0,,,,0
1405782000,Heart of Lions,Ashanti,2,1,,,,0
1405782000,Great Olympics,Bechem United,2,1,,,,0
1405782000,Asante Kotoko,Berekum Chelsea,0,3,,,,0
1405782000,Aduana,Hearts of Oak,1,0,,,,0
1406041200,WAFA,Asante Kotoko,1,0,,,,0
1406041200,Medeama,Bechem United,2,0,,,,0
1406041200,Legon Cities,Aduana,1,0,,,,0
1406041200,Inter Allies,Sekondi Hasaacas,2,0,,,,0
1406041200,Hearts of Oak,Heart of Lions,4,0,,,,0
1406041200,Brong Ahafo,Great Olympics,1,1,,,,0
1406041200,Berekum Chelsea,Liberty,2,0,,,,0
1406041200,Ashanti,New Edubiase,0,0,,,,0
1406214000,Bechem United,Berekum Chelsea,2,1,,,,0
1406301300,New Edubiase,Hearts of Oak,2,1,,,,0
1406386800,Sekondi Hasaacas,Brong Ahafo,2,0,,,,0
1406386800,Liberty,WAFA,1,0,,,,0
1406386800,Heart of Lions,Legon Cities,2,0,,,,0
1406386800,Great Olympics,Medeama,2,1,,,,0
1406386800,Aduana,Inter Allies,1,0,,,,0
1406388000,Asante Kotoko,Ashanti,1,0,,,,0
1406818800,WAFA,Bechem United,0,0,,,,0
1406906100,Inter Allies,Heart of Lions,2,1,,,,0
1406991600,Sekondi Hasaacas,Great Olympics,1,1,,,,0
1406991600,Legon Cities,New Edubiase,1,0,,,,0
1406991600,Brong Ahafo,Aduana,0,1,,,,0
1406991600,Berekum Chelsea,Medeama,1,1,,,,0
1406991600,Ashanti,Liberty,1,0,,,,0
1406993400,Hearts of Oak,Asante Kotoko,1,2,,,,0
1407250800,New Edubiase,Inter Allies,2,2,,,,0
1407250800,Medeama,WAFA,2,1,,,,0
1407250800,Liberty,Hearts of Oak,0,1,,,,0
1407250800,Heart of Lions,Brong Ahafo,5,0,,,,0
