timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1565634600,Lynx,Mons Calpe,5,1,,,,0
1565721000,Manchester 62,Boca Gibraltar,0,0,,,,0
1565807400,Lions Gibraltar,Europa Point,0,0,,,,0
1565893800,Glacis United,Magpies,0,9,,,,0
1565980200,Europa FC,Lincoln Red Imps,4,1,,,,0
1566239400,St Josephs,College 1975 FC,7,0,,,,0
1566404100,Europa Point,Lynx,0,5,,,,0
1566498600,Lincoln Red Imps,Glacis United,8,0,,,,0
1566585000,Magpies,Lions Gibraltar,2,0,,,,0
1566663300,College 1975 FC,Mons Calpe,1,9,,,,0
1566671400,St Josephs,Manchester 62,3,0,,,,0
1568313000,Lions Gibraltar,Lynx,0,0,,,,0
1568399400,Glacis United,Mons Calpe,0,5,,,,0
1568469600,St Josephs,Boca Gibraltar,2,0,,,,0
1568556000,College 1975 FC,Magpies,1,3,,,,0
1568564100,Europa FC,Europa Point,1,0,,,,0
1568909700,Lincoln Red Imps,College 1975 FC,9,1,,,,0
1568917800,Boca Gibraltar,Lynx,1,3,,,,0
1569004200,Magpies,Europa FC,0,6,,,,0
1569160800,Europa Point,Glacis United,0,3,,,,0
1569168900,Mons Calpe,Lions Gibraltar,1,1,,,,0
1569436200,Europa FC,St Josephs,2,2,,,,0
1569765600,Lions Gibraltar,Lincoln Red Imps,1,7,,,,0
1569773700,Lynx,Magpies,2,0,,,,0
1569781800,Boca Gibraltar,Mons Calpe,1,1,,,,0
1569868200,College 1975 FC,Manchester 62,0,3,,,,0
1570284000,Mons Calpe,Europa Point,0,2,,,,0
1571493600,Boca Gibraltar,Europa Point,1,1,,,,0
1571501700,Magpies,Mons Calpe,1,3,,,,0
1571580000,St Josephs,Glacis United,8,1,,,,0
1571588100,Manchester 62,Europa FC,0,7,,,,0
1571682600,Lincoln Red Imps,Lynx,4,0,,,,0
1571941800,College 1975 FC,Boca Gibraltar,0,4,,,,0
1572028200,Europa Point,Magpies,2,3,,,,0
1572098400,Glacis United,Manchester 62,2,3,,,,0
1572106500,Lions Gibraltar,St Josephs,0,4,,,,0
1572188400,Mons Calpe,Lincoln Red Imps,0,2,,,,0
1572550200,Manchester 62,Lions Gibraltar,0,3,,,,0
1572636600,College 1975 FC,Europa FC,0,12,,,,0
1572793200,Lincoln Red Imps,Europa Point,3,0,,,,0
1572801300,St Josephs,Lynx,1,1,,,,0
1572895800,Boca Gibraltar,Magpies,1,2,,,,0
1574364600,Lynx,Manchester 62,5,0,,,,0
1574451000,Glacis United,College 1975 FC,4,0,,,,0
1574521200,Magpies,Lincoln Red Imps,0,3,,,,0
1574529300,Europa FC,Boca Gibraltar,6,1,,,,0
1574615700,Mons Calpe,St Josephs,0,6,,,,0
1574883000,Boca Gibraltar,Lincoln Red Imps,1,8,,,,0
1574969400,College 1975 FC,Lions Gibraltar,1,6,,,,0
1575055800,Europa FC,Glacis United,6,2,,,,0
1575126000,Manchester 62,Mons Calpe,1,4,,,,0
1575134100,St Josephs,Europa Point,5,0,,,,0
1575487800,Lions Gibraltar,Europa FC,2,5,,,,0
1575574200,Glacis United,Boca Gibraltar,0,2,,,,0
1575660600,Lynx,College 1975 FC,4,0,,,,0
1575730800,Magpies,St Josephs,0,3,,,,0
1575738900,Europa Point,Manchester 62,1,3,,,,0
