timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1061661600,PAE Egaleo,AEK Athens FC,0,1,,,,0
1061748900,Proodeftiki,Chalkidona FC,1,1,,,,0
1061748900,PAOK,Olympiacos Piraeus,0,2,,,,0
1061748900,Panionios,AO Paniliakos,3,2,,,,0
1061748900,Panathinaikos,Xanthi FC,1,0,,,,0
1061748900,Iraklis 1908,OFI Crete,4,0,,,,0
1061748900,Ionikos,Athens Kallithea,3,2,,,,0
1061748900,AO Akratitos,Aris,1,0,,,,0
1062194400,Chalkidona FC,AO Paniliakos,1,3,,,,0
1062194400,Athens Kallithea,Iraklis 1908,1,1,,,,0
1062353700,Xanthi FC,Panionios,0,0,,,,0
1062353700,PAOK,PAE Egaleo,2,0,,,,0
1062353700,Olympiacos Piraeus,AO Akratitos,7,0,,,,0
1062353700,OFI Crete,Panathinaikos,1,3,,,,0
1062353700,Aris,Proodeftiki,3,0,,,,0
1062353700,AEK Athens FC,Ionikos,3,0,,,,0
1063476000,Proodeftiki,Olympiacos Piraeus,1,0,,,,0
1063476000,Panathinaikos,Athens Kallithea,3,1,,,,0
1063476000,Iraklis 1908,AEK Athens FC,2,2,,,,0
1063562400,Panionios,OFI Crete,1,1,,,,0
1063562400,PAE Egaleo,Ionikos,2,0,,,,0
1063562400,Chalkidona FC,Xanthi FC,2,0,,,,0
1063562400,AO Paniliakos,Aris,0,0,,,,0
1063562400,AO Akratitos,PAOK,1,2,,,,0
1064077200,Athens Kallithea,Panionios,2,2,,,,0
1064077200,Aris,Xanthi FC,3,2,,,,0
1064156400,OFI Crete,Chalkidona FC,3,1,,,,0
1064156400,AO Akratitos,PAE Egaleo,0,2,,,,0
1064163600,PAOK,Proodeftiki,0,0,,,,0
1064163600,Olympiacos Piraeus,AO Paniliakos,1,0,,,,0
1064163600,Ionikos,Iraklis 1908,0,1,,,,0
1064170800,AEK Athens FC,Panathinaikos,2,2,,,,0
1064678400,Xanthi FC,Olympiacos Piraeus,1,3,,,,0
1064685600,Panionios,AEK Athens FC,2,2,,,,0
1064689200,Panathinaikos,Ionikos,2,0,,,,0
1064761200,Proodeftiki,AO Akratitos,1,1,,,,0
1064761200,AO Paniliakos,PAOK,1,4,,,,0
1064768400,PAE Egaleo,Iraklis 1908,2,0,,,,0
1064768400,Chalkidona FC,Athens Kallithea,1,1,,,,0
1064775600,Aris,OFI Crete,1,2,,,,0
1065279600,Ionikos,Panionios,0,2,,,,0
1065286800,PAOK,Xanthi FC,1,1,,,,0
