timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1501293600,Petapa,Comunicaciones,0,0,,,,0
1501434000,Siquinala,Sanarate,1,0,,,,0
1501434000,Municipal,Xelaju,0,1,,,,0
1501435800,Antigua,Marquense,2,1,,,,0
1501437600,Malacateco,Suchitepequez,3,0,,,,0
1501446600,Guastatoya,Coban Imperial,2,0,,,,0
1501956000,Suchitepequez,Antigua,1,0,,,,0
1501963200,Coban Imperial,Siquinala,1,1,,,,0
1501977600,Comunicaciones,Guastatoya,1,0,,,,0
1502038800,Sanarate,Municipal,2,1,,,,0
1502042400,Xelaju,Malacateco,0,0,,,,0
1502042400,Marquense,Petapa,0,4,,,,0
1502301600,Suchitepequez,Xelaju,4,1,,,,0
1502301600,Siquinala,Comunicaciones,0,3,,,,0
1502301600,Malacateco,Sanarate,0,0,,,,0
1502303400,Municipal,Coban Imperial,1,0,,,,0
1502312400,Guastatoya,Marquense,4,2,,,,0
1502330400,Petapa,Antigua,2,0,,,,0
1502589600,Petapa,Guastatoya,1,0,,,,0
1502643600,Sanarate,Suchitepequez,2,0,,,,0
1502645400,Antigua,Xelaju,2,0,,,,0
1502647200,Marquense,Siquinala,1,0,,,,0
1502654400,Coban Imperial,Malacateco,1,0,,,,0
1502668800,Comunicaciones,Municipal,1,1,,,,0
1503248400,Siquinala,Petapa,1,4,,,,0
1503248400,Municipal,Marquense,1,0,,,,0
1503252000,Xelaju,Sanarate,4,1,,,,0
1503252000,Suchitepequez,Coban Imperial,2,2,,,,0
1503252000,Malacateco,Comunicaciones,2,0,,,,0
1503261000,Guastatoya,Antigua,0,0,,,,0
1503712800,Petapa,Municipal,1,1,,,,0
1503792000,Comunicaciones,Suchitepequez,2,0,,,,0
1503855000,Antigua,Sanarate,2,0,,,,0
1503856800,Marquense,Malacateco,1,0,,,,0
1503864000,Coban Imperial,Xelaju,1,1,,,,0
1503865800,Guastatoya,Siquinala,3,0,,,,0
1504405800,Xelaju,Comunicaciones,2,0,,,,0
1504458000,Siquinala,Antigua,3,2,,,,0
1504458000,Sanarate,Coban Imperial,0,1,,,,0
1504458000,Municipal,Guastatoya,0,0,,,,0
1504461600,Suchitepequez,Marquense,3,1,,,,0
1504461600,Malacateco,Petapa,3,0,,,,0
1504720800,Siquinala,Municipal,1,2,,,,0
1504720800,Marquense,Xelaju,1,1,,,,0
1504733400,Antigua,Coban Imperial,2,0,,,,0
1504734300,Guastatoya,Malacateco,3,1,,,,0
1504742400,Comunicaciones,Sanarate,0,1,,,,0
1504749600,Petapa,Suchitepequez,3,0,,,,0
1505010600,Xelaju,Petapa,2,1,,,,0
1505062800,Sanarate,Marquense,0,0,,,,0
1505062800,Municipal,Antigua,1,0,,,,0
1505066400,Suchitepequez,Guastatoya,1,1,,,,0
1505066400,Malacateco,Siquinala,2,0,,,,0
1505079000,Coban Imperial,Comunicaciones,3,2,,,,0
1505527200,Petapa,Sanarate,1,1,,,,0
1505667600,Siquinala,Suchitepequez,2,0,,,,0
1505667600,Municipal,Malacateco,2,1,,,,0
1505669400,Antigua,Comunicaciones,0,0,,,,0
1505671200,Marquense,Coban Imperial,1,1,,,,0
1505680200,Guastatoya,Xelaju,3,0,,,,0
1506207600,Comunicaciones,Marquense,5,1,,,,0
1506272400,Sanarate,Guastatoya,1,0,,,,0
1506276000,Xelaju,Siquinala,4,0,,,,0
1506276000,Suchitepequez,Municipal,1,1,,,,0
1506288600,Coban Imperial,Petapa,2,2,,,,0
1506355200,Malacateco,Antigua,0,3,,,,0
1506812400,Comunicaciones,Petapa,3,1,,,,0
1506825000,Xelaju,Municipal,2,2,,,,0
1506877200,Sanarate,Siquinala,1,0,,,,0
1506880800,Suchitepequez,Malacateco,3,1,,,,0
1506880800,Marquense,Antigua,2,2,,,,0
1506893400,Coban Imperial,Guastatoya,4,2,,,,0
1507341600,Petapa,Marquense,2,0,,,,0
1507482000,Siquinala,Coban Imperial,0,2,,,,0
1507482000,Municipal,Sanarate,2,0,,,,0
1507483800,Antigua,Suchitepequez,5,0,,,,0
1507485600,Malacateco,Xelaju,1,2,,,,0
1507494600,Guastatoya,Comunicaciones,2,0,,,,0
1507741200,Sanarate,Malacateco,1,1,,,,0
1507757400,Antigua,Petapa,2,0,,,,0
1507766400,Comunicaciones,Siquinala,1,0,,,,0
1507770000,Coban Imperial,Municipal,3,1,,,,0
1507777200,Xelaju,Suchitepequez,4,1,,,,0
1507827600,Marquense,Guastatoya,1,1,,,,0
1508086800,Siquinala,Marquense,4,0,,,,0
1508086800,Municipal,Comunicaciones,0,0,,,,0
1508090400,Xelaju,Antigua,1,0,,,,0
1508090400,Suchitepequez,Sanarate,1,0,,,,0
1508090400,Malacateco,Coban Imperial,5,0,,,,0
1508099400,Guastatoya,Petapa,2,1,,,,0
1508551200,Petapa,Siquinala,3,0,,,,0
1508626800,Comunicaciones,Malacateco,3,0,,,,0
1508691600,Sanarate,Xelaju,2,0,,,,0
1508693400,Antigua,Guastatoya,2,1,,,,0
1508695200,Marquense,Municipal,1,0,,,,0
1508702400,Coban Imperial,Suchitepequez,2,1,,,,0
1509244200,Xelaju,Coban Imperial,1,0,,,,0
1509296400,Siquinala,Guastatoya,1,1,,,,0
1509296400,Sanarate,Antigua,0,2,,,,0
1509296400,Municipal,Petapa,0,1,,,,0
1509300000,Suchitepequez,Comunicaciones,2,2,,,,0
1509300000,Malacateco,Marquense,4,0,,,,0
1509760800,Petapa,Malacateco,0,1,,,,0
1509836400,Comunicaciones,Xelaju,2,1,,,,0
1509903000,Antigua,Siquinala,2,0,,,,0
1509904800,Marquense,Suchitepequez,2,0,,,,0
1509913800,Guastatoya,Municipal,1,2,,,,0
1509915600,Coban Imperial,Sanarate,2,0,,,,0
1510423200,Sanarate,Comunicaciones,1,1,,,,0
