timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
964828800,Xelaju,Zacapa,1,0,,,,0
964828800,Municipal,Aurora F.C.,2,0,,,,0
964915200,Universidad SC,Deportivo Carcha,2,0,,,,0
964915200,Marquense,Antigua,2,0,,,,0
964915200,Deportivo Achuapa,Comunicaciones,2,2,,,,0
964915200,Coban Imperial,Santa Lucia,2,0,,,,0
965433600,Comunicaciones,Universidad SC,1,0,,,,0
965433600,Aurora F.C.,Coban Imperial,0,0,,,,0
965520000,Santa Lucia,Xelaju,1,1,,,,0
965520000,Deportivo Carcha,Marquense,0,1,,,,0
965520000,Antigua,Deportivo Achuapa,1,1,,,,0
966124800,Municipal,Zacapa,2,1,,,,0
966643200,Xelaju,Coban Imperial,1,0,,,,0
966643200,Universidad SC,Deportivo Achuapa,1,1,,,,0
966729600,Zacapa,Aurora F.C.,3,2,,,,0
966729600,Municipal,Santa Lucia,6,1,,,,0
966729600,Marquense,Comunicaciones,1,3,,,,0
966729600,Deportivo Carcha,Antigua,1,0,,,,0
967248000,Xelaju,Municipal,1,1,,,,0
967248000,Universidad SC,Marquense,4,0,,,,0
967334400,Santa Lucia,Aurora F.C.,3,4,,,,0
967334400,Deportivo Achuapa,Deportivo Carcha,1,0,,,,0
967334400,Coban Imperial,Zacapa,3,1,,,,0
967852800,Zacapa,Santa Lucia,3,0,,,,0
967852800,Marquense,Deportivo Achuapa,2,1,,,,0
967852800,Antigua,Universidad SC,2,0,,,,0
968198400,Municipal,Coban Imperial,4,0,,,,0
968198400,Deportivo Carcha,Comunicaciones,0,2,,,,0
968198400,Aurora F.C.,Xelaju,1,1,,,,0
968457600,Universidad SC,Xelaju,2,1,,,,0
968457600,Antigua,Aurora F.C.,2,0,,,,0
968544000,Zacapa,Deportivo Carcha,5,1,,,,0
968544000,Santa Lucia,Comunicaciones,2,4,,,,0
968544000,Municipal,Marquense,2,0,,,,0
968544000,Coban Imperial,Deportivo Achuapa,3,1,,,,0
968803200,Comunicaciones,Antigua,2,1,,,,0
969062400,Universidad SC,Zacapa,1,2,,,,0
969148800,Marquense,Aurora F.C.,1,1,,,,0
969148800,Deportivo Achuapa,Santa Lucia,4,4,,,,0
969148800,Deportivo Carcha,Municipal,1,0,,,,0
969148800,Comunicaciones,Xelaju,4,0,,,,0
969148800,Antigua,Coban Imperial,2,1,,,,0
969408000,Zacapa,Marquense,4,0,,,,0
969408000,Xelaju,Deportivo Carcha,0,0,,,,0
969408000,Santa Lucia,Antigua,0,3,,,,0
969408000,Municipal,Universidad SC,1,0,,,,0
969408000,Coban Imperial,Comunicaciones,1,1,,,,0
969408000,Aurora F.C.,Deportivo Achuapa,1,0,,,,0
969667200,Universidad SC,Coban Imperial,2,1,,,,0
969753600,Marquense,Xelaju,2,2,,,,0
969753600,Deportivo Carcha,Santa Lucia,3,0,,,,0
969753600,Deportivo Achuapa,Municipal,2,1,,,,0
969753600,Comunicaciones,Aurora F.C.,3,1,,,,0
969753600,Antigua,Zacapa,4,1,,,,0
970012800,Zacapa,Deportivo Achuapa,3,2,,,,0
970012800,Xelaju,Antigua,1,0,,,,0
970012800,Coban Imperial,Deportivo Carcha,1,2,,,,0
970012800,Aurora F.C.,Universidad SC,0,2,,,,0
970099200,Santa Lucia,Marquense,1,2,,,,0
970272000,Universidad SC,Santa Lucia,2,1,,,,0
970358400,Xelaju,Deportivo Achuapa,1,0,,,,0
970358400,Marquense,Coban Imperial,1,0,,,,0
970358400,Deportivo Carcha,Aurora F.C.,2,1,,,,0
970358400,Comunicaciones,Zacapa,0,0,,,,0
970358400,Antigua,Municipal,3,1,,,,0
970963200,Zacapa,Xelaju,2,0,,,,0
970963200,Universidad SC,Deportivo Carcha,0,1,,,,0
