date,home_team,away_team,home_score,away_score
25.12. 00:00,Fica,Real du Cap,2,0
21.12. 22:00,Real du Cap,Fica,0,0
17.12. 23:00,Fica,Capoise,1,0
17.12. 23:00,Ouanaminthe,Real du Cap,1,3
15.12. 23:00,Real du Cap,Ouanaminthe,3,1
14.12. 23:00,Capoise,Fica,0,0
11.12. 21:00,Baltimore,America des Cayes,0,0
11.12. 21:00,Cavaly,Fica,0,0
11.12. 21:00,Don Bosco,Violette,0,0
11.12. 21:00,Inter de Grand-Goave,Capoise,1,0
11.12. 21:00,Juventus,Tempete,7,1
11.12. 21:00,Mirebalais,Aigle Noir,1,1
11.12. 21:00,Petit-Goave,Real du Cap,1,0
11.12. 21:00,Racing Haitien,Racing des Gonaives,1,1
11.12. 21:00,Roulado,Ouanaminthe,1,1
07.12. 21:00,Real du Cap,America des Cayes,1,0
04.12. 21:00,Aigle Noir,Inter de Grand-Goave,2,0
04.12. 21:00,America des Cayes,Petit-Goave,3,0
04.12. 21:00,Capoise,Racing Haitien,1,0
04.12. 21:00,Ouanaminthe,Mirebalais,1,0
04.12. 21:00,Racing des Gonaives,Baltimore,1,1
04.12. 21:00,Real du Cap,Cavaly,4,1
04.12. 21:00,Tempete,Don Bosco,0,0
04.12. 21:00,Violette,Roulado,3,0
03.12. 23:00,Fica,Juventus,4,2
28.11. 00:00,Don Bosco,Fica,0,0
27.11. 23:00,Baltimore,Capoise,1,0
27.11. 23:00,Racing Haitien,Aigle Noir,1,0
27.11. 21:00Awrd,Inter de Grand-Goave,Ouanaminthe,3,0
27.11. 21:00,Juventus,Cavaly,1,1
27.11. 21:00,Mirebalais,Violette,2,1
27.11. 21:00,Petit-Goave,Racing des Gonaives,0,1
27.11. 21:00Awrd,Roulado,Tempete,3,0
17.11. 22:00,Fica,Inter de Grand-Goave,4,0
16.11. 23:00,Capoise,Racing des Gonaives,1,1
16.11. 23:00,Don Bosco,Mirebalais,0,0
16.11. 22:00Awrd,Petit-Goave,Aigle Noir,0,3
13.11. 21:00,Aigle Noir,Baltimore,0,0
13.11. 21:00,Cavaly,Don Bosco,1,1
13.11. 21:00,Fica,Roulado,3,0
13.11. 21:00,Juventus,Real du Cap,2,3
13.11. 21:00,Ouanaminthe,Racing Haitien,2,0
13.11. 21:00,Racing des Gonaives,America des Cayes,0,0
13.11. 21:00,Tempete,Mirebalais,0,1
13.11. 21:00,Violette,Inter de Grand-Goave,2,0
12.11. 21:00,Capoise,Petit-Goave,2,1
07.11. 23:00,Violette,Baltimore,0,0
07.11. 00:00,Don Bosco,Real du Cap,0,0
07.11. 00:00,Tempete,Racing Haitien,0,0
06.11. 21:00,Cavaly,Mirebalais,1,0
06.11. 21:00,Juventus,Roulado,1,0
06.11. 21:00,Ouanaminthe,Petit-Goave,1,0
