timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1217116800,Victoria,Motagua,0,4,,,,0
1217116800,Real Juventud,Vida,0,1,,,,0
1217116800,Marathon,Platense,2,1,,,,0
1217116800,Deportes Savio,Real Espana,1,1,,,,0
1217203200,Olimpia,Hispano,0,0,,,,0
1217462400,Vida,Real Espana,2,3,,,,0
1217462400,Platense,Victoria,2,1,,,,0
1217462400,Motagua,Hispano,2,1,,,,0
1217462400,Marathon,Real Juventud,1,0,,,,0
1217462400,Deportes Savio,Olimpia,0,1,,,,0
1217721600,Victoria,Deportes Savio,1,0,,,,0
1217721600,Real Juventud,Motagua,1,1,,,,0
1217721600,Real Espana,Marathon,2,2,,,,0
1217721600,Hispano,Vida,2,0,,,,0
1217808000,Olimpia,Platense,2,2,,,,0
1217980800,Motagua,Real Espana,0,0,,,,0
1218067200,Victoria,Olimpia,1,1,,,,0
1218067200,Platense,Deportes Savio,1,1,,,,0
1218067200,Marathon,Vida,1,1,,,,0
1218067200,Hispano,Real Juventud,2,0,,,,0
1218326400,Vida,Motagua,1,1,,,,0
1218326400,Real Juventud,Victoria,2,0,,,,0
1218326400,Real Espana,Platense,4,0,,,,0
1218326400,Olimpia,Marathon,0,1,,,,0
1218326400,Deportes Savio,Hispano,2,1,,,,0
1218931200,Vida,Platense,1,1,,,,0
1218931200,Real Espana,Real Juventud,3,1,,,,0
1218931200,Hispano,Victoria,5,3,,,,0
1219017600,Deportes Savio,Marathon,2,1,,,,0
1219536000,Victoria,Vida,1,0,,,,0
1219536000,Real Juventud,Deportes Savio,0,3,,,,0
1219536000,Platense,Hispano,2,2,,,,0
1219536000,Marathon,Motagua,4,0,,,,0
1219622400,Olimpia,Real Espana,2,1,,,,0
1220140800,Victoria,Marathon,2,2,,,,0
1220140800,Real Juventud,Olimpia,0,0,,,,0
1220140800,Real Espana,Hispano,2,2,,,,0
1220140800,Deportes Savio,Vida,1,1,,,,0
1220745600,Vida,Olimpia,0,1,,,,0
1220745600,Platense,Real Juventud,2,1,,,,0
1220745600,Hispano,Marathon,1,2,,,,0
1220832000,Real Espana,Victoria,1,1,,,,0
1220832000,Motagua,Deportes Savio,0,2,,,,0
1221177600,Motagua,Olimpia,2,0,,,,0
1221350400,Vida,Real Juventud,1,2,,,,0
1221350400,Real Espana,Deportes Savio,2,0,,,,0
1221350400,Platense,Marathon,1,2,,,,0
1221436800,Motagua,Victoria,0,4,,,,0
1221436800,Hispano,Olimpia,3,1,,,,0
1221955200,Victoria,Platense,1,2,,,,0
1221955200,Real Juventud,Marathon,0,1,,,,0
1221955200,Real Espana,Vida,2,0,,,,0
1221955200,Olimpia,Deportes Savio,2,0,,,,0
1221955200,Hispano,Motagua,1,3,,,,0
1222300800,Motagua,Platense,1,0,,,,0
1222560000,Vida,Hispano,1,1,,,,0
1222560000,Platense,Olimpia,1,2,,,,0
1222560000,Motagua,Real Juventud,2,1,,,,0
1222560000,Marathon,Real Espana,0,2,,,,0
1222646400,Deportes Savio,Victoria,3,1,,,,0
1223078400,Olimpia,Victoria,2,1,,,,0
1223164800,Vida,Marathon,1,3,,,,0
1223164800,Real Juventud,Hispano,3,1,,,,0
1223164800,Real Espana,Motagua,3,2,,,,0
1223164800,Deportes Savio,Platense,2,1,,,,0
1224374400,Victoria,Real Juventud,1,0,,,,0
1224374400,Platense,Real Espana,0,1,,,,0
1224374400,Marathon,Olimpia,1,0,,,,0
1224374400,Hispano,Deportes Savio,2,1,,,,0
1225587600,Victoria,Hispano,1,2,,,,0
1225587600,Real Juventud,Real Espana,0,1,,,,0
1225587600,Platense,Vida,2,0,,,,0
1225587600,Olimpia,Motagua,0,2,,,,0
1225674000,Marathon,Deportes Savio,2,2,,,,0
1225933200,Motagua,Vida,1,0,,,,0
1226192400,Vida,Victoria,0,1,,,,0
1226192400,Real Espana,Olimpia,2,2,,,,0
1226192400,Motagua,Marathon,2,0,,,,0
1226192400,Hispano,Platense,1,2,,,,0
1226192400,Deportes Savio,Real Juventud,2,1,,,,0
1226797200,Vida,Deportes Savio,0,0,,,,0
1226797200,Platense,Motagua,1,0,,,,0
1226797200,Olimpia,Real Juventud,1,0,,,,0
1226797200,Marathon,Victoria,1,1,,,,0
1226797200,Hispano,Real Espana,2,3,,,,0
1227315600,Victoria,Real Espana,1,0,,,,0
1227315600,Real Juventud,Platense,1,1,,,,0
1227315600,Olimpia,Vida,2,0,,,,0
1227315600,Marathon,Hispano,0,2,,,,0
1227315600,Deportes Savio,Motagua,2,1,,,,0
1227747600,Olimpia,Real Espana,2,1,,,,0
1227834000,Motagua,Marathon,1,0,,,,0
1228266000,Real Espana,Olimpia,3,2,,,,0
1228352400,Marathon,Motagua,1,0,,,,0
1228698000,Marathon,Real Espana,1,0,,,,0
1229216400,Real Espana,Marathon,1,1,,,,0
1231635600,Vida,Olimpia,1,0,,,,0
1231635600,Real Espana,Hispano,2,0,,,,0
1231635600,Platense,Victoria,1,0,,,,0
1231635600,Motagua,Real Juventud,0,0,,,,0
1231981200,Marathon,Deportes Savio,5,0,,,,0
1232240400,Victoria,Marathon,2,1,,,,0
1232240400,Real Espana,Platense,3,0,,,,0
1232240400,Olimpia,Real Juventud,0,0,,,,0
1232240400,Hispano,Vida,4,2,,,,0
1232240400,Deportes Savio,Motagua,0,0,,,,0
1232845200,Vida,Deportes Savio,1,0,,,,0
1232845200,Real Juventud,Victoria,0,0,,,,0
1232845200,Platense,Olimpia,1,2,,,,0
1232845200,Motagua,Hispano,1,0,,,,0
1232845200,Marathon,Real Espana,0,0,,,,0
1233450000,Vida,Motagua,0,0,,,,0
1233450000,Real Juventud,Platense,1,0,,,,0
1233450000,Real Espana,Victoria,1,1,,,,0
1233450000,Hispano,Deportes Savio,1,1,,,,0
1233622800,Olimpia,Marathon,2,2,,,,0
1234054800,Victoria,Olimpia,0,1,,,,0
1234054800,Platense,Vida,1,1,,,,0
1234054800,Motagua,Real Espana,1,0,,,,0
1234054800,Marathon,Hispano,3,0,,,,0
1234054800,Deportes Savio,Real Juventud,0,1,,,,0
1234573200,Victoria,Hispano,3,0,,,,0
1234659600,Real Juventud,Vida,0,0,,,,0
1234659600,Olimpia,Motagua,1,0,,,,0
1234659600,Marathon,Platense,1,1,,,,0
1234659600,Deportes Savio,Real Espana,1,1,,,,0
1235005200,Marathon,Real Juventud,3,1,,,,0
1235264400,Vida,Victoria,2,3,,,,0
1235264400,Real Espana,Olimpia,0,0,,,,0
1235264400,Platense,Deportes Savio,0,0,,,,0
1235264400,Motagua,Marathon,0,1,,,,0
1235264400,Hispano,Real Juventud,3,2,,,,0
1235523600,Vida,Real Espana,0,2,,,,0
1235610000,Platense,Motagua,4,3,,,,0
1235610000,Olimpia,Hispano,1,0,,,,0
1235610000,Deportes Savio,Victoria,2,0,,,,0
1235869200,Victoria,Motagua,1,1,,,,0
1235869200,Real Juventud,Real Espana,0,2,,,,0
1235869200,Olimpia,Deportes Savio,2,0,,,,0
1235869200,Hispano,Platense,3,5,,,,0
1236387600,Victoria,Platense,2,2,,,,0
1236474000,Real Juventud,Motagua,1,1,,,,0
1236474000,Olimpia,Vida,0,0,,,,0
1236474000,Hispano,Real Espana,0,1,,,,0
1236474000,Deportes Savio,Marathon,4,1,,,,0
1236733200,Vida,Hispano,1,1,,,,0
1236733200,Real Juventud,Olimpia,1,0,,,,0
1236819600,Platense,Real Espana,2,1,,,,0
1236819600,Motagua,Deportes Savio,0,2,,,,0
1236819600,Marathon,Victoria,2,2,,,,0
1236992400,Victoria,Real Juventud,1,0,,,,0
1237078800,Real Espana,Marathon,0,3,,,,0
