timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1438466400,Victoria,Platense,Y5eozcI6,dtnFGY4p,1,0,,,,0
1438473600,Real Espana,Honduras Progreso,dQeZ4aH3,WvziCH8E,1,2,,,,0
1438545600,Real Sociedad,Vida,zo4qSbBF,CUqa1zXK,4,0,,,,0
1438995600,Honduras Progreso,Olimpia,WvziCH8E,WvziCH8E,4,1,,,,0
1439082000,Vida,Platense,CUqa1zXK,dtnFGY4p,1,0,,,,0
1439082000,Marathon,Real Sociedad,IJKf4CSg,zo4qSbBF,0,3,,,,0
1439150400,Juticalpa,Real Espana,dtnFGY4p,dQeZ4aH3,2,0,,,,0
1439157600,Motagua,Victoria,dtCxYreO,Y5eozcI6,5,1,,,,0
1439413200,Real Sociedad,Honduras Progreso,zo4qSbBF,WvziCH8E,0,1,,,,0
1439416800,Victoria,Marathon,Y5eozcI6,IJKf4CSg,0,0,,,,0
1439427600,Real Espana,Vida,dQeZ4aH3,CUqa1zXK,0,1,,,,0
1439427600,Platense,Juticalpa,dtnFGY4p,dtnFGY4p,2,0,,,,0
1439427600,Olimpia,Motagua,WvziCH8E,dtCxYreO,1,2,,,,0
1439686800,Vida,Juticalpa,CUqa1zXK,dtnFGY4p,1,2,,,,0
1439686800,Marathon,Motagua,IJKf4CSg,dtCxYreO,2,1,,,,0
1439686800,Honduras Progreso,Victoria,WvziCH8E,Y5eozcI6,1,1,,,,0
1439758800,Platense,Real Sociedad,dtnFGY4p,zo4qSbBF,1,1,,,,0
1439762400,Olimpia,Real Espana,WvziCH8E,dQeZ4aH3,1,2,,,,0
1440279000,Marathon,Real Espana,IJKf4CSg,dQeZ4aH3,2,0,,,,0
1440291600,Victoria,Vida,Y5eozcI6,CUqa1zXK,1,0,,,,0
1440360000,Real Sociedad,Olimpia,zo4qSbBF,WvziCH8E,1,2,,,,0
1440360000,Juticalpa,Honduras Progreso,dtnFGY4p,WvziCH8E,0,1,,,,0
1440367200,Motagua,Platense,dtCxYreO,dtnFGY4p,2,1,,,,0
1440885600,Victoria,Juticalpa,Y5eozcI6,dtnFGY4p,1,1,,,,0
1440896400,Real Espana,Real Sociedad,dQeZ4aH3,zo4qSbBF,1,1,,,,0
1440970200,Honduras Progreso,Motagua,WvziCH8E,dtCxYreO,4,1,,,,0
1440972000,Platense,Marathon,dtnFGY4p,IJKf4CSg,0,0,,,,0
1440972000,Olimpia,Vida,WvziCH8E,CUqa1zXK,2,3,,,,0
1441414800,Honduras Progreso,Platense,WvziCH8E,dtnFGY4p,4,3,,,,0
1441501200,Real Espana,Victoria,dQeZ4aH3,Y5eozcI6,4,2,,,,0
1441569600,Juticalpa,Olimpia,dtnFGY4p,WvziCH8E,0,1,,,,0
1441576800,Vida,Marathon,CUqa1zXK,IJKf4CSg,0,0,,,,0
1441576800,Motagua,Real Sociedad,dtCxYreO,zo4qSbBF,2,4,,,,0
1442106000,Victoria,Olimpia,Y5eozcI6,WvziCH8E,1,4,,,,0
1442106000,Motagua,Vida,dtCxYreO,CUqa1zXK,5,0,,,,0
1442106000,Marathon,Honduras Progreso,IJKf4CSg,WvziCH8E,1,2,,,,0
1442174400,Real Sociedad,Juticalpa,zo4qSbBF,dtnFGY4p,0,1,,,,0
1442181600,Platense,Real Espana,dtnFGY4p,dQeZ4aH3,1,0,,,,0
1442440800,Juticalpa,Motagua,dtnFGY4p,dtCxYreO,1,2,,,,0
1442710800,Vida,Honduras Progreso,CUqa1zXK,WvziCH8E,2,1,,,,0
1442710800,Real Espana,Motagua,dQeZ4aH3,dtCxYreO,2,2,,,,0
1442786400,Olimpia,Platense,WvziCH8E,dtnFGY4p,0,1,,,,0
1442786400,Juticalpa,Marathon,dtnFGY4p,IJKf4CSg,2,0,,,,0
1442851200,Real Sociedad,Victoria,zo4qSbBF,Y5eozcI6,1,1,,,,0
