date,home_team,away_team,home_score,away_score
25.05. 02:00AET,Olimpia,Real Espana,2,1
17.05. 02:00,Real Espana,Olimpia,2,2
11.05. 02:00,Olimpia,Vida,2,0
10.05. 02:00,Marathon,Real Espana,1,3
08.05. 02:00,Real Espana,Marathon,3,1
08.05. 02:00,Vida,Olimpia,1,0
02.05. 02:00,Deportes Savio,Olimpia,0,1
02.05. 02:00,Motagua,Victoria,0,3
02.05. 02:00,Real Espana,Real Juventud,2,1
02.05. 02:00,Vida,Marathon,2,1
26.04. 02:00,Hispano,Olimpia,1,4
26.04. 02:00,Motagua,Platense,1,0
26.04. 02:00,Real Espana,Vida,0,1
26.04. 02:00,Real Juventud,Marathon,1,2
26.04. 02:00,Victoria,Deportes Savio,2,1
20.04. 02:00,Marathon,Motagua,6,3
20.04. 02:00,Olimpia,Real Espana,0,2
19.04. 02:00,Deportes Savio,Platense,1,0
19.04. 02:00,Real Juventud,Hispano,3,2
19.04. 02:00,Victoria,Vida,1,1
17.04. 02:00,Motagua,Olimpia,0,1
16.04. 02:00,Hispano,Victoria,2,1
16.04. 02:00,Platense,Marathon,1,2
16.04. 02:00,Real Espana,Deportes Savio,2,1
15.04. 02:00,Vida,Real Juventud,2,0
06.04. 02:00,Olimpia,Victoria,3,1
05.04. 02:00,Hispano,Marathon,0,4
05.04. 02:00,Real Espana,Motagua,0,0
05.04. 02:00,Real Juventud,Deportes Savio,2,2
05.04. 02:00,Vida,Platense,1,1
26.03. 02:00,Marathon,Vida,4,1
22.03. 02:00,Deportes Savio,Hispano,1,0
22.03. 02:00,Marathon,Olimpia,1,3
22.03. 02:00,Motagua,Vida,0,0
22.03. 02:00,Platense,Real Juventud,1,1
21.03. 02:00,Victoria,Real Espana,1,1
15.03. 02:00,Deportes Savio,Vida,1,2
15.03. 02:00,Hispano,Motagua,1,2
15.03. 02:00,Olimpia,Platense,3,0
15.03. 02:00,Real Espana,Marathon,0,3
14.03. 02:00,Victoria,Real Juventud,1,0
12.03. 02:00,Marathon,Victoria,2,2
12.03. 02:00,Motagua,Deportes Savio,0,2
12.03. 02:00,Platense,Real Espana,2,1
11.03. 02:00,Real Juventud,Olimpia,1,0
11.03. 02:00,Vida,Hispano,1,1
08.03. 02:00,Deportes Savio,Marathon,4,1
08.03. 02:00,Hispano,Real Espana,0,1
08.03. 02:00,Olimpia,Vida,0,0
08.03. 02:00,Real Juventud,Motagua,1,1
07.03. 02:00,Victoria,Platense,2,2
01.03. 02:00,Hispano,Platense,3,5
01.03. 02:00,Olimpia,Deportes Savio,2,0
01.03. 02:00,Real Juventud,Real Espana,0,2
01.03. 02:00,Victoria,Motagua,1,1
26.02. 02:00,Deportes Savio,Victoria,2,0
26.02. 02:00,Olimpia,Hispano,1,0
26.02. 02:00,Platense,Motagua,4,3
25.02. 02:00,Vida,Real Espana,0,2
22.02. 02:00,Hispano,Real Juventud,3,2
22.02. 02:00,Motagua,Marathon,0,1
22.02. 02:00,Platense,Deportes Savio,0,0
22.02. 02:00,Real Espana,Olimpia,0,0
22.02. 02:00,Vida,Victoria,2,3
19.02. 02:00,Marathon,Real Juventud,3,1
15.02. 02:00,Deportes Savio,Real Espana,1,1
15.02. 02:00,Marathon,Platense,1,1
