timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1125730800,Sun Hei,Happy Valley,1,1,,,,0
1125817200,Sheffield United,Hong Kong 08,2,1,,,,0
1126335600,Hong Kong Rangers,Hong Kong 08,4,0,,,,0
1126422000,South China,Kitchee,2,2,,,,0
1126940400,Sheffield United,Citizen,1,1,,,,0
1127026800,Kitchee,Sun Hei,2,0,,,,0
1127113200,Hong Kong 08,South China,0,5,,,,0
1127113200,Happy Valley,Hong Kong Rangers,1,3,,,,0
1127545200,Hong Kong Rangers,Sun Hei,3,0,,,,0
1127545200,Citizen,Happy Valley,1,3,,,,0
1127631600,Hong Kong 08,Kitchee,0,6,,,,0
1128150000,Kitchee,Hong Kong Rangers,1,0,,,,0
1128236400,Sun Hei,Citizen,3,1,,,,0
1128236400,Happy Valley,South China,4,3,,,,0
1128668400,Sheffield United,Kitchee,0,2,,,,0
1128754800,Citizen,Hong Kong Rangers,0,3,,,,0
1128841200,South China,Sun Hei,1,3,,,,0
1128841200,Hong Kong 08,Happy Valley,0,5,,,,0
1129359600,Kitchee,Citizen,3,0,,,,0
1129359600,Hong Kong Rangers,South China,3,1,,,,0
1129446000,Sun Hei,Hong Kong 08,3,0,,,,0
1129446000,Happy Valley,Sheffield United,3,1,,,,0
1129618800,South China,Sheffield United,1,1,,,,0
1129618800,Citizen,Hong Kong 08,3,0,,,,0
1129964400,South China,Citizen,1,2,,,,0
1129964400,Hong Kong Rangers,Sheffield United,2,0,,,,0
1130050800,Happy Valley,Kitchee,1,1,,,,0
1130310000,Sheffield United,Sun Hei,1,3,,,,0
1134720000,Sheffield United,Hong Kong Rangers,2,2,,,,0
1134806400,Happy Valley,Sun Hei,2,0,,,,0
1134892800,Kitchee,South China,0,0,,,,0
1134892800,Hong Kong 08,Citizen,0,2,,,,0
1135324800,Sun Hei,Kitchee,1,0,,,,0
1135411200,South China,Hong Kong 08,2,0,,,,0
1135411200,Citizen,Sheffield United,1,1,,,,0
1135497600,Hong Kong Rangers,Happy Valley,1,6,,,,0
1137139200,Sheffield United,South China,1,0,,,,0
1137225600,Sun Hei,Hong Kong Rangers,5,0,,,,0
1137225600,Kitchee,Hong Kong 08,1,1,,,,0
1137312000,Happy Valley,Citizen,2,1,,,,0
1137830400,Hong Kong Rangers,Kitchee,1,0,,,,0
1137830400,Citizen,Sun Hei,2,2,,,,0
1137916800,South China,Happy Valley,0,2,,,,0
1137916800,Hong Kong 08,Sheffield United,0,1,,,,0
1139644800,Sun Hei,South China,3,0,,,,0
1139644800,Hong Kong Rangers,Citizen,1,1,,,,0
1139731200,Kitchee,Sheffield United,0,0,,,,0
1139731200,Happy Valley,Hong Kong 08,2,0,,,,0
1143273600,South China,Hong Kong Rangers,1,0,,,,0
1143273600,Citizen,Kitchee,4,4,,,,0
1143356400,Sheffield United,Happy Valley,1,4,,,,0
1143529200,Hong Kong 08,Sun Hei,0,6,,,,0
1145775600,Hong Kong 08,Hong Kong Rangers,1,1,,,,0
1145775600,Citizen,South China,1,1,,,,0
1146294000,Sun Hei,Sheffield United,0,2,,,,0
1146294000,Kitchee,Happy Valley,2,3,,,,0
