timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1375898400,Szolnoki MAV,Mezokovesd-Zsory,0,1,,,,0
1376146800,Szigetszentmiklos,Tatabanya,2,1,,,,0
1376146800,Szeged,Kozarmisleny SE,1,1,AET,3,2,0
1376146800,Repcelaki,Ajka,1,6,,,,0
1376146800,Putnok,Cegledi,0,2,,,,0
1376146800,Pannonhalma,Godollo,0,3,,,,0
1376146800,Nyirgyulaj,Bekescsaba 1912,0,5,,,,0
1376146800,Nagykorosi,Tallya,2,0,,,,0
1376146800,Lipot,BKV Elore,1,4,,,,0
1376146800,Gyongyosi,Cigand SE,3,3,Pen,3,4,0
1376146800,Felsozsolca,Jaszberenyi,1,0,,,,0
1376146800,Csanadpalotai,Dunaujvaros,1,3,,,,0
1376146800,Balmazujvarosi,Kemecse,0,7,,,,0
1376154000,Gyirmot,Vasas,2,0,,,,0
1376233200,Voyage,Martonvasari,4,1,,,,0
1376233200,Tolna,Bajai,0,7,,,,0
1376233200,Szikszo,Felsotarkany,1,5,,,,0
1376233200,Siklos,Hetenyegyhaz,1,0,,,,0
1376233200,Sarisap-Task,Balassagyarmat,0,2,,,,0
1376233200,Pilisi,Ottevenyi,2,0,,,,0
1376233200,Peti,Zalaszentgroti,0,5,,,,0
1376233200,Papateszeri,Uraiujfalu,0,1,,,,0
1376233200,Nagyszekeres,Balmazujvaros Sport,1,2,,,,0
1376233200,Nagyberki,Zalaegerszegi,0,5,,,,0
1376233200,Nadasd,Veszprem,0,4,,,,0
1376233200,Morahalom,Szekszardi,0,2,,,,0
1376233200,Mezokovacshazi,Nyirbator,2,4,,,,0
1376233200,Markas,Tiszaujvaros,2,3,,,,0
1376233200,Letenye SE,Balatonfuredi,0,2,,,,0
1376233200,Kunszallas,Pecsvarad,3,0,,,,0
1376233200,Kunhegyes,Kazincbarcikai,2,4,,,,0
1376233200,Haladas II,Csakvari,0,13,,,,0
1376233200,Geresdlak,Oroshaza,3,2,,,,0
1376233200,Gederlak,Sarszentmiklos,0,2,,,,0
1376233200,Elek,Kisvarda,1,7,,,,0
1376233200,Ebes,Nyiregyhaza,0,2,,,,0
1376233200,Dunaharaszti MTK,Soproni VSE,2,4,,,,0
1376233200,Csornai,Rakosmenti KSK,1,4,,,,0
1376233200,Biatorbagy,Menfocsanak,3,0,,,,0
1376233200,Berkenye,Mosonmagyarovari TE,0,6,,,,0
1376233200,Balatonlelle,Andrashida,1,7,,,,0
1376233200,Balatonkenese,Heviz,0,6,,,,0
1376233200,Babolnai,ESMTK Budapest,1,3,,,,0
1377613800,Cigand SE,Felsotarkany,3,2,,,,0
1377698400,Nyiregyhaza,Cegledi,2,0,,,,0
