timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1468684800,Ujpest,Honved,0,2,,,,0
1468684800,Mezokovesd-Zsory,Gyirmot,2,2,,,,0
1468693800,Ferencvaros,Haladas,3,1,,,,0
1468771200,MTK Budapest,Vasas,0,1,,,,0
1468771200,Fehervar FC,DVTK,1,2,,,,0
1468771200,Debrecen,Paks,1,1,,,,0
1469289600,Haladas,Mezokovesd-Zsory,1,1,,,,0
1469289600,DVTK,Ujpest,2,1,,,,0
1469298600,Honved,Ferencvaros,0,1,,,,0
1469376000,Vasas,Debrecen,3,1,,,,0
1469376000,Paks,Fehervar FC,1,1,,,,0
1469376000,Gyirmot,MTK Budapest,0,0,,,,0
1469894400,Ujpest,Paks,1,0,,,,0
1469894400,Haladas,Honved,1,1,,,,0
1469903400,Ferencvaros,DVTK,6,2,,,,0
1469980800,MTK Budapest,Mezokovesd-Zsory,0,1,,,,0
1469980800,Fehervar FC,Vasas,1,2,,,,0
1469980800,Debrecen,Gyirmot,4,0,,,,0
1470499200,Paks,Ferencvaros,0,0,,,,0
1470499200,DVTK,Honved,0,3,,,,0
1470508200,Vasas,Ujpest,0,1,,,,0
1470585600,MTK Budapest,Haladas,0,2,,,,0
1470585600,Mezokovesd-Zsory,Debrecen,0,1,,,,0
1470585600,Gyirmot,Fehervar FC,0,4,,,,0
1471104000,Ujpest,Gyirmot,3,1,,,,0
1471104000,Honved,Paks,3,1,,,,0
1471104000,Haladas,DVTK,3,1,,,,0
1471104000,Fehervar FC,Mezokovesd-Zsory,2,0,,,,0
1471104000,Debrecen,MTK Budapest,1,1,,,,0
1471113000,Ferencvaros,Vasas,1,2,,,,0
1471363200,MTK Budapest,Fehervar FC,1,0,,,,0
1471449600,Debrecen,Haladas,0,1,,,,0
1471453200,Vasas,Honved,2,0,,,,0
1471453200,Paks,DVTK,2,1,,,,0
1471453200,Mezokovesd-Zsory,Ujpest,0,2,,,,0
1471453200,Gyirmot,Ferencvaros,0,1,,,,0
1471795200,Ujpest,MTK Budapest,0,0,,,,0
1471795200,Honved,Gyirmot,0,0,,,,0
1471795200,Haladas,Paks,3,1,,,,0
1471795200,Ferencvaros,Mezokovesd-Zsory,2,2,,,,0
1471795200,DVTK,Vasas,1,1,,,,0
1471802400,Fehervar FC,Debrecen,5,1,,,,0
1473523200,Vasas,Paks,1,0,,,,0
1473523200,Mezokovesd-Zsory,Honved,3,1,,,,0
1473523200,Gyirmot,DVTK,1,0,,,,0
1473523200,Fehervar FC,Haladas,3,0,,,,0
1473523200,Debrecen,Ujpest,2,1,,,,0
1473532200,MTK Budapest,Ferencvaros,2,1,,,,0
1474129800,Ujpest,Fehervar FC,3,4,,,,0
1474129800,Paks,Gyirmot,0,0,,,,0
1474129800,Honved,MTK Budapest,5,0,,,,0
1474129800,Haladas,Vasas,1,0,,,,0
1474129800,DVTK,Mezokovesd-Zsory,1,1,,,,0
1474137000,Ferencvaros,Debrecen,3,1,,,,0
1474394400,Debrecen,Honved,0,1,,,,0
1474477200,Ujpest,Haladas,1,1,,,,0
1474477200,MTK Budapest,DVTK,1,0,,,,0
1474477200,Mezokovesd-Zsory,Paks,1,3,,,,0
1474477200,Gyirmot,Vasas,1,0,,,,0
1474480800,Fehervar FC,Ferencvaros,1,1,,,,0
1474732800,Vasas,Mezokovesd-Zsory,4,0,,,,0
1474732800,Paks,MTK Budapest,0,0,,,,0
1474732800,Honved,Fehervar FC,1,2,,,,0
1474732800,Haladas,Gyirmot,0,1,,,,0
1474732800,DVTK,Debrecen,1,3,,,,0
1474741800,Ferencvaros,Ujpest,3,3,,,,0
1476538200,Gyirmot,Mezokovesd-Zsory,0,1,,,,0
1476547200,Vasas,MTK Budapest,3,2,,,,0
1476547200,Paks,Debrecen,1,1,,,,0
1476547200,Honved,Ujpest,1,1,,,,0
1476547200,Haladas,Ferencvaros,2,0,,,,0
1476547200,DVTK,Fehervar FC,2,0,,,,0
1477143000,Fehervar FC,Paks,5,1,,,,0
1477150200,Debrecen,Vasas,1,2,,,,0
1477152000,Ujpest,DVTK,4,4,,,,0
1477152000,MTK Budapest,Gyirmot,1,0,,,,0
1477152000,Mezokovesd-Zsory,Haladas,3,0,,,,0
1477152000,Ferencvaros,Honved,3,2,,,,0
1477747800,Honved,Haladas,2,1,,,,0
1477755000,DVTK,Ferencvaros,2,3,,,,0
1477755900,Vasas,Fehervar FC,1,1,,,,0
1477756800,Paks,Ujpest,1,1,,,,0
1477756800,Mezokovesd-Zsory,MTK Budapest,1,0,,,,0
1477756800,Gyirmot,Debrecen,1,2,,,,0
1478356200,Honved,DVTK,2,0,,,,0
1478356200,Haladas,MTK Budapest,1,1,,,,0
1478356200,Ferencvaros,Paks,1,2,,,,0
1478356200,Fehervar FC,Gyirmot,4,0,,,,0
1478356200,Debrecen,Mezokovesd-Zsory,0,0,,,,0
1478365200,Ujpest,Vasas,2,2,,,,0
1479565800,Paks,Honved,1,1,,,,0
1479565800,MTK Budapest,Debrecen,1,1,,,,0
1479565800,Mezokovesd-Zsory,Fehervar FC,2,1,,,,0
1479565800,Gyirmot,Ujpest,1,2,,,,0
1479565800,DVTK,Haladas,2,1,,,,0
1479574800,Vasas,Ferencvaros,2,2,,,,0
1480170600,Ujpest,Mezokovesd-Zsory,1,1,,,,0
1480170600,Honved,Vasas,2,1,,,,0
1480170600,Haladas,Debrecen,1,0,,,,0
1480170600,Ferencvaros,Gyirmot,2,0,,,,0
1480170600,DVTK,Paks,2,0,,,,0
1480179600,Fehervar FC,MTK Budapest,2,0,,,,0
1480775400,Vasas,DVTK,3,0,,,,0
1480775400,Paks,Haladas,2,1,,,,0
1480775400,MTK Budapest,Ujpest,1,1,,,,0
1480775400,Mezokovesd-Zsory,Ferencvaros,2,0,,,,0
1480775400,Gyirmot,Honved,0,4,,,,0
1480784400,Debrecen,Fehervar FC,0,1,,,,0
1481380200,Ujpest,Debrecen,2,0,,,,0
1481380200,Paks,Vasas,1,0,,,,0
1481380200,Honved,Mezokovesd-Zsory,1,0,,,,0
1481380200,Haladas,Fehervar FC,1,1,,,,0
1481380200,DVTK,Gyirmot,1,0,,,,0
1481389200,Ferencvaros,MTK Budapest,1,1,,,,0
1487428200,MTK Budapest,Honved,1,2,,,,0
1487428200,Mezokovesd-Zsory,DVTK,3,0,,,,0
1487428200,Gyirmot,Paks,0,0,,,,0
1487428200,Fehervar FC,Ujpest,5,1,,,,0
1487437200,Debrecen,Ferencvaros,0,0,,,,0
1488033000,Vasas,Gyirmot,1,1,,,,0
1488033000,Paks,Mezokovesd-Zsory,5,0,,,,0
1488033000,Honved,Debrecen,1,0,,,,0
1488033000,Haladas,Ujpest,0,2,,,,0
1488033000,DVTK,MTK Budapest,2,3,,,,0
1488042000,Ferencvaros,Fehervar FC,0,0,,,,0
1488637800,MTK Budapest,Paks,1,2,,,,0
1488637800,Mezokovesd-Zsory,Vasas,0,2,,,,0
1488637800,Gyirmot,Haladas,1,2,,,,0
1488637800,Fehervar FC,Honved,3,0,,,,0
1488637800,Debrecen,DVTK,3,0,,,,0
1488646800,Ujpest,Ferencvaros,0,1,,,,0
1489242600,MTK Budapest,Vasas,1,0,,,,0
1489242600,Mezokovesd-Zsory,Gyirmot,1,1,,,,0
1489242600,Fehervar FC,DVTK,2,0,,,,0
1489242600,Debrecen,Paks,1,3,,,,0
1489251600,Ujpest,Honved,1,1,,,,0
1489251600,Ferencvaros,Haladas,3,1,,,,0
1489681800,Vasas,Haladas,2,3,,,,0
1491062400,Vasas,Debrecen,2,3,,,,0
1491062400,Paks,Fehervar FC,0,0,,,,0
1491062400,Haladas,Mezokovesd-Zsory,4,2,,,,0
1491062400,Gyirmot,MTK Budapest,1,0,,,,0
1491062400,DVTK,Ujpest,3,1,,,,0
1491071400,Honved,Ferencvaros,2,1,,,,0
1491667200,Ujpest,Paks,1,1,,,,0
1491667200,MTK Budapest,Mezokovesd-Zsory,2,0,,,,0
1491667200,Haladas,Honved,0,1,,,,0
1491667200,Fehervar FC,Vasas,1,2,,,,0
1491667200,Debrecen,Gyirmot,2,1,,,,0
1491676200,Ferencvaros,DVTK,1,1,,,,0
1491926400,Vasas,Ujpest,2,3,,,,0
1491926400,DVTK,Honved,2,0,,,,0
1492012800,Paks,Ferencvaros,3,1,,,,0
1492012800,MTK Budapest,Haladas,0,0,,,,0
1492012800,Mezokovesd-Zsory,Debrecen,2,1,,,,0
1492012800,Gyirmot,Fehervar FC,0,1,,,,0
1492272000,Ujpest,Gyirmot,2,2,,,,0
1492272000,Honved,Paks,2,0,,,,0
1492272000,Haladas,DVTK,2,0,,,,0
1492272000,Fehervar FC,Mezokovesd-Zsory,1,1,,,,0
1492273800,Debrecen,MTK Budapest,0,0,,,,0
1492281000,Ferencvaros,Vasas,1,2,,,,0
1492876800,Paks,DVTK,0,1,,,,0
1492876800,MTK Budapest,Fehervar FC,1,1,,,,0
1492876800,Mezokovesd-Zsory,Ujpest,1,3,,,,0
1492876800,Gyirmot,Ferencvaros,2,3,,,,0
1492876800,Debrecen,Haladas,4,2,,,,0
1492885800,Vasas,Honved,1,0,,,,0
1493481600,Ujpest,MTK Budapest,1,2,,,,0
1493481600,Honved,Gyirmot,1,0,,,,0
1493481600,Haladas,Paks,2,0,,,,0
1493481600,Ferencvaros,Mezokovesd-Zsory,3,1,,,,0
1493481600,DVTK,Vasas,2,1,,,,0
1493490600,Fehervar FC,Debrecen,3,2,,,,0
1494086400,Vasas,Paks,0,3,,,,0
1494086400,Mezokovesd-Zsory,Honved,1,5,,,,0
1494086400,Gyirmot,DVTK,1,1,,,,0
1494086400,Fehervar FC,Haladas,2,0,,,,0
1494086400,Debrecen,Ujpest,1,0,,,,0
1494095400,MTK Budapest,Ferencvaros,1,3,,,,0
1494691200,Paks,Gyirmot,3,0,,,,0
