timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1304359200,Vestmannaeyjar,Fram,GhaBLUZO,fL3dmxxd,1,0,,,,0
1304363700,Valur,Hafnarfjordur,juoTB6Rh,K4lZsY9J,1,0,,,,0
1304363700,Keflavik,Stjarnan,OhPjY7JU,juoTB6Rh,4,2,,,,0
1304363700,Fylkir,Grindavik,YFWSwCkg,UakDSYpT,2,3,,,,0
1304450100,Vikingur Reykjavik,Thor Akureyri,ATBUwpjA,88ByecJ3,2,0,,,,0
1304450100,Breidablik,KR Reykjavik,UPMdbcD9,GYYKuYKt,2,3,,,,0
1304784000,Vestmannaeyjar,Fylkir,GhaBLUZO,YFWSwCkg,1,2,,,,0
1304784000,Stjarnan,Vikingur Reykjavik,juoTB6Rh,ATBUwpjA,0,0,,,,0
1304784000,Fram,Thor Akureyri,fL3dmxxd,88ByecJ3,0,1,,,,0
1304882100,KR Reykjavik,Keflavik,GYYKuYKt,OhPjY7JU,1,1,,,,0
1304882100,Hafnarfjordur,Breidablik,K4lZsY9J,UPMdbcD9,4,1,,,,0
1304882100,Grindavik,Valur,UakDSYpT,juoTB6Rh,0,2,,,,0
1305141300,Vikingur Reykjavik,KR Reykjavik,ATBUwpjA,GYYKuYKt,0,2,,,,0
1305141300,Thor Akureyri,Stjarnan,88ByecJ3,juoTB6Rh,0,1,,,,0
1305141300,Keflavik,Hafnarfjordur,OhPjY7JU,K4lZsY9J,1,1,,,,0
1305141300,Fylkir,Fram,YFWSwCkg,fL3dmxxd,0,0,,,,0
1305141300,Breidablik,Grindavik,UPMdbcD9,UakDSYpT,2,1,,,,0
1305144000,Valur,Vestmannaeyjar,juoTB6Rh,GhaBLUZO,0,1,,,,0
1305475200,Vestmannaeyjar,Breidablik,GhaBLUZO,UPMdbcD9,1,1,,,,0
1305486900,Fylkir,Valur,YFWSwCkg,juoTB6Rh,2,1,,,,0
1305486900,Fram,Stjarnan,fL3dmxxd,juoTB6Rh,2,5,,,,0
1305573300,Hafnarfjordur,Vikingur Reykjavik,K4lZsY9J,ATBUwpjA,1,1,,,,0
1305573300,Grindavik,Keflavik,UakDSYpT,OhPjY7JU,0,2,,,,0
1305576000,KR Reykjavik,Thor Akureyri,GYYKuYKt,88ByecJ3,3,1,,,,0
1306091700,Vikingur Reykjavik,Grindavik,ATBUwpjA,UakDSYpT,0,0,,,,0
1306091700,Valur,Fram,juoTB6Rh,fL3dmxxd,1,0,,,,0
1306091700,Stjarnan,KR Reykjavik,juoTB6Rh,GYYKuYKt,1,1,,,,0
1306091700,Breidablik,Fylkir,UPMdbcD9,YFWSwCkg,3,1,,,,0
1306094400,Keflavik,Vestmannaeyjar,OhPjY7JU,GhaBLUZO,0,2,,,,0
1306684800,Vestmannaeyjar,Vikingur Reykjavik,GhaBLUZO,ATBUwpjA,2,0,,,,0
1306696500,Valur,Breidablik,juoTB6Rh,UPMdbcD9,2,0,,,,0
1306696500,Fram,KR Reykjavik,fL3dmxxd,GYYKuYKt,1,2,,,,0
1306782900,Hafnarfjordur,Stjarnan,K4lZsY9J,juoTB6Rh,3,0,,,,0
1306782900,Fylkir,Keflavik,YFWSwCkg,OhPjY7JU,2,1,,,,0
1306785600,Grindavik,Thor Akureyri,UakDSYpT,88ByecJ3,4,1,,,,0
1307387700,Stjarnan,Grindavik,juoTB6Rh,UakDSYpT,2,1,,,,0
1307390400,Vikingur Reykjavik,Fylkir,ATBUwpjA,YFWSwCkg,1,3,,,,0
1307474100,Thor Akureyri,Vestmannaeyjar,88ByecJ3,GhaBLUZO,2,1,,,,0
1307474100,Breidablik,Fram,UPMdbcD9,fL3dmxxd,1,1,,,,0
1307476800,KR Reykjavik,Hafnarfjordur,GYYKuYKt,K4lZsY9J,2,0,,,,0
1307989800,Thor Akureyri,Hafnarfjordur,88ByecJ3,K4lZsY9J,2,2,,,,0
1308945600,Vestmannaeyjar,Stjarnan,GhaBLUZO,juoTB6Rh,2,1,,,,0
1309107600,Fylkir,Thor Akureyri,YFWSwCkg,88ByecJ3,1,1,,,,0
1309115700,Valur,Vikingur Reykjavik,juoTB6Rh,ATBUwpjA,2,1,,,,0
1309115700,Grindavik,KR Reykjavik,UakDSYpT,GYYKuYKt,0,3,,,,0
1309202100,Breidablik,Keflavik,UPMdbcD9,OhPjY7JU,2,1,,,,0
1309204800,Fram,Hafnarfjordur,fL3dmxxd,K4lZsY9J,1,2,,,,0
1309461300,Keflavik,Valur,OhPjY7JU,juoTB6Rh,0,2,,,,0
1309979700,Vikingur Reykjavik,Breidablik,ATBUwpjA,UPMdbcD9,2,2,,,,0
1309979700,Thor Akureyri,Valur,88ByecJ3,juoTB6Rh,0,3,,,,0
1309979700,Keflavik,Fram,OhPjY7JU,fL3dmxxd,1,0,,,,0
1309979700,Hafnarfjordur,Grindavik,K4lZsY9J,UakDSYpT,7,2,,,,0
1309982400,Stjarnan,Fylkir,juoTB6Rh,YFWSwCkg,4,1,,,,0
1310227200,Breidablik,Thor Akureyri,UPMdbcD9,88ByecJ3,4,1,,,,0
1310313600,Vestmannaeyjar,Hafnarfjordur,GhaBLUZO,K4lZsY9J,3,1,,,,0
1310328000,Fylkir,KR Reykjavik,YFWSwCkg,GYYKuYKt,0,3,,,,0
1310411700,Keflavik,Vikingur Reykjavik,OhPjY7JU,ATBUwpjA,2,1,,,,0
1310411700,Fram,Grindavik,fL3dmxxd,UakDSYpT,1,1,,,,0
1310414400,Valur,Stjarnan,juoTB6Rh,juoTB6Rh,1,1,,,,0
