timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1423854000,Valur,Stjarnan,juoTB6Rh,juoTB6Rh,1,1,,,,0
1423912500,Akranes,Haukar,4hhcealo,AZnOPGmc,4,3,,,,0
1423915200,Keflavik,Grindavik,OhPjY7JU,UakDSYpT,4,2,,,,0
1423922400,Selfoss,Grotta,vVtcIMuQ,G0BCkS3I,1,1,,,,0
1423926000,Fylkir,Vestmannaeyjar,YFWSwCkg,GhaBLUZO,4,0,,,,0
1423933200,Throttur,Bolungarvik,zw0oiUbh,IP5ctvAE,2,0,,,,0
1424008800,Fjardabyggd,Thor Akureyri,EB9Z0sEO,88ByecJ3,1,2,,,,0
1424012400,Fjolnir,KA Akureyri,Grlam9Tu,IP5ctvAE,1,0,,,,0
1424019600,Fram,Leiknir,fL3dmxxd,GvStD1NM,1,2,,,,0
1424026800,Vikingur Reykjavik,KR Reykjavik,ATBUwpjA,GYYKuYKt,4,3,,,,0
1424196900,Kopavogur,Hafnarfjordur,rgYuXGKm,K4lZsY9J,2,1,,,,0
1424458800,Fylkir,Breidablik,YFWSwCkg,UPMdbcD9,0,0,,,,0
1424517300,Akranes,Stjarnan,4hhcealo,juoTB6Rh,2,0,,,,0
1424521800,Kopavogur,Bolungarvik,rgYuXGKm,IP5ctvAE,5,0,,,,0
1424527200,Keflavik,Thor Akureyri,OhPjY7JU,88ByecJ3,2,1,,,,0
1424530800,Valur,Grindavik,juoTB6Rh,UakDSYpT,3,2,,,,0
1424530800,KA Akureyri,Fram,IP5ctvAE,fL3dmxxd,2,0,,,,0
1424538000,KR Reykjavik,Fjolnir,GYYKuYKt,Grlam9Tu,0,1,,,,0
1424606400,Haukar,Fjardabyggd,AZnOPGmc,EB9Z0sEO,1,3,,,,0
1424617200,Vikingur Reykjavik,Selfoss,ATBUwpjA,vVtcIMuQ,3,1,,,,0
1424617200,Olafsvik,Throttur,6PrjRERe,zw0oiUbh,1,1,,,,0
1424624400,Leiknir,Grotta,GvStD1NM,G0BCkS3I,4,2,,,,0
1424801700,Hafnarfjordur,Vestmannaeyjar,K4lZsY9J,GhaBLUZO,2,0,,,,0
1424980800,Thor Akureyri,Akranes,88ByecJ3,4hhcealo,1,2,,,,0
1425214800,Fjardabyggd,Keflavik,EB9Z0sEO,OhPjY7JU,3,2,,,,0
1425222000,Fylkir,Bolungarvik,YFWSwCkg,IP5ctvAE,5,0,,,,0
1425225600,Olafsvik,Hafnarfjordur,6PrjRERe,K4lZsY9J,0,4,,,,0
1425229200,Vikingur Reykjavik,Leiknir,ATBUwpjA,GvStD1NM,0,3,,,,0
1425492000,Keflavik,Valur,OhPjY7JU,juoTB6Rh,3,3,,,,0
1425589200,Throttur,Fylkir,zw0oiUbh,YFWSwCkg,1,4,,,,0
1425668400,KR Reykjavik,Fram,GYYKuYKt,fL3dmxxd,1,0,,,,0
1425726900,Akranes,Grindavik,4hhcealo,UakDSYpT,3,2,,,,0
1425731400,Kopavogur,Olafsvik,rgYuXGKm,6PrjRERe,1,0,,,,0
1425736800,Hafnarfjordur,Bolungarvik,K4lZsY9J,IP5ctvAE,1,0,,,,0
1425736800,Fjardabyggd,Stjarnan,EB9Z0sEO,juoTB6Rh,1,6,,,,0
1425740400,Leiknir,KA Akureyri,GvStD1NM,IP5ctvAE,3,2,,,,0
1425747600,Vikingur Reykjavik,Grotta,ATBUwpjA,G0BCkS3I,3,3,,,,0
1425830400,Thor Akureyri,Haukar,88ByecJ3,AZnOPGmc,2,3,,,,0
1425834000,Fjolnir,Selfoss,Grlam9Tu,vVtcIMuQ,2,3,,,,0
1425928500,Breidablik,Vestmannaeyjar,UPMdbcD9,GhaBLUZO,0,3,Awrd,,,0
1426097700,Haukar,Grindavik,AZnOPGmc,UakDSYpT,2,3,,,,0
1426184100,Kopavogur,Fylkir,rgYuXGKm,YFWSwCkg,0,3,,,,0
1426186800,Valur,Akranes,juoTB6Rh,4hhcealo,3,1,,,,0
1426273200,KR Reykjavik,Leiknir,GYYKuYKt,GvStD1NM,2,1,,,,0
1426334400,Keflavik,Haukar,OhPjY7JU,AZnOPGmc,1,3,,,,0
1426363200,Breidablik,Throttur,UPMdbcD9,zw0oiUbh,3,1,,,,0
1426431600,Vestmannaeyjar,Bolungarvik,GhaBLUZO,IP5ctvAE,5,0,,,,0
1426438800,Fram,Selfoss,fL3dmxxd,vVtcIMuQ,1,3,,,,0
1426453200,Vikingur Reykjavik,Fjolnir,ATBUwpjA,Grlam9Tu,2,0,,,,0
1426788900,Kopavogur,Breidablik,rgYuXGKm,UPMdbcD9,0,1,,,,0
1426791600,Fram,Vikingur Reykjavik,fL3dmxxd,ATBUwpjA,0,5,,,,0
1426878000,Fjolnir,Grotta,Grlam9Tu,G0BCkS3I,0,2,,,,0
1426885200,Throttur,Vestmannaeyjar,zw0oiUbh,GhaBLUZO,5,0,,,,0
1426936500,Akranes,Keflavik,4hhcealo,OhPjY7JU,2,1,,,,0
1426946400,Fjardabyggd,Valur,EB9Z0sEO,juoTB6Rh,0,2,,,,0
1426946400,Bolungarvik,Olafsvik,IP5ctvAE,6PrjRERe,0,4,,,,0
1426950000,Leiknir,Selfoss,GvStD1NM,vVtcIMuQ,2,1,,,,0
1426953600,Thor Akureyri,Grindavik,88ByecJ3,UakDSYpT,2,6,,,,0
1427025600,KA Akureyri,KR Reykjavik,IP5ctvAE,GYYKuYKt,2,2,,,,0
1427055300,Fylkir,Hafnarfjordur,YFWSwCkg,K4lZsY9J,1,2,,,,0
1427220000,Stjarnan,Thor Akureyri,juoTB6Rh,88ByecJ3,1,0,,,,0
1427224500,Breidablik,Olafsvik,UPMdbcD9,6PrjRERe,4,1,,,,0
1427394600,Grotta,KR Reykjavik,G0BCkS3I,GYYKuYKt,0,4,,,,0
1427396400,Fjolnir,Fram,Grlam9Tu,fL3dmxxd,3,0,,,,0
1427490000,Throttur,Kopavogur,zw0oiUbh,rgYuXGKm,0,3,,,,0
1427490000,Grindavik,Fjardabyggd,UakDSYpT,EB9Z0sEO,1,1,,,,0
1427544000,Keflavik,Stjarnan,OhPjY7JU,juoTB6Rh,0,2,,,,0
1427544000,Breidablik,Hafnarfjordur,UPMdbcD9,K4lZsY9J,3,0,,,,0
1427547600,Valur,Thor Akureyri,juoTB6Rh,88ByecJ3,3,2,,,,0
1427630400,Vestmannaeyjar,Olafsvik,GhaBLUZO,6PrjRERe,0,1,,,,0
1427637600,Akranes,Fjardabyggd,4hhcealo,EB9Z0sEO,4,3,,,,0
1427644800,Selfoss,KA Akureyri,vVtcIMuQ,IP5ctvAE,0,4,,,,0
1427832900,Stjarnan,Grindavik,juoTB6Rh,UakDSYpT,3,1,,,,0
1427912100,Kopavogur,Vestmannaeyjar,rgYuXGKm,GhaBLUZO,0,2,,,,0
1427972400,Breidablik,Bolungarvik,UPMdbcD9,IP5ctvAE,4,0,,,,0
1427979600,KA Akureyri,Grotta,IP5ctvAE,G0BCkS3I,0,0,,,,0
1428437700,Haukar,Stjarnan,AZnOPGmc,juoTB6Rh,0,1,,,,0
1428602400,Selfoss,KR Reykjavik,vVtcIMuQ,GYYKuYKt,1,1,,,,0
1428692400,Throttur,Hafnarfjordur,zw0oiUbh,K4lZsY9J,2,3,,,,0
1428692400,Leiknir,Fjolnir,GvStD1NM,Grlam9Tu,1,1,,,,0
1428692400,Fylkir,Olafsvik,YFWSwCkg,6PrjRERe,2,0,,,,0
1428692400,Fram,Grotta,fL3dmxxd,G0BCkS3I,2,1,,,,0
1428699600,Haukar,Valur,AZnOPGmc,juoTB6Rh,0,3,Awrd,,,0
1428757200,KA Akureyri,Vikingur Reykjavik,IP5ctvAE,ATBUwpjA,2,3,,,,0
1429207200,Vikingur Reykjavik,Hafnarfjordur,ATBUwpjA,K4lZsY9J,1,1,Pen,2,1,0
1429207200,Akranes,Fjolnir,4hhcealo,Grlam9Tu,5,1,,,,0
1429210800,Breidablik,Valur,UPMdbcD9,juoTB6Rh,5,1,,,,0
1429214400,Fylkir,KA Akureyri,YFWSwCkg,IP5ctvAE,1,5,,,,0
1429459200,KA Akureyri,Akranes,IP5ctvAE,4hhcealo,1,1,Pen,2,1,0
1429460700,Vikingur Reykjavik,Breidablik,ATBUwpjA,UPMdbcD9,0,1,,,,0
1429808400,Breidablik,KA Akureyri,UPMdbcD9,IP5ctvAE,1,0,,,,0
