timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1641808800,Ario Eslamshahr,Aluminium Arak,G24pwoP9,Ag1cN3MS,2,2,AET,2,3,0
1641810600,Havadar SC,Chadormalu,r35h4bos,2eYJcfcq,1,0,,,,0
1641810600,Besat Kermanshah,Navad Urmia,rmciwEe5,j7ktzmq4,0,0,Pen,1,2,0
1641814200,Persepolis,Vanpars,Oli0orYQ,baoyIvam,2,2,Pen,3,2,0
1641814200,Gol Gohar,Mes Shahr Babak,C4xHnkgm,WnCoxpTP,1,1,AET,2,1,0
1641821400,Foolad,Khooshe Talaee,0YznNYwc,6mBRK7UG,2,0,,,,0
1641897000,Shahrdari Hamedan,Darya Babol,bsS5Zc1a,Mc0LhHUT,1,1,Pen,1,2,0
1641897000,Paykan,Esteghlal Khuzestan,O0JEb7ZB,dKYCxVEK,1,0,,,,0
1641897000,Pars Janoobi Jam,Iman Sabz,zuNMbFy3,2s9DDn4a,0,0,AET,1,0,0
1641897000,Nassaji Mazandaran,Fajr Sepasi,pnfsJZrF,WfOmb7K6,2,1,,,,0
1641897000,Mes Rafsanjan,Zob Ahan,ptFFGDID,WCTWdLSD,1,0,,,,0
1641897000,Malavan,Naft M.I.S,EJBKv3VB,ABSRMhBO,3,0,Awrd,,,0
1641897000,Arman Gohar,Esteghlal Molasani,QDPJQV2p,QTDQ4VB6,1,3,,,,0
1641904200,Sepahan,Saipa,bTzLAEkQ,KjyPABje,3,0,,,,0
1641983400,Mes Kerman,Sanat Naft,l4dyMVd3,21HUsCsM,2,0,,,,0
1641987000,Esteghlal F.C.,Tractor,Sdd6AGnq,YLLRGqLF,0,0,AET,2,1,0
1645266600,Darya Babol,Pars Janoobi Jam,Mc0LhHUT,zuNMbFy3,0,0,Pen,0,1,0
1645353000,Navad Urmia,Paykan,j7ktzmq4,O0JEb7ZB,0,2,,,,0
1645356600,Havadar SC,Mes Rafsanjan,r35h4bos,ptFFGDID,0,0,Pen,1,0,0
1645358400,Esteghlal F.C.,Malavan,Sdd6AGnq,EJBKv3VB,2,0,,,,0
1645439400,Esteghlal Molasani,Mes Kerman,QTDQ4VB6,l4dyMVd3,1,1,AET,3,1,0
1645443000,Aluminium Arak,Nassaji Mazandaran,Ag1cN3MS,pnfsJZrF,0,0,Pen,0,1,0
1645529400,Sepahan,Persepolis,bTzLAEkQ,Oli0orYQ,2,2,AET,2,4,0
1647522000,Gol Gohar,Foolad,C4xHnkgm,0YznNYwc,1,0,,,,0
1651240800,Pars Janoobi Jam,Esteghlal F.C.,zuNMbFy3,Sdd6AGnq,0,0,AET,0,1,0
1651242600,Esteghlal Molasani,Havadar SC,QTDQ4VB6,r35h4bos,1,2,,,,0
1651325400,Nassaji Mazandaran,Paykan,pnfsJZrF,O0JEb7ZB,3,0,,,,0
1651329900,Persepolis,Gol Gohar,Oli0orYQ,C4xHnkgm,2,1,,,,0
1653404400,Esteghlal F.C.,Nassaji Mazandaran,Sdd6AGnq,pnfsJZrF,4,0,,,,0
1653490800,Havadar SC,Persepolis,r35h4bos,Oli0orYQ,1,3,,,,0
1654013700,Esteghlal F.C.,Persepolis,Sdd6AGnq,Oli0orYQ,1,1,AET,1,2,0
