timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1217851200,Saipa,Persepolis,KjyPABje,Oli0orYQ,0,1,,,,0
1217937600,Zob Ahan,Mes Kerman,WCTWdLSD,l4dyMVd3,1,0,,,,0
1217937600,Saba Qom,Paykan,jVX7vgsb,O0JEb7ZB,1,1,,,,0
1217937600,Payam,Bargh,Q5aquzRh,KjyPABje,1,2,,,,0
1217937600,PAS Hamedan,Sepahan,dxlxqBhr,bTzLAEkQ,0,0,,,,0
1217937600,Malavan,Rah Ahan,EJBKv3VB,bV1dJy3I,0,1,,,,0
1217937600,Fajr Sepasi,Foolad,WfOmb7K6,0YznNYwc,0,1,,,,0
1217937600,Esteghlal AHV,Damash Gilan,O8J3diGA,tr99Hve4,1,1,,,,0
1217937600,Esteghlal F.C.,Abumoslem,Sdd6AGnq,jT6hj4IS,2,0,,,,0
1218283200,Rah Ahan,Fajr Sepasi,bV1dJy3I,WfOmb7K6,0,0,,,,0
1218283200,Persepolis,PAS Hamedan,Oli0orYQ,dxlxqBhr,3,1,,,,0
1218283200,Paykan,Zob Ahan,O0JEb7ZB,WCTWdLSD,1,2,,,,0
1218283200,Mes Kerman,Esteghlal AHV,l4dyMVd3,O8J3diGA,4,0,,,,0
1218283200,Damash Gilan,Esteghlal F.C.,tr99Hve4,Sdd6AGnq,1,0,,,,0
1218283200,Bargh,Malavan,KjyPABje,EJBKv3VB,3,0,,,,0
1218283200,Abumoslem,Saba Qom,jT6hj4IS,jVX7vgsb,1,0,,,,0
1218974400,Zob Ahan,Damash Gilan,WCTWdLSD,tr99Hve4,2,1,,,,0
1218974400,Saipa,Paykan,KjyPABje,O0JEb7ZB,0,1,,,,0
1218974400,Payam,Foolad,Q5aquzRh,0YznNYwc,1,2,,,,0
1218974400,PAS Hamedan,Abumoslem,dxlxqBhr,jT6hj4IS,2,1,,,,0
1218974400,Malavan,Persepolis,EJBKv3VB,Oli0orYQ,2,2,,,,0
1218974400,Fajr Sepasi,Mes Kerman,WfOmb7K6,l4dyMVd3,2,0,,,,0
