timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1280149200,Shahrdari Tabriz,Esteghlal F.C.,2,3,,,,0
1280151000,PAS Hamedan,Mes Kerman,1,0,,,,0
1280156400,Zob Ahan,Paykan,2,1,,,,0
1280160900,Foolad,Steel Azin,0,1,,,,0
1280236200,Rah Ahan,Sepahan,1,1,,,,0
1280238300,Saipa,Saba Qom,1,0,,,,0
1280238300,Malavan,Naft Tehran,1,1,,,,0
1280243400,Persepolis,Tractor,1,0,,,,0
1280246400,Shahin Bushehr,Sanat Naft,1,2,,,,0
1280581200,Steel Azin,PAS Hamedan,3,0,,,,0
1280581200,Mes Kerman,Zob Ahan,1,2,,,,0
1280589000,Esteghlal F.C.,Foolad,1,2,,,,0
1280667600,Tractor,Rah Ahan,3,1,,,,0
1280670300,Sepahan,Malavan,0,0,,,,0
1280670300,Paykan,Shahin Bushehr,0,1,,,,0
1280670300,Naft Tehran,Shahrdari Tabriz,3,1,,,,0
1280679300,Sanat Naft,Saipa,1,0,,,,0
1280679300,Saba Qom,Persepolis,2,1,,,,0
1281012600,Shahrdari Tabriz,Tractor,1,1,,,,0
1281019800,Zob Ahan,Esteghlal F.C.,1,1,,,,0
1281099600,Steel Azin,Naft Tehran,1,1,,,,0
1281101400,Malavan,Mes Kerman,2,1,,,,0
1281102300,PAS Hamedan,Paykan,1,0,,,,0
1281106800,Rah Ahan,Sanat Naft,0,2,,,,0
1281106800,Persepolis,Saipa,2,1,,,,0
1281110400,Shahin Bushehr,Saba Qom,0,0,,,,0
1281110400,Foolad,Sepahan,1,1,,,,0
1281718800,Saba Qom,Rah Ahan,5,2,,,,0
1281718800,Naft Tehran,Foolad,0,3,,,,0
1281718800,Mes Kerman,Shahrdari Tabriz,5,2,,,,0
1281805200,Sepahan,Shahin Bushehr,1,0,,,,0
1281805200,Saipa,Zob Ahan,0,2,,,,0
1281805200,Paykan,Malavan,1,1,,,,0
1281806100,Tractor,PAS Hamedan,0,1,,,,0
1281806100,Esteghlal F.C.,Steel Azin,2,2,,,,0
1281892500,Sanat Naft,Persepolis,0,1,,,,0
1282064400,Foolad,Saba Qom,0,0,,,,0
1282150800,Zob Ahan,Sepahan,1,0,,,,0
1282150800,Steel Azin,Mes Kerman,1,1,,,,0
1282150800,Shahin Bushehr,Tractor,0,0,,,,0
1282150800,PAS Hamedan,Naft Tehran,1,1,,,,0
1282150800,Malavan,Saipa,2,3,,,,0
1282151700,Esteghlal F.C.,Paykan,3,0,,,,0
1282238100,Shahrdari Tabriz,Sanat Naft,3,2,,,,0
1282238100,Rah Ahan,Persepolis,2,3,,,,0
1282496400,Sepahan,PAS Hamedan,2,1,,,,0
1282496400,Paykan,Steel Azin,3,1,,,,0
1282496400,Naft Tehran,Esteghlal F.C.,0,0,,,,0
1282496400,Mes Kerman,Foolad,1,0,,,,0
1282582800,Tractor,Malavan,2,0,,,,0
1282582800,Sanat Naft,Zob Ahan,2,1,,,,0
1282582800,Saipa,Rah Ahan,0,1,,,,0
1282582800,Saba Qom,Shahrdari Tabriz,4,4,,,,0
1282582800,Persepolis,Shahin Bushehr,2,1,,,,0
1282927500,Esteghlal F.C.,Sepahan,4,3,,,,0
1282928400,Naft Tehran,Mes Kerman,1,1,,,,0
1283013900,Foolad,Persepolis,1,1,,,,0
1283014800,Zob Ahan,Saba Qom,2,1,,,,0
