timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1240671600,Tullamore,Carrigaline Utd,,ryi4aG13,0,0,,,,0
1240684200,Castlebar Celtic,Ringmahon Rangers,pjCkWIbn,27lS7Eul,3,1,,,,0
1240750800,Saint Peter's FC,Bluebell Utd,,dGAi2Dh5,0,1,,,,0
1240750800,Glenmore Dundrum,St. Marys,,nBjN7ho3,1,6,,,,0
1240752600,Tralee,Clonmel Town,,,2,0,,,,0
1240752600,Rockmount,Malahide Utd,0YIjZSLa,QLFZFYpo,1,1,,,,0
1241355600,Malahide Utd,Rockmount,QLFZFYpo,0YIjZSLa,1,0,,,,0
1241355600,Carrigaline Utd,Tullamore,ryi4aG13,,2,1,,,,0
1243083600,Salthill,Newtown Rangers,QZCpywlP,IXyrrLRo,3,1,,,,0
1243083600,Cobh Ramblers,Carrigaline Utd,4lGqH9wM,ryi4aG13,1,2,,,,0
1243083600,Blarney Utd,Carlow,82vsZeKF,,2,1,,,,0
1243170000,Tralee,St. Marys,,nBjN7ho3,1,0,,,,0
1243170000,Mayfield Utd,Castlebar Celtic,MXIvgcsT,pjCkWIbn,3,2,,,,0
1243170000,Fanad United,Ballymun Utd,lfo0qdqI,65hthlMJ,2,2,,,,0
1243170000,Erris United,Cherry Orchard,,IadJEJ3r,2,4,,,,0
1243170000,Dublin University,Arklow,,ADkqfK2N,1,2,,,,0
1243170000,Crumlin Utd,Kildrum Tigers,rXzWI661,rshoGQnL,3,0,,,,0
1243170000,Bluebell Utd,Malahide Utd,dGAi2Dh5,QLFZFYpo,2,1,,,,0
1243776600,Ballymun Utd,Fanad United,65hthlMJ,lfo0qdqI,3,0,,,,0
1244574000,Crumlin Utd,Shelbourne,rXzWI661,z7L3x1Ya,1,1,,,,0
1244832300,UC Dublin,Arklow,fL3dmxxd,ADkqfK2N,3,1,,,,0
1244832300,Mervue United,Dundalk,IPg3xUnd,4zJqyaPk,1,3,,,,0
1244832300,Limerick,St. Patricks,U3TbWtrm,QajnhZH5,0,1,,,,0
1244832300,Derry City,Ballymun Utd,IL54TYSm,65hthlMJ,6,0,,,,0
1244832300,Cork City,Sligo Rovers,z33Ic0oD,4zJqyaPk,2,2,,,,0
1244832300,Bray,Bluebell Utd,xjjGj3mS,dGAi2Dh5,2,1,,,,0
1244832300,Bohemians,Mayfield Utd,CncX9yM3,MXIvgcsT,8,1,,,,0
1244832300,Blarney Utd,Sporting Fingal,82vsZeKF,WUfDDYk1,0,2,,,,0
1244914200,Tralee,Salthill,,QZCpywlP,2,1,,,,0
1244916000,Waterford,Carrigaline Utd,hCFsixCJ,ryi4aG13,6,0,,,,0
1244916000,Shamrock Rovers,Drogheda,pOsOhLO3,4zJqyaPk,1,1,,,,0
1244917800,Kildare County,Athlone,p2U3O2VB,4zJqyaPk,1,2,,,,0
1244918700,Finn Harps,Galway,IiGT6zfM,fL3dmxxd,0,3,,,,0
1244988000,Cherry Orchard,Monaghan United,IadJEJ3r,dG41ubPK,2,2,,,,0
1244998800,Wexford,Longford,4p2q5FSC,4zJqyaPk,2,2,,,,0
1245092400,Shelbourne,Crumlin Utd,z7L3x1Ya,rXzWI661,0,1,,,,0
1245177900,Sligo Rovers,Cork City,4zJqyaPk,z33Ic0oD,1,1,AET,2,1,0
1245177900,Drogheda,Shamrock Rovers,4zJqyaPk,pOsOhLO3,0,3,,,,0
1245178800,Monaghan United,Cherry Orchard,dG41ubPK,IadJEJ3r,4,0,,,,0
1245258000,Longford,Wexford,4zJqyaPk,4p2q5FSC,1,1,AET,3,2,0
1250275500,Sporting Fingal,Athlone,WUfDDYk1,4zJqyaPk,4,1,,,,0
1250275500,Galway,Longford,fL3dmxxd,4zJqyaPk,0,1,,,,0
1250275500,Dundalk,Bohemians,4zJqyaPk,CncX9yM3,0,0,,,,0
1250275500,Crumlin Utd,Waterford,rXzWI661,hCFsixCJ,0,0,,,,0
1250275500,Bray,Tralee,xjjGj3mS,,2,0,,,,0
1250276400,Monaghan United,St. Patricks,dG41ubPK,QajnhZH5,0,0,,,,0
1250359200,Shamrock Rovers,UC Dublin,pOsOhLO3,fL3dmxxd,3,1,,,,0
1250361900,Sligo Rovers,Derry City,4zJqyaPk,IL54TYSm,1,0,,,,0
1250621100,Waterford,Crumlin Utd,hCFsixCJ,rXzWI661,2,0,,,,0
1250621100,Bohemians,Dundalk,CncX9yM3,4zJqyaPk,0,0,Pen,1,0,0
1252349100,St. Patricks,Monaghan United,QajnhZH5,dG41ubPK,0,0,AET,1,0,0
1252694700,Bohemians,Sligo Rovers,CncX9yM3,4zJqyaPk,0,0,,,,0
1252778400,Waterford,St. Patricks,hCFsixCJ,QajnhZH5,1,1,,,,0
1252780200,Sporting Fingal,Shamrock Rovers,WUfDDYk1,pOsOhLO3,2,2,,,,0
1252780200,Longford,Bray,4zJqyaPk,xjjGj3mS,0,0,,,,0
1253040300,St. Patricks,Waterford,QajnhZH5,hCFsixCJ,0,2,,,,0
1253040300,Sligo Rovers,Bohemians,4zJqyaPk,CncX9yM3,2,1,,,,0
1253040300,Bray,Longford,xjjGj3mS,4zJqyaPk,2,1,,,,0
1253041200,Shamrock Rovers,Sporting Fingal,pOsOhLO3,WUfDDYk1,1,1,AET,1,2,0
1256322900,Sligo Rovers,Waterford,4zJqyaPk,hCFsixCJ,1,0,,,,0
1256486700,Sporting Fingal,Bray,WUfDDYk1,xjjGj3mS,4,2,,,,0
1258902000,Sligo Rovers,Sporting Fingal,4zJqyaPk,WUfDDYk1,1,2,,,,0
