timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1364586300,Tolka,Bangor Celtic,2,1,,,,0
1364586300,Leixlip United,Sheriff YC,1,3,,,,0
1364653800,St. Marys,Phoenix,0,1,,,,0
1364655600,Parkvilla,Blarney Utd,1,1,,,,0
1364662800,St. Patricks CY,Carew Park,3,2,,,,0
1364724000,Glenville,Beggsboro,0,0,,,,0
1364734800,Everton AFC,Pike Rovers,1,3,,,,0
1365186600,Beggsboro,Glenville,2,3,,,,0
1365256800,College Corinthians,Newbridge Town,1,1,,,,0
1365256800,Blarney Utd,Parkvilla,2,1,,,,0
1366466400,Newbridge Town,College Corinthians,0,0,AET,0,1,0
1370025900,Tolka,College Corinthians,2,2,,,,0
1370025900,Salthill,Shamrock Rovers,0,2,,,,0
1370025900,Phoenix,Dundalk,0,4,,,,0
1370025900,Bray,Mervue United,2,0,,,,0
1370025900,Bohemians,Drogheda,0,3,,,,0
1370026800,Shelbourne,Bandon,3,0,,,,0
1370026800,Finn Harps,Wexford,2,1,,,,0
1370093400,St. Patricks CY,Cobh Ramblers,3,4,,,,0
1370095200,Glenville,Limerick,0,3,,,,0
1370095200,Blarney Utd,Derry City,0,4,,,,0
1370102400,St. Patricks,UC Dublin,4,0,,,,0
1370109600,Waterford,Sligo Rovers,0,2,,,,0
1370109600,Bluebell Utd,Athlone,2,2,,,,0
1370111400,Longford,Pike Rovers,4,0,,,,0
1370371500,Athlone,Bluebell Utd,2,2,AET,2,3,0
1370700000,College Corinthians,Tolka,0,0,AET,3,0,0
1370782800,Avondale Utd,Sheriff YC,1,2,,,,0
1375718400,Cork City,Kilbarrack Utd,3,1,,,,0
1377283500,Dundalk,Limerick,5,3,,,,0
1377283500,Derry City,Bluebell Utd,0,0,,,,0
1377283500,Bray,St. Patricks,0,3,,,,0
1377284400,Shelbourne,College Corinthians,1,0,,,,0
1377284400,Shamrock Rovers,Sheriff YC,3,1,,,,0
1377284400,Finn Harps,Cobh Ramblers,1,1,,,,0
1377369000,Longford,Drogheda,2,3,,,,0
1377369900,Sligo Rovers,Cork City,1,0,,,,0
1377543600,Cobh Ramblers,Finn Harps,0,4,,,,0
1377629100,Derry City,Bluebell Utd,2,1,,,,0
1379097900,St. Patricks,Shamrock Rovers,0,2,,,,0
1379098800,Shelbourne,Dundalk,1,5,,,,0
1379098800,Finn Harps,Drogheda,1,1,,,,0
1379260800,Sligo Rovers,Derry City,1,0,,,,0
1379357100,Drogheda,Finn Harps,2,0,,,,0
1381063500,Drogheda,Dundalk,1,0,,,,0
1381071300,Sligo Rovers,Shamrock Rovers,3,0,,,,0
1383492600,Drogheda,Sligo Rovers,2,3,,,,0
