timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
997308000,Dundalk,UC Dublin,4zJqyaPk,fL3dmxxd,1,1,,,,0
997394400,St. Patricks,Galway,QajnhZH5,fL3dmxxd,3,0,,,,0
997394400,Bohemians,Derry City,CncX9yM3,IL54TYSm,1,0,,,,0
997567200,Monaghan United,Shelbourne,dG41ubPK,z7L3x1Ya,0,1,,,,0
997567200,Longford,Cork City,4zJqyaPk,z33Ic0oD,4,1,,,,0
997567200,Bray,Shamrock Rovers,xjjGj3mS,pOsOhLO3,1,1,,,,0
997912800,UC Dublin,Longford,fL3dmxxd,4zJqyaPk,1,0,,,,0
997912800,Derry City,Monaghan United,IL54TYSm,dG41ubPK,2,0,,,,0
997999200,Shelbourne,St. Patricks,z7L3x1Ya,QajnhZH5,1,1,,,,0
997999200,Galway,Bray,fL3dmxxd,xjjGj3mS,0,2,,,,0
998172000,Cork City,Bohemians,z33Ic0oD,CncX9yM3,0,1,,,,0
998258400,Shamrock Rovers,Dundalk,pOsOhLO3,4zJqyaPk,1,0,,,,0
998604000,St. Patricks,Derry City,QajnhZH5,IL54TYSm,1,0,,,,0
998604000,Bray,Cork City,xjjGj3mS,z33Ic0oD,2,2,,,,0
998604000,Bohemians,UC Dublin,CncX9yM3,fL3dmxxd,6,0,,,,0
998776800,Monaghan United,Galway,dG41ubPK,fL3dmxxd,0,0,,,,0
998863200,Dundalk,Shelbourne,4zJqyaPk,z7L3x1Ya,1,1,,,,0
998949600,Longford,Shamrock Rovers,4zJqyaPk,pOsOhLO3,1,2,,,,0
999122400,UC Dublin,St. Patricks,fL3dmxxd,QajnhZH5,0,0,,,,0
999122400,Derry City,Bray,IL54TYSm,xjjGj3mS,3,1,,,,0
999208800,Shelbourne,Longford,z7L3x1Ya,4zJqyaPk,2,0,,,,0
999208800,Galway,Bohemians,fL3dmxxd,CncX9yM3,1,5,,,,0
999381600,Cork City,Dundalk,z33Ic0oD,4zJqyaPk,0,1,,,,0
999468000,Shamrock Rovers,Monaghan United,pOsOhLO3,dG41ubPK,4,0,,,,0
999727200,Dundalk,Galway,4zJqyaPk,fL3dmxxd,1,1,,,,0
999813600,St. Patricks,Cork City,QajnhZH5,z33Ic0oD,1,3,,,,0
999813600,Bohemians,Shamrock Rovers,CncX9yM3,pOsOhLO3,0,1,,,,0
999900000,Longford,Derry City,4zJqyaPk,IL54TYSm,1,0,,,,0
999986400,Monaghan United,UC Dublin,dG41ubPK,fL3dmxxd,1,3,,,,0
999986400,Bray,Shelbourne,xjjGj3mS,z7L3x1Ya,0,3,,,,0
1000332000,UC Dublin,Galway,fL3dmxxd,fL3dmxxd,1,2,,,,0
1000332000,Derry City,Shamrock Rovers,IL54TYSm,pOsOhLO3,2,0,,,,0
1000504800,St. Patricks,Bray,QajnhZH5,xjjGj3mS,2,0,,,,0
1000504800,Longford,Dundalk,4zJqyaPk,4zJqyaPk,2,2,,,,0
1000504800,Bohemians,Monaghan United,CncX9yM3,dG41ubPK,3,0,,,,0
1000591200,Shamrock Rovers,UC Dublin,pOsOhLO3,fL3dmxxd,3,1,,,,0
1000591200,Cork City,Shelbourne,z33Ic0oD,z7L3x1Ya,1,0,,,,0
1000764000,Shelbourne,Derry City,z7L3x1Ya,IL54TYSm,1,1,,,,0
1000764000,Monaghan United,St. Patricks,dG41ubPK,QajnhZH5,1,2,,,,0
1000764000,Galway,Cork City,fL3dmxxd,z33Ic0oD,1,2,,,,0
1000764000,Dundalk,Bohemians,4zJqyaPk,CncX9yM3,3,1,,,,0
1000850400,Bray,Longford,xjjGj3mS,4zJqyaPk,5,1,,,,0
1001011500,Derry City,UC Dublin,IL54TYSm,fL3dmxxd,1,1,,,,0
