timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1645213500,Shelbourne,St. Patricks,z7L3x1Ya,QajnhZH5,0,3,,,,0
1645213500,Dundalk,Derry City,4zJqyaPk,IL54TYSm,2,2,,,,0
1645214400,Shamrock Rovers,UC Dublin,pOsOhLO3,fL3dmxxd,3,0,,,,0
1645818300,UC Dublin,Finn Harps,fL3dmxxd,IiGT6zfM,0,0,,,,0
1645818300,St. Patricks,Sligo Rovers,QajnhZH5,4zJqyaPk,1,2,,,,0
1645818300,Drogheda,Shelbourne,4zJqyaPk,z7L3x1Ya,0,2,,,,0
1645818300,Derry City,Shamrock Rovers,IL54TYSm,pOsOhLO3,2,1,,,,0
1645818300,Bohemians,Dundalk,CncX9yM3,4zJqyaPk,2,2,,,,0
1646077500,UC Dublin,Shelbourne,fL3dmxxd,z7L3x1Ya,0,0,,,,0
1646077500,Dundalk,Finn Harps,4zJqyaPk,IiGT6zfM,3,0,,,,0
1646077500,Derry City,Sligo Rovers,IL54TYSm,4zJqyaPk,0,0,,,,0
1646077500,Bohemians,St. Patricks,CncX9yM3,QajnhZH5,1,0,,,,0
1646078400,Shamrock Rovers,Drogheda,pOsOhLO3,4zJqyaPk,3,1,,,,0
1646423100,St. Patricks,Shamrock Rovers,QajnhZH5,pOsOhLO3,1,0,,,,0
1646423100,Shelbourne,Derry City,z7L3x1Ya,IL54TYSm,0,1,,,,0
1646423100,Drogheda,UC Dublin,4zJqyaPk,fL3dmxxd,4,2,,,,0
1646424000,Finn Harps,Bohemians,IiGT6zfM,CncX9yM3,1,1,,,,0
1646509500,Sligo Rovers,Dundalk,4zJqyaPk,4zJqyaPk,0,0,,,,0
1647027900,Shelbourne,Dundalk,z7L3x1Ya,4zJqyaPk,1,1,,,,0
1647027900,Drogheda,Sligo Rovers,4zJqyaPk,4zJqyaPk,0,3,,,,0
