timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
934495200,Netanya,M. Ironi Ashdod,vk5aQxpF,8bzFuY7f,0,6,,,,0
934581600,Maccabi Haifa,H. Ironi Rishon,Q5Dpg1h8,80mFJoEm,4,1,,,,0
934581600,M. Herzliya,Hapoel Haifa,jVy11PZ2,ImdO7J3k,0,0,,,,0
934581600,Hapoel Jerusalem,Beitar Jerusalem,f91goBvL,llM9Ws6j,0,2,,,,0
934581600,Bnei Yehuda,Hapoel Kfar Saba,8zGbtM5N,29ebI4SF,1,1,,,,0
934668000,Maccabi Petah Tikva,Maccabi Tel Aviv,OSwHqMzP,EgfVDm2G,2,1,,,,0
934668000,Hapoel Tel Aviv,Hapoel Petah Tikva,UeZOJs03,hQ0m0v0m,2,0,,,,0
935100000,Hapoel Kfar Saba,M. Ironi Ashdod,29ebI4SF,8bzFuY7f,1,1,,,,0
935186400,Maccabi Tel Aviv,Netanya,EgfVDm2G,vk5aQxpF,0,0,,,,0
935186400,Hapoel Petah Tikva,Maccabi Haifa,hQ0m0v0m,Q5Dpg1h8,2,5,,,,0
935186400,Hapoel Haifa,Maccabi Petah Tikva,ImdO7J3k,OSwHqMzP,1,0,,,,0
935186400,H. Ironi Rishon,Hapoel Jerusalem,80mFJoEm,f91goBvL,2,2,,,,0
935186400,Beitar Jerusalem,M. Herzliya,llM9Ws6j,jVy11PZ2,1,1,,,,0
935359200,Bnei Yehuda,Hapoel Tel Aviv,8zGbtM5N,UeZOJs03,2,1,,,,0
935791200,Maccabi Petah Tikva,Beitar Jerusalem,OSwHqMzP,llM9Ws6j,3,0,,,,0
935791200,Maccabi Haifa,Bnei Yehuda,Q5Dpg1h8,8zGbtM5N,3,1,,,,0
935791200,M. Herzliya,H. Ironi Rishon,jVy11PZ2,80mFJoEm,0,0,,,,0
935791200,Hapoel Jerusalem,Hapoel Petah Tikva,f91goBvL,hQ0m0v0m,0,1,,,,0
935877600,Netanya,Hapoel Haifa,vk5aQxpF,ImdO7J3k,1,2,,,,0
935877600,Hapoel Tel Aviv,Hapoel Kfar Saba,UeZOJs03,29ebI4SF,5,1,,,,0
935964000,M. Ironi Ashdod,Maccabi Tel Aviv,8bzFuY7f,EgfVDm2G,1,0,,,,0
937605600,Hapoel Petah Tikva,M. Herzliya,hQ0m0v0m,jVy11PZ2,1,0,,,,0
937605600,H. Ironi Rishon,Maccabi Petah Tikva,80mFJoEm,OSwHqMzP,0,1,,,,0
937605600,Bnei Yehuda,Hapoel Jerusalem,8zGbtM5N,f91goBvL,2,0,,,,0
937605600,Beitar Jerusalem,Netanya,llM9Ws6j,vk5aQxpF,4,2,,,,0
937864800,Hapoel Tel Aviv,Maccabi Haifa,UeZOJs03,Q5Dpg1h8,0,0,,,,0
937864800,Hapoel Kfar Saba,Maccabi Tel Aviv,29ebI4SF,EgfVDm2G,0,3,,,,0
937864800,Hapoel Haifa,M. Ironi Ashdod,ImdO7J3k,8bzFuY7f,3,0,,,,0
938124000,Netanya,H. Ironi Rishon,vk5aQxpF,80mFJoEm,2,4,,,,0
938124000,Hapoel Jerusalem,Hapoel Tel Aviv,f91goBvL,UeZOJs03,0,1,,,,0
938210400,Maccabi Tel Aviv,Hapoel Haifa,EgfVDm2G,ImdO7J3k,0,0,,,,0
938210400,Maccabi Haifa,Hapoel Kfar Saba,Q5Dpg1h8,29ebI4SF,1,0,,,,0
938210400,M. Ironi Ashdod,Beitar Jerusalem,8bzFuY7f,llM9Ws6j,1,1,,,,0
938210400,M. Herzliya,Bnei Yehuda,jVy11PZ2,8zGbtM5N,4,0,,,,0
938383200,Maccabi Petah Tikva,Hapoel Petah Tikva,OSwHqMzP,hQ0m0v0m,1,2,,,,0
938815200,Maccabi Haifa,Hapoel Jerusalem,Q5Dpg1h8,f91goBvL,1,2,,,,0
938815200,Hapoel Petah Tikva,Netanya,hQ0m0v0m,vk5aQxpF,1,0,,,,0
938815200,H. Ironi Rishon,M. Ironi Ashdod,80mFJoEm,8bzFuY7f,0,0,,,,0
938815200,Bnei Yehuda,Maccabi Petah Tikva,8zGbtM5N,OSwHqMzP,0,2,,,,0
938988000,Hapoel Tel Aviv,M. Herzliya,UeZOJs03,jVy11PZ2,4,0,,,,0
938988000,Hapoel Kfar Saba,Hapoel Haifa,29ebI4SF,ImdO7J3k,0,3,,,,0
938988000,Beitar Jerusalem,Maccabi Tel Aviv,llM9Ws6j,EgfVDm2G,0,1,,,,0
939938400,Netanya,Bnei Yehuda,vk5aQxpF,8zGbtM5N,1,1,,,,0
940024800,Maccabi Tel Aviv,H. Ironi Rishon,EgfVDm2G,80mFJoEm,4,0,,,,0
940024800,Maccabi Petah Tikva,Hapoel Tel Aviv,OSwHqMzP,UeZOJs03,1,5,,,,0
940024800,M. Ironi Ashdod,Hapoel Petah Tikva,8bzFuY7f,hQ0m0v0m,0,2,,,,0
940024800,Hapoel Jerusalem,Hapoel Kfar Saba,f91goBvL,29ebI4SF,2,1,,,,0
940024800,Hapoel Haifa,Beitar Jerusalem,ImdO7J3k,llM9Ws6j,1,1,,,,0
940197600,M. Herzliya,Maccabi Haifa,jVy11PZ2,Q5Dpg1h8,2,5,,,,0
940543200,Hapoel Kfar Saba,Beitar Jerusalem,29ebI4SF,llM9Ws6j,1,2,,,,0
940543200,Hapoel Jerusalem,M. Herzliya,f91goBvL,jVy11PZ2,1,4,,,,0
940629600,Maccabi Haifa,Maccabi Petah Tikva,Q5Dpg1h8,OSwHqMzP,5,1,,,,0
