timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1419332400,Shikun Hamizrah,Beer Sheva SC,1,0,,,,0
1419332400,Ironi Baka,Maccabi Maalot,1,3,,,,0
1419332400,H. Migdal HaEmek,Maccabi Daliyat,3,1,,,,0
1419332400,H. Marmorek,Beit Shean,0,0,Pen,1,0,0
1419332400,H. Asi Gilboa,Holon Yaniv,3,3,Pen,4,5,0
1419332400,Bnei Eilat,Kiryat Gat,1,0,,,,0
1419356700,M. Herzliya,Beitar Tubruk,5,0,,,,0
1419356700,Hapoel Bnei Lod,Hak. Ramat Gan,1,0,,,,0
1419357000,Ironi Tiberias,Hapoel Kfar Saba,2,2,Pen,2,3,0
1419357000,Hap. Ramat Gan,Givat Olga,1,1,Pen,1,2,0
1419357600,M. Nazareth,Hapoel Jerusalem,2,0,,,,0
1419357600,Bnei Yehuda,M. Kiryat Ata-Bialik,7,0,,,,0
1419443100,Ramat Hasharon,Nof Hagalil,3,0,,,,0
1419444000,Maccabi Jaffa,Ashkelon,1,3,,,,0
1421146800,Shikun Hamizrah,H. Migdal HaEmek,1,0,,,,0
1421146800,Holon Yaniv,Maccabi Maalot,1,4,,,,0
1421146800,H. Marmorek,Hapoel Afula,0,3,,,,0
1421146800,Givat Olga,Maccabi Petah Tikva,1,2,,,,0
1421146800,Bnei Eilat,Hapoel Kfar Saba,1,2,,,,0
1421170500,Hapoel Petah Tikva,Hapoel Bnei Lod,2,1,,,,0
1421170500,H. Raanana,Bnei Yehuda,2,1,,,,0
1421172000,M. Nazareth,Netanya,3,1,,,,0
1421172000,Hapoel Haifa,SC Ashdod,0,0,Pen,0,1,0
1421173800,M. Herzliya,H. Beer Sheva,0,1,,,,0
1421173800,H. Akko,Kiryat Shmona,0,2,,,,0
1421254800,Ramat Hasharon,Maccabi Haifa,1,1,AET,1,3,0
1421262000,Beitar Tel Aviv,Maccabi Tel Aviv,1,4,,,,0
1421339400,Maccabi Yavne,Sakhnin,1,0,,,,0
1421341200,H. Ironi Rishon,Hapoel Tel Aviv,1,2,,,,0
1421348400,Ashkelon,Beitar Jerusalem,2,2,Pen,4,3,0
1422378000,Maccabi Petah Tikva,Hapoel Petah Tikva,1,0,,,,0
1422385200,Maccabi Tel Aviv,Ashkelon,1,0,,,,0
1422464100,H. Raanana,H. Beer Sheva,0,0,AET,0,1,0
1422464400,Hapoel Tel Aviv,Hapoel Kfar Saba,0,2,,,,0
1422471600,Maccabi Haifa,Kiryat Shmona,0,0,Pen,1,2,0
1422553200,Hapoel Afula,Maccabi Maalot,3,0,,,,0
1422553500,Maccabi Yavne,Shikun Hamizrah,5,1,,,,0
1422556200,M. Nazareth,SC Ashdod,2,1,,,,0
1423587600,Hapoel Kfar Saba,M. Nazareth,1,1,,,,0
1423587600,Hapoel Afula,Maccabi Petah Tikva,0,0,,,,0
1423594800,Maccabi Yavne,H. Beer Sheva,0,3,,,,0
1424885400,Kiryat Shmona,Maccabi Tel Aviv,1,1,,,,0
1425489600,Maccabi Petah Tikva,Hapoel Afula,2,2,,,,0
1425489900,M. Nazareth,Hapoel Kfar Saba,1,0,,,,0
1425490200,H. Beer Sheva,Maccabi Yavne,1,1,,,,0
1425493800,Maccabi Tel Aviv,Kiryat Shmona,3,0,,,,0
1430319600,Hapoel Afula,H. Beer Sheva,0,7,,,,0
1430328600,Maccabi Tel Aviv,M. Nazareth,3,0,,,,0
1432143000,H. Beer Sheva,Maccabi Tel Aviv,2,6,,,,0
