timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1315593900,AC Milan,Lazio,2,2,,,,0
1315680300,Cesena,Napoli,1,3,,,,0
1315737000,Juventus,Parma,4,1,,,,0
1315746000,Lecce,Udinese,0,2,,,,0
1315746000,Genoa,Atalanta,2,2,,,,0
1315746000,Fiorentina,Bologna,2,0,,,,0
1315746000,Chievo,Novara,2,2,,,,0
1315746000,Catania,Siena,0,0,,,,0
1315746000,AS Roma,Cagliari,1,2,,,,0
1315766700,Palermo,Inter,4,3,,,,0
1316275200,Cagliari,Novara,2,1,,,,0
1316285100,Inter,AS Roma,0,0,,,,0
1316341800,Atalanta,Palermo,1,0,,,,0
1316350800,Udinese,Fiorentina,2,0,,,,0
1316350800,Siena,Juventus,0,1,,,,0
1316350800,Parma,Chievo,2,1,,,,0
1316350800,Lazio,Genoa,1,2,,,,0
1316350800,Catania,Cesena,1,0,,,,0
1316350800,Bologna,Lecce,0,2,,,,0
1316371500,Napoli,AC Milan,3,1,,,,0
1316544300,Novara,Inter,3,1,,,,0
1316630700,Palermo,Cagliari,3,2,,,,0
1316630700,Lecce,Atalanta,1,2,,,,0
1316630700,Juventus,Bologna,1,1,,,,0
1316630700,Genoa,Catania,3,0,,,,0
1316630700,Fiorentina,Parma,3,0,,,,0
1316630700,Chievo,Napoli,1,0,,,,0
1316630700,Cesena,Lazio,1,2,,,,0
1316630700,AC Milan,Udinese,1,1,,,,0
1316717100,AS Roma,Siena,1,1,,,,0
1316880000,Bologna,Inter,1,3,,,,0
1316889900,Napoli,Fiorentina,0,0,,,,0
1316889900,AC Milan,Cesena,1,0,,,,0
1316946600,Chievo,Genoa,2,1,,,,0
1316955600,Siena,Lecce,3,0,,,,0
1316955600,Lazio,Palermo,0,0,,,,0
1316955600,Catania,Juventus,1,1,,,,0
1316955600,Cagliari,Udinese,0,0,,,,0
1316955600,Atalanta,Novara,2,1,,,,0
1316976300,Parma,AS Roma,0,1,,,,0
1317484800,AS Roma,Atalanta,3,1,,,,0
1317494700,Inter,Napoli,0,3,,,,0
1317551400,Novara,Catania,3,3,,,,0
1317560400,Udinese,Bologna,2,0,,,,0
1317560400,Parma,Genoa,3,1,,,,0
1317560400,Palermo,Siena,2,0,,,,0
1317560400,Lecce,Cagliari,0,2,,,,0
1317560400,Fiorentina,Lazio,1,2,,,,0
1317560400,Cesena,Chievo,0,0,,,,0
1317581100,Juventus,AC Milan,2,0,,,,0
1318694400,Catania,Inter,2,1,,,,0
1318704300,Napoli,Parma,1,2,,,,0
1318704300,AC Milan,Palermo,3,0,,,,0
1318761000,Cesena,Fiorentina,0,0,,,,0
1318770000,Novara,Bologna,0,2,,,,0
1318770000,Genoa,Lecce,0,0,,,,0
1318770000,Chievo,Juventus,0,0,,,,0
1318770000,Cagliari,Siena,0,0,,,,0
1318770000,Atalanta,Udinese,0,0,,,,0
1318790700,Lazio,AS Roma,2,1,,,,0
1319299200,Fiorentina,Catania,2,2,,,,0
1319309100,Juventus,Genoa,2,2,,,,0
1319365800,Lecce,AC Milan,3,4,,,,0
1319374800,Udinese,Novara,3,0,,,,0
1319374800,Siena,Cesena,2,0,,,,0
1319374800,Parma,Atalanta,1,2,,,,0
1319374800,Inter,Chievo,1,0,,,,0
1319374800,Cagliari,Napoli,0,0,,,,0
1319374800,AS Roma,Palermo,1,0,,,,0
1319395500,Bologna,Lazio,0,2,,,,0
1319568300,Juventus,Fiorentina,2,1,,,,0
1319654700,Novara,Siena,1,1,,,,0
1319654700,Napoli,Udinese,2,0,,,,0
1319654700,Lazio,Catania,1,1,,,,0
1319654700,Genoa,AS Roma,2,1,,,,0
1319654700,Chievo,Bologna,0,1,,,,0
1319654700,Cesena,Cagliari,1,1,,,,0
1319654700,Atalanta,Inter,1,1,,,,0
1319654700,AC Milan,Parma,4,1,,,,0
1319741100,Palermo,Lecce,2,0,,,,0
1319904000,Catania,Napoli,2,1,,,,0
1319904000,AS Roma,AC Milan,2,3,,,,0
1319913900,Inter,Juventus,1,2,,,,0
1319974200,Siena,Chievo,4,1,,,,0
1319983200,Udinese,Palermo,1,0,,,,0
1319983200,Parma,Cesena,2,0,,,,0
1319983200,Lecce,Novara,1,1,,,,0
1319983200,Fiorentina,Genoa,1,0,,,,0
1319983200,Bologna,Atalanta,3,1,,,,0
1320003900,Cagliari,Lazio,0,3,,,,0
1320512400,Palermo,Bologna,3,1,,,,0
1320522300,Novara,AS Roma,0,2,,,,0
1320588000,Udinese,Siena,2,1,,,,0
1320588000,Lazio,Parma,1,0,,,,0
1320588000,Chievo,Fiorentina,1,0,,,,0
1320588000,Cesena,Lecce,0,1,,,,0
1320588000,Atalanta,Cagliari,1,0,,,,0
1320588000,AC Milan,Catania,4,0,,,,0
1321722000,Inter,Cagliari,2,1,,,,0
1321731900,Napoli,Lazio,0,0,,,,0
1321731900,Fiorentina,AC Milan,0,0,,,,0
1321788600,Bologna,Cesena,0,1,,,,0
1321797600,Siena,Atalanta,2,2,,,,0
1321797600,Parma,Udinese,2,0,,,,0
1321797600,Juventus,Palermo,3,0,,,,0
1321797600,Genoa,Novara,1,0,,,,0
1321797600,Catania,Chievo,1,2,,,,0
1321818300,AS Roma,Lecce,2,1,,,,0
1322250300,Udinese,AS Roma,2,0,,,,0
1322326800,Novara,Parma,2,1,,,,0
1322326800,Lecce,Catania,0,1,,,,0
1322336700,Lazio,Juventus,0,1,,,,0
1322336700,Atalanta,Napoli,1,1,,,,0
1322402400,Siena,Inter,0,1,,,,0
1322402400,Palermo,Fiorentina,2,0,,,,0
1322402400,Cesena,Genoa,2,0,,,,0
1322402400,Cagliari,Bologna,1,1,,,,0
1322423100,AC Milan,Chievo,4,0,,,,0
1322595900,Napoli,Juventus,3,3,,,,0
1322855100,Genoa,AC Milan,0,2,,,,0
1322941500,Napoli,Lecce,4,2,,,,0
1322941500,Inter,Udinese,0,1,,,,0
1322998200,Catania,Cagliari,0,1,,,,0
1323007200,Juventus,Cesena,2,0,,,,0
1323007200,Fiorentina,AS Roma,3,0,,,,0
1323007200,Chievo,Atalanta,0,0,,,,0
1323007200,Bologna,Siena,1,0,,,,0
1323027900,Parma,Palermo,0,0,,,,0
1323114300,Lazio,Novara,3,0,,,,0
