timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1191182400,Village United,Tivoli,2,2,,,,0
1191182400,Portmore,Sporting,1,0,,,,0
1191182400,Montego Bay,Waterhouse,4,3,,,,0
1191182400,Harbour View,St. George's SC,0,0,,,,0
1191182400,August Town,Boys' Town,1,2,,,,0
1191182400,Arnett Gardens,Reno,0,0,,,,0
1191787200,Waterhouse,Portmore,1,0,,,,0
1191787200,Tivoli,August Town,1,1,,,,0
1191787200,St. George's SC,Village United,2,1,,,,0
1191787200,Sporting,Arnett Gardens,0,0,,,,0
1191787200,Reno,Harbour View,1,1,,,,0
1191787200,Boys' Town,Montego Bay,1,1,,,,0
1192392000,Sporting,Reno,4,3,,,,0
1192392000,Montego Bay,Tivoli,1,2,,,,0
1192392000,Harbour View,Village United,3,0,,,,0
1192392000,August Town,St. George's SC,2,1,,,,0
1192392000,Arnett Gardens,Waterhouse,0,0,,,,0
1192651200,Portmore,Boys' Town,0,0,,,,0
1192996800,Waterhouse,Reno,2,1,,,,0
1192996800,Village United,August Town,0,2,,,,0
1192996800,St. George's SC,Montego Bay,1,2,,,,0
1192996800,Portmore,Tivoli,3,0,,,,0
1192996800,Harbour View,Sporting,2,2,,,,0
1192996800,Boys' Town,Arnett Gardens,0,2,,,,0
1193256000,Sporting,Waterhouse,1,1,,,,0
1193256000,Portmore,St. George's SC,1,1,,,,0
1193256000,Montego Bay,Village United,3,2,,,,0
1193256000,August Town,Harbour View,1,2,,,,0
1193256000,Arnett Gardens,Tivoli,1,1,,,,0
1193342400,Reno,Boys' Town,0,0,,,,0
1193605200,Village United,Portmore,1,2,,,,0
1193605200,Tivoli,Reno,2,0,,,,0
1193605200,St. George's SC,Arnett Gardens,2,0,,,,0
1193605200,Harbour View,Waterhouse,3,2,,,,0
1193605200,Boys' Town,Sporting,4,1,,,,0
1193605200,August Town,Montego Bay,1,3,,,,0
1194814800,Village United,Arnett Gardens,1,1,,,,0
1194814800,Sporting,Tivoli,2,0,,,,0
1194814800,Reno,St. George's SC,2,1,,,,0
1194814800,Boys' Town,Waterhouse,1,1,,,,0
1195074000,Village United,Reno,0,0,,,,0
1195074000,Tivoli,Waterhouse,1,0,,,,0
1195074000,St. George's SC,Sporting,3,1,,,,0
1195074000,August Town,Arnett Gardens,1,1,,,,0
1196024400,Waterhouse,St. George's SC,1,1,,,,0
1196024400,Sporting,Village United,0,0,,,,0
1196024400,Reno,August Town,1,0,,,,0
1196024400,Harbour View,Portmore,0,1,,,,0
1196024400,Arnett Gardens,Montego Bay,1,0,,,,0
1196197200,Tivoli,Boys' Town,1,0,,,,0
1196283600,Portmore,August Town,3,1,,,,0
1196283600,Montego Bay,Harbour View,2,0,,,,0
1196629200,Village United,Waterhouse,1,2,,,,0
1196629200,St. George's SC,Boys' Town,3,0,,,,0
1196629200,Portmore,Arnett Gardens,0,0,,,,0
1196629200,Montego Bay,Reno,1,2,,,,0
1196629200,Harbour View,Tivoli,1,0,,,,0
1196629200,August Town,Sporting,0,0,,,,0
1196974800,Portmore,Montego Bay,2,1,,,,0
1196974800,Boys' Town,Harbour View,2,1,,,,0
1197234000,Waterhouse,August Town,3,1,,,,0
1197234000,Tivoli,St. George's SC,3,2,,,,0
1197234000,Sporting,Montego Bay,2,1,,,,0
1197234000,Reno,Portmore,1,2,,,,0
1197234000,Boys' Town,Village United,1,1,,,,0
1197234000,Arnett Gardens,Harbour View,1,1,,,,0
1198098000,Waterhouse,Montego Bay,1,1,,,,0
1198098000,Tivoli,Village United,1,0,,,,0
1198098000,Reno,Arnett Gardens,3,1,,,,0
1198098000,Portmore,Sporting,2,0,,,,0
1198098000,Harbour View,St. George's SC,0,2,,,,0
1198098000,Boys' Town,August Town,1,1,,,,0
1198443600,Village United,St. George's SC,2,0,,,,0
1198443600,Portmore,Waterhouse,0,1,,,,0
1198443600,Harbour View,Reno,1,0,,,,0
1198443600,August Town,Tivoli,2,1,,,,0
1198443600,Arnett Gardens,Sporting,2,2,,,,0
1199048400,Waterhouse,Arnett Gardens,2,1,,,,0
1199048400,Village United,Harbour View,1,1,,,,0
1199048400,Tivoli,Montego Bay,2,0,,,,0
1199048400,St. George's SC,August Town,2,1,,,,0
1199048400,Reno,Sporting,0,0,,,,0
1199048400,Boys' Town,Portmore,0,0,,,,0
1199307600,Sporting,Harbour View,0,3,,,,0
1199307600,Portmore,Tivoli,0,1,,,,0
1199307600,Montego Bay,St. George's SC,2,2,,,,0
1199307600,August Town,Village United,3,2,,,,0
1199307600,Arnett Gardens,Boys' Town,0,1,,,,0
1199394000,Reno,Waterhouse,1,1,,,,0
1199653200,Waterhouse,Sporting,1,0,,,,0
1199653200,Village United,Montego Bay,0,0,,,,0
1199653200,Tivoli,Arnett Gardens,1,0,,,,0
1199653200,St. George's SC,Portmore,3,1,,,,0
1199653200,Harbour View,August Town,1,0,,,,0
1199653200,Boys' Town,Reno,0,0,,,,0
1199912400,Waterhouse,Harbour View,1,1,,,,0
1199912400,Sporting,Boys' Town,3,0,,,,0
1199912400,Reno,Tivoli,1,3,,,,0
1199912400,Portmore,Village United,2,0,,,,0
1199912400,Montego Bay,August Town,2,0,,,,0
1200258000,Village United,Arnett Gardens,2,1,,,,0
1200258000,Tivoli,Sporting,2,0,,,,0
1200258000,St. George's SC,Reno,1,1,,,,0
1200258000,Harbour View,Montego Bay,4,2,,,,0
1200258000,Boys' Town,Waterhouse,1,1,,,,0
1200258000,August Town,Portmore,0,5,,,,0
1200517200,Arnett Gardens,St. George's SC,2,1,,,,0
1200862800,Waterhouse,Tivoli,2,0,,,,0
1200862800,Sporting,St. George's SC,1,0,,,,0
1200862800,Reno,Village United,1,0,,,,0
1200862800,Montego Bay,Portmore,0,0,,,,0
1200862800,Harbour View,Boys' Town,0,0,,,,0
1200862800,Arnett Gardens,August Town,2,0,,,,0
1201122000,Village United,Sporting,0,2,,,,0
1201122000,St. George's SC,Waterhouse,0,1,,,,0
1201122000,Portmore,Harbour View,0,0,,,,0
1201122000,Montego Bay,Arnett Gardens,1,1,,,,0
1201122000,Boys' Town,Tivoli,0,0,,,,0
1201122000,August Town,Reno,1,1,,,,0
1201467600,Waterhouse,Village United,0,2,,,,0
1201467600,Tivoli,Harbour View,2,1,,,,0
1201467600,Sporting,August Town,1,2,,,,0
1201467600,Boys' Town,St. George's SC,1,0,,,,0
1201467600,Arnett Gardens,Portmore,1,1,,,,0
1201899600,Montego Bay,Boys' Town,0,1,,,,0
1202072400,Village United,Boys' Town,3,0,,,,0
1202072400,St. George's SC,Tivoli,1,0,,,,0
1202072400,Portmore,Reno,3,1,,,,0
1202072400,Montego Bay,Sporting,2,2,,,,0
1202072400,Harbour View,Arnett Gardens,1,1,,,,0
1202072400,August Town,Waterhouse,1,1,,,,0
1202418000,Reno,Montego Bay,1,4,,,,0
1203282000,Village United,Tivoli,3,0,,,,0
1203282000,Portmore,Sporting,3,1,,,,0
1203541200,Montego Bay,Waterhouse,1,0,,,,0
1203541200,Harbour View,St. George's SC,0,2,,,,0
1203541200,August Town,Boys' Town,0,1,,,,0
1203541200,Arnett Gardens,Reno,1,1,,,,0
1203886800,Waterhouse,Portmore,1,1,,,,0
1203886800,Tivoli,August Town,2,0,,,,0
1203886800,St. George's SC,Village United,0,0,,,,0
1203886800,Sporting,Arnett Gardens,0,4,,,,0
1203886800,Reno,Harbour View,2,2,,,,0
1203886800,Boys' Town,Montego Bay,2,0,,,,0
1204146000,Sporting,Reno,5,2,,,,0
1204146000,Montego Bay,Tivoli,1,2,,,,0
1204146000,Harbour View,Village United,1,2,,,,0
1204146000,Arnett Gardens,Waterhouse,1,1,,,,0
1204232400,Portmore,Boys' Town,0,2,,,,0
1204491600,Waterhouse,Reno,2,2,,,,0
1204491600,Village United,August Town,1,0,,,,0
1204491600,Tivoli,Portmore,2,4,,,,0
1204491600,St. George's SC,Montego Bay,0,1,,,,0
1204491600,Harbour View,Sporting,3,0,,,,0
1204750800,Boys' Town,Arnett Gardens,0,0,,,,0
1204750800,August Town,St. George's SC,1,1,,,,0
1205096400,Sporting,Waterhouse,3,0,,,,0
1205096400,Reno,Boys' Town,1,2,,,,0
1205096400,Portmore,St. George's SC,2,0,,,,0
1205096400,Montego Bay,Village United,0,2,,,,0
1205096400,August Town,Harbour View,2,2,,,,0
1205096400,Arnett Gardens,Tivoli,0,1,,,,0
1205701200,Tivoli,Reno,3,1,,,,0
1205701200,St. George's SC,Arnett Gardens,2,2,,,,0
1205701200,Boys' Town,Sporting,0,0,,,,0
1205701200,August Town,Montego Bay,3,0,,,,0
1206306000,Waterhouse,Boys' Town,1,0,,,,0
1206306000,Sporting,Tivoli,0,0,,,,0
1206306000,Reno,St. George's SC,3,1,,,,0
1206306000,Portmore,August Town,3,1,,,,0
1206306000,Montego Bay,Harbour View,0,0,,,,0
1206306000,Arnett Gardens,Village United,1,3,,,,0
1206907200,Village United,Reno,0,0,,,,0
1206907200,Tivoli,Waterhouse,2,1,,,,0
1206907200,St. George's SC,Sporting,0,1,,,,0
1206907200,Portmore,Montego Bay,1,0,,,,0
1206907200,Boys' Town,Harbour View,1,1,,,,0
1206907200,August Town,Arnett Gardens,1,0,,,,0
1207166400,Harbour View,Waterhouse,1,0,,,,0
1207339200,Village United,Portmore,0,0,,,,0
1207512000,Waterhouse,St. George's SC,1,1,,,,0
1207512000,Tivoli,Boys' Town,1,2,,,,0
1207512000,Sporting,Village United,0,0,,,,0
1207512000,Reno,August Town,2,2,,,,0
1207512000,Harbour View,Portmore,1,1,,,,0
1207512000,Arnett Gardens,Montego Bay,1,1,,,,0
1208116800,Village United,Waterhouse,0,0,,,,0
1208116800,St. George's SC,Boys' Town,1,0,,,,0
1208116800,Portmore,Arnett Gardens,1,0,,,,0
1208116800,Montego Bay,Reno,0,0,,,,0
1208116800,Harbour View,Tivoli,1,0,,,,0
1208116800,August Town,Sporting,1,0,,,,0
1208376000,Waterhouse,August Town,1,1,,,,0
1208376000,Tivoli,St. George's SC,3,1,,,,0
1208376000,Sporting,Montego Bay,2,2,,,,0
1208376000,Reno,Portmore,0,2,,,,0
1208376000,Boys' Town,Village United,3,0,,,,0
1208376000,Arnett Gardens,Harbour View,1,0,,,,0
1208980800,Waterhouse,Harbour View,1,1,,,,0
1208980800,Tivoli,Sporting,0,1,,,,0
1208980800,Boys' Town,Portmore,1,2,,,,0
1208980800,Village United,St. George's SC,2,0,,,,0
1208980800,Reno,Arnett Gardens,0,0,,,,0
1208980800,Montego Bay,August Town,3,1,,,,0
1209326400,Waterhouse,Sporting,2,2,,,,0
1209326400,Portmore,Harbour View,1,1,,,,0
1209326400,Boys' Town,Tivoli,2,1,,,,0
1209326400,Village United,Montego Bay,2,0,,,,0
1209326400,August Town,Reno,0,1,,,,0
1209326400,Arnett Gardens,St. George's SC,1,0,,,,0
1209585600,Tivoli,Harbour View,2,0,,,,0
1209585600,Sporting,Boys' Town,2,2,,,,0
1209585600,Portmore,Waterhouse,3,0,,,,0
1209585600,Village United,Arnett Gardens,0,0,,,,0
1209585600,St. George's SC,August Town,1,1,,,,0
1210190400,Waterhouse,Tivoli,3,4,,,,0
1210190400,Sporting,Portmore,1,2,,,,0
1210190400,Harbour View,Boys' Town,0,0,,,,0
1210190400,Reno,Village United,3,2,,,,0
