timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1583416800,Al Salt,Maan,8WZfae8O,2mAkbiJd,0,1,,,,0
1583425800,Al Hussein,Al Jazeera Amman,WnrX0gmJ,WdX72eig,2,2,,,,0
1583503200,Sahab,Aqaba,nijksXCp,480NxCMF,2,1,,,,0
1583512200,Al-Faisaly Amman,Al Ramtha,K8APFB8k,riw7cLfq,0,0,,,,0
1583589600,Al Sareeh,Shabab Al Ordon,Qgg1NV7E,dvq5wjeM,4,1,,,,0
1583598600,Al Ahli,Al Wehdat,6ucmGLnJ,hWTOO0Lo,0,5,,,,0
1596466800,Al Wehdat,Al Salt,hWTOO0Lo,8WZfae8O,3,0,,,,0
1596475800,Al Ramtha,Al Ahli,riw7cLfq,6ucmGLnJ,3,1,,,,0
1596553200,Shabab Al Ordon,Al-Faisaly Amman,dvq5wjeM,K8APFB8k,1,3,,,,0
1596562200,Aqaba,Maan,480NxCMF,2mAkbiJd,2,3,,,,0
1596639600,Al Jazeera Amman,Sahab,WdX72eig,nijksXCp,3,1,,,,0
1596648600,Al Hussein,Al Sareeh,WnrX0gmJ,Qgg1NV7E,2,1,,,,0
1596907800,Al Salt,Al Ramtha,8WZfae8O,riw7cLfq,1,0,,,,0
1596985200,Al Ahli,Shabab Al Ordon,6ucmGLnJ,dvq5wjeM,1,3,,,,0
1596994200,Maan,Al Wehdat,2mAkbiJd,hWTOO0Lo,0,4,,,,0
1597071600,Al Sareeh,Sahab,Qgg1NV7E,nijksXCp,1,0,,,,0
1597080600,Al-Faisaly Amman,Al Hussein,K8APFB8k,WnrX0gmJ,1,1,,,,0
1597080600,Al Jazeera Amman,Aqaba,WdX72eig,480NxCMF,3,1,,,,0
1597417200,Al Ramtha,Maan,riw7cLfq,2mAkbiJd,1,1,,,,0
1597426200,Shabab Al Ordon,Al Salt,dvq5wjeM,8WZfae8O,0,0,,,,0
1597503600,Sahab,Al-Faisaly Amman,nijksXCp,K8APFB8k,2,3,,,,0
