timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1521360000,Okzhetpes,Akademiya Ontustik,1,1,,,,0
1521450000,Maqtaaral,CSKA Almaty,1,1,,,,0
1521450000,FK Kyran,Kaspij Aktau,3,3,,,,0
1521532800,Ekibastuz,Altai,1,6,,,,0
1521543600,Taraz,Ak-Bet,1,0,,,,0
1521622800,Akademiya Ontustik,Zhas Ulan,6,1,,,,0
1521709200,CSKA Almaty,FC Ruzaevka,2,2,,,,0
1521716400,Kaspij Aktau,Sdyushor,0,3,,,,0
1521792000,Ak-Bet,Altai,0,4,,,,0
1521802800,Taraz,Ekibastuz,1,0,,,,0
1521885600,Zhas Ulan,Okzhetpes,0,7,,,,0
1521964800,Sdyushor,FK Kyran,1,2,,,,0
1521968400,FC Ruzaevka,Maqtaaral,1,7,,,,0
1522051200,Altai,Taraz,1,2,,,,0
1522062000,Ekibastuz,Ak-Bet,4,1,,,,0
1524038400,Okzhetpes,Kairat Almaty,3,5,,,,0
1524045600,Shakhter Karagandy,Kyzylzhar,0,0,Pen,1,0,0
1524045600,Maqtaaral,FC Astana,3,1,,,,0
1524045600,Kaisar Kyzylorda,Aktobe,2,0,,,,0
1524045600,FK Kyran,Ordabasy,0,6,,,,0
1524049200,Tobol,Zhetysu Taldykorgan,1,0,,,,0
1524049200,Taraz,Ertis Pavlodar,0,0,Pen,0,1,0
1524049200,FK Akzhayik,Atyrau,0,1,,,,0
1527073200,Shakhter Karagandy,Kaisar Kyzylorda,1,1,AET,2,1,0
1527076800,Ordabasy,Kairat Almaty,1,1,Pen,1,2,0
1527076800,Maqtaaral,Ertis Pavlodar,0,3,,,,0
1527080400,Atyrau,Tobol,2,1,,,,0
1528979400,Shakhter Karagandy,Atyrau,0,0,,,,0
1528981200,Kairat Almaty,Ertis Pavlodar,2,0,,,,0
1530104400,Ertis Pavlodar,Kairat Almaty,3,1,,,,0
1530106200,Atyrau,Shakhter Karagandy,3,1,,,,0
1543050000,Atyrau,Kairat Almaty,0,1,,,,0
