timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1331366400,Okzhetpes,FK Akzhayik,0,3,,,,0
1331370000,Tobol,Kairat Almaty,4,0,,,,0
1331370000,Ertis Pavlodar,Shakhter Karagandy,1,0,,,,0
1331371800,Sunkar,Zhetysu Taldykorgan,1,0,,,,0
1331373600,Kaisar Kyzylorda,Aktobe,0,2,,,,0
1331373600,Atyrau,Ordabasy,2,3,,,,0
1331377200,FC Astana,Taraz,0,2,,,,0
1332061200,Zhetysu Taldykorgan,Kaisar Kyzylorda,5,2,,,,0
1332061200,Taraz,Sunkar,1,0,,,,0
1332061200,Kairat Almaty,Okzhetpes,3,0,,,,0
1332061200,FK Akzhayik,Atyrau,3,1,,,,0
1332061200,Ertis Pavlodar,Tobol,4,1,,,,0
1332068400,Shakhter Karagandy,Aktobe,2,0,,,,0
1332666000,Tobol,Shakhter Karagandy,3,1,,,,0
1332666000,Sunkar,Ordabasy,0,0,,,,0
1332666000,Kaisar Kyzylorda,Taraz,1,2,,,,0
1332666000,FC Astana,FK Akzhayik,2,1,,,,0
1332669600,Okzhetpes,Ertis Pavlodar,1,4,,,,0
1332669600,Atyrau,Kairat Almaty,2,0,,,,0
1332673200,Aktobe,Zhetysu Taldykorgan,4,0,,,,0
1333270800,Tobol,Okzhetpes,3,1,,,,0
1333270800,Ordabasy,Kaisar Kyzylorda,1,0,,,,0
1333270800,FK Akzhayik,Sunkar,1,1,,,,0
1333270800,Ertis Pavlodar,Atyrau,0,0,,,,0
1333274400,Taraz,Aktobe,1,0,,,,0
1333278000,Shakhter Karagandy,Zhetysu Taldykorgan,5,1,,,,0
1333278000,Kairat Almaty,FC Astana,0,2,,,,0
1333875600,Okzhetpes,Shakhter Karagandy,0,2,,,,0
1333879200,Zhetysu Taldykorgan,Taraz,2,0,,,,0
1333879200,Kaisar Kyzylorda,FK Akzhayik,1,2,,,,0
1333879200,Atyrau,Tobol,1,1,,,,0
1333881000,Sunkar,Kairat Almaty,0,2,,,,0
1333882800,FC Astana,Ertis Pavlodar,2,2,,,,0
1333882800,Aktobe,Ordabasy,0,0,,,,0
1334480400,Tobol,FC Astana,3,2,,,,0
1334480400,Kairat Almaty,Kaisar Kyzylorda,1,1,,,,0
1334480400,Ertis Pavlodar,Sunkar,4,0,,,,0
1334484000,Ordabasy,Zhetysu Taldykorgan,4,1,,,,0
1334487600,Shakhter Karagandy,Taraz,1,0,,,,0
1334487600,Okzhetpes,Atyrau,1,2,,,,0
1334491200,FK Akzhayik,Aktobe,1,0,,,,0
1335085200,Kaisar Kyzylorda,Ertis Pavlodar,2,0,,,,0
1335085200,FC Astana,Okzhetpes,1,4,,,,0
1335092400,Zhetysu Taldykorgan,FK Akzhayik,1,2,,,,0
