timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1475074800,Al Qadisiya,Al Sahel,1,0,,,,0
1475074800,Al Naser,Burgan,2,0,,,,0
1475083800,Al-Fahaheel,Al Arabi,1,2,,,,0
1475083800,Al Sulaibikhat,Al Kuwait,1,2,,,,0
1475161200,Al Shabab,Al Tadamon,1,1,,,,0
1475161200,Al Salmiya,Khaitan,2,0,,,,0
1475170200,Kazma SC,Al Jahra,2,1,,,,0
1475419500,Burgan,Al Shabab,1,5,,,,0
1475419500,Al Sulaibikhat,Khaitan,2,1,,,,0
1475419500,Al Sahel,Al Salmiya,2,1,,,,0
1475419500,Al Kuwait,Yarmouk,1,1,,,,0
1475419500,Al Jahra,Al Naser,1,2,,,,0
1475429400,Al Tadamon,Al-Fahaheel,3,0,,,,0
1475429400,Al Arabi,Al Qadisiya,0,0,,,,0
1476369000,Al Shabab,Al Jahra,1,1,,,,0
1476369000,Al Naser,Kazma SC,0,2,,,,0
1476378000,Al Qadisiya,Al Tadamon,3,0,,,,0
1476455400,Yarmouk,Khaitan,0,1,,,,0
1476455400,Al-Fahaheel,Burgan,0,1,,,,0
1476455400,Al Sulaibikhat,Al Sahel,0,0,,,,0
1476464400,Al Salmiya,Al Arabi,0,0,,,,0
1476973800,Khaitan,Al Kuwait,0,1,,,,0
1476982800,Al Sahel,Yarmouk,1,0,,,,0
1476982800,Al Arabi,Al Sulaibikhat,1,1,,,,0
1477060200,Burgan,Al Qadisiya,0,5,,,,0
1477060200,Al Jahra,Al-Fahaheel,0,2,,,,0
1477069200,Kazma SC,Al Shabab,0,0,,,,0
1477069200,Al Tadamon,Al Salmiya,0,2,,,,0
1477577700,Al Shabab,Al Naser,1,2,,,,0
1477577700,Al Kuwait,Al Sahel,4,0,,,,0
1477587600,Al Sulaibikhat,Al Tadamon,2,3,,,,0
1477587600,Al Salmiya,Burgan,2,1,,,,0
1477664100,Al Qadisiya,Al Jahra,2,0,,,,0
1477674000,Yarmouk,Al Arabi,2,3,,,,0
1477674000,Al-Fahaheel,Kazma SC,0,4,,,,0
1479387600,Burgan,Al Sulaibikhat,0,4,,,,0
1479387600,Al Naser,Al-Fahaheel,1,0,,,,0
1479396600,Kazma SC,Al Qadisiya,0,1,,,,0
1479396600,Al Tadamon,Yarmouk,0,0,,,,0
1479474000,Al Sahel,Khaitan,1,0,,,,0
1479483000,Al Jahra,Al Salmiya,2,1,,,,0
1479483000,Al Arabi,Al Kuwait,1,2,,,,0
1480683600,Yarmouk,Burgan,4,0,,,,0
1480683600,Khaitan,Al Arabi,1,4,,,,0
1480692600,Al Sulaibikhat,Al Jahra,5,1,,,,0
1480692600,Al Qadisiya,Al Naser,0,1,,,,0
1480770000,Al Kuwait,Al Tadamon,3,0,,,,0
1480779000,Al-Fahaheel,Al Shabab,0,0,,,,0
1480779000,Al Salmiya,Kazma SC,1,2,,,,0
1482584400,Kazma SC,Al Sulaibikhat,1,0,,,,0
1482584400,Al Arabi,Al Sahel,4,0,,,,0
1482593400,Al Tadamon,Khaitan,3,0,,,,0
1482675300,Burgan,Al Kuwait,1,9,,,,0
1482682500,Al Naser,Al Salmiya,1,1,,,,0
1482682500,Al Jahra,Yarmouk,3,0,,,,0
1482685200,Al Shabab,Al Qadisiya,1,2,,,,0
1483020900,Al Kuwait,Al Jahra,4,2,,,,0
1483028100,Khaitan,Burgan,5,3,,,,0
1483028100,Al Sahel,Al Tadamon,1,1,,,,0
1483102800,Al Salmiya,Al Shabab,1,0,,,,0
1483111800,Al Sulaibikhat,Al Naser,0,2,,,,0
1483111800,Al Qadisiya,Al-Fahaheel,2,0,,,,0
1483113600,Yarmouk,Kazma SC,1,0,,,,0
1483453800,Burgan,Al Sahel,3,2,,,,0
1483453800,Al Tadamon,Al Arabi,2,4,,,,0
1483461000,Al Jahra,Khaitan,3,1,,,,0
1483462800,Kazma SC,Al Kuwait,0,2,,,,0
1483540200,Al Shabab,Al Sulaibikhat,0,0,,,,0
1483540200,Al Naser,Yarmouk,2,2,,,,0
1483547400,Al-Fahaheel,Al Salmiya,0,2,,,,0
1483794900,Khaitan,Kazma SC,1,4,,,,0
1483794900,Al Sahel,Al Jahra,1,3,,,,0
1483803900,Al Arabi,Burgan,2,1,,,,0
1483885800,Yarmouk,Al Shabab,1,1,,,,0
1483885800,Al Kuwait,Al Naser,2,0,,,,0
1483893000,Al Sulaibikhat,Al-Fahaheel,0,2,,,,0
1483893000,Al Salmiya,Al Qadisiya,1,1,,,,0
1487858100,Al-Fahaheel,Yarmouk,2,1,,,,0
1487858100,Al Tadamon,Burgan,2,0,,,,0
1487858100,Al Naser,Khaitan,2,1,,,,0
1487866800,Al Qadisiya,Al Sulaibikhat,1,2,,,,0
1487866800,Al Jahra,Al Arabi,2,3,,,,0
1488117300,Al Shabab,Al Kuwait,0,3,,,,0
1488126000,Kazma SC,Al Sahel,1,1,,,,0
1488376800,Khaitan,Al Shabab,1,1,,,,0
1488376800,Al Tadamon,Al Jahra,1,4,,,,0
1488376800,Al Sahel,Al Naser,1,5,,,,0
1488463200,Al Sulaibikhat,Al Salmiya,1,1,,,,0
1488463200,Al Kuwait,Al-Fahaheel,2,2,,,,0
1488471600,Yarmouk,Al Qadisiya,1,2,,,,0
1488471600,Al Arabi,Kazma SC,0,0,,,,0
1488722400,Burgan,Al Jahra,0,2,,,,0
1488722400,Al Shabab,Al Sahel,1,1,,,,0
1488808800,Al-Fahaheel,Khaitan,1,0,,,,0
1488808800,Al Salmiya,Yarmouk,2,1,,,,0
1488808800,Al Naser,Al Arabi,4,0,,,,0
1488817200,Kazma SC,Al Tadamon,1,1,,,,0
1488817200,Al Qadisiya,Al Kuwait,0,0,,,,0
1489151100,Kazma SC,Burgan,3,0,,,,0
1489151100,Al Tadamon,Al Naser,2,0,,,,0
1489159200,Al Sahel,Al-Fahaheel,0,2,,,,0
1489159200,Al Arabi,Al Shabab,4,1,,,,0
1489237500,Yarmouk,Al Sulaibikhat,1,1,,,,0
1489237500,Khaitan,Al Qadisiya,1,1,,,,0
1489245600,Al Kuwait,Al Salmiya,1,1,,,,0
1489500300,Burgan,Al Naser,2,6,,,,0
