timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1680431400,Alay Osh,Aldier,1,0,,,,0
1680431400,Abdish-Ata,Talant,0,0,,,,0
1680517800,Neftchi Kochkor-Ata,Ilbirs,1,0,,,,0
1680517800,Muras United,Dordoi Bishkek,1,1,,,,0
1680517800,Alga,Kyrgyzaltyn,2,0,,,,0
1680777000,Neftchi Kochkor-Ata,Dordoi Bishkek,2,1,,,,0
1680777000,Alay Osh,Ilbirs,1,0,,,,0
1680949800,Talant,Kyrgyzaltyn,0,0,,,,0
1680949800,Alga,Muras United,2,2,,,,0
1680949800,Abdish-Ata,Aldier,3,0,,,,0
1681209000,Kyrgyzaltyn,Aldier,1,2,,,,0
1681209000,Abdish-Ata,Muras United,3,0,,,,0
1681295400,Dordoi Bishkek,Ilbirs,6,0,,,,0
1681381800,Talant,Neftchi Kochkor-Ata,2,1,,,,0
1681381800,Alga,Alay Osh,1,1,,,,0
1681639200,Abdish-Ata,Alay Osh,2,1,,,,0
1681641000,Kyrgyzaltyn,Neftchi Kochkor-Ata,0,3,,,,0
1681641000,Dordoi Bishkek,Alga,0,2,,,,0
1681727400,Ilbirs,Talant,0,1,,,,0
1681727400,Aldier,Muras United,0,0,,,,0
1682073000,Alay Osh,Neftchi Kochkor-Ata,2,1,,,,0
1682159400,Alga,Abdish-Ata,1,1,,,,0
1682245800,Dordoi Bishkek,Kyrgyzaltyn,5,0,,,,0
1682245800,Aldier,Talant,1,1,,,,0
1682332200,Muras United,Ilbirs,3,0,,,,0
1682591400,Aldier,Ilbirs,2,3,,,,0
1682677800,Kyrgyzaltyn,Abdish-Ata,0,4,,,,0
1682764200,Muras United,Talant,1,2,,,,0
1682764200,Dordoi Bishkek,Alay Osh,1,1,,,,0
1682764200,Alga,Neftchi Kochkor-Ata,1,1,,,,0
1683027000,Talant,Alay Osh,1,1,,,,0
1683027000,Ilbirs,Alga,1,3,,,,0
1683113400,Muras United,Kyrgyzaltyn,2,1,,,,0
1683113400,Dordoi Bishkek,Aldier,2,0,,,,0
1683113400,Abdish-Ata,Neftchi Kochkor-Ata,0,1,,,,0
1683372600,Alga,Aldier,1,1,,,,0
1683372600,Alay Osh,Kyrgyzaltyn,2,0,,,,0
1683459000,Talant,Dordoi Bishkek,1,1,,,,0
1683459000,Neftchi Kochkor-Ata,Muras United,0,2,,,,0
1683459000,Ilbirs,Abdish-Ata,0,3,,,,0
1684236600,Alga,Talant,4,1,,,,0
1684236600,Aldier,Neftchi Kochkor-Ata,2,3,,,,0
1684236600,Abdish-Ata,Dordoi Bishkek,1,1,,,,0
1684323000,Muras United,Alay Osh,1,0,,,,0
1685014200,Talant,Alga,0,4,,,,0
1685014200,Neftchi Kochkor-Ata,Aldier,1,0,,,,0
1685100600,Dordoi Bishkek,Abdish-Ata,1,0,,,,0
1685102400,Alay Osh,Muras United,1,0,,,,0
1685446200,Muras United,Neftchi Kochkor-Ata,1,0,,,,0
1685446200,Dordoi Bishkek,Talant,5,0,,,,0
1685532600,Kyrgyzaltyn,Alay Osh,0,4,,,,0
1685532600,Aldier,Alga,2,6,,,,0
1685532600,Abdish-Ata,Ilbirs,3,1,,,,0
1685793600,Kyrgyzaltyn,Talant,1,1,,,,0
1685793600,Ilbirs,Alay Osh,1,1,,,,0
1686484800,Kyrgyzaltyn,Ilbirs,1,0,,,,0
1686830400,Ilbirs,Kyrgyzaltyn,1,1,,,,0
1687523400,Neftchi Kochkor-Ata,Alay Osh,1,2,,,,0
1687523400,Kyrgyzaltyn,Dordoi Bishkek,0,2,,,,0
1687523400,Abdish-Ata,Alga,4,0,,,,0
1687609800,Talant,Aldier,3,4,,,,0
1687618800,Ilbirs,Muras United,0,4,,,,0
1687869000,Talant,Muras United,1,2,,,,0
1687878000,Ilbirs,Aldier,4,0,,,,0
1687955400,Neftchi Kochkor-Ata,Alga,1,0,,,,0
1687955400,Alay Osh,Dordoi Bishkek,2,1,,,,0
1687955400,Abdish-Ata,Kyrgyzaltyn,7,0,,,,0
1688214600,Alay Osh,Alga,0,0,,,,0
1688387400,Muras United,Abdish-Ata,0,1,,,,0
1688387400,Aldier,Kyrgyzaltyn,3,0,,,,0
1688473800,Neftchi Kochkor-Ata,Talant,3,2,,,,0
