timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1306684800,FK Olaine,Iecava,0,1,,,,0
1306944000,Sigulda,Auda,0,1,,,,0
1306944000,FK Ergli,Avantis,0,3,,,,0
1307178000,Plavinas,Madona Kvarcs,3,1,,,,0
1307181600,FK Aluksne,Bebri,2,0,,,,0
1307199600,Aizkraukle,FK Smiltene,0,3,,,,0
1307268000,Kekava,Grobina,0,1,,,,0
1307271600,Upesciems,Austrumi,2,1,,,,0
1307278800,Jelgava/Jauniesi,Brali,3,4,,,,0
1307376000,FK Dobele,Marupe,0,1,,,,0
1307379600,Ozolnieki,Mersrags,4,0,,,,0
1308070800,Auda,Ozolnieki,2,2,AET,6,2,0
1308412800,Brali,Madona Kvarcs,1,6,,,,0
1308492000,FK Aluksne,Upesciems,0,3,,,,0
1308495600,Marupe,Zelis Gulbene,1,3,,,,0
1308585600,Avantis,Iecava,0,3,,,,0
1308650400,Grobina,FK Smiltene,-,-,Awrd,,,0
1309514400,Zelis Gulbene,RFS,0,12,,,,0
1309946400,Tukums 2000,Auda,2,0,,,,0
1310032800,Ozolnieki,Upesciems,4,1,,,,0
1310569200,Metta,BFC Daugavpils,3,1,,,,0
1310662800,Spartaks,Iecava,5,0,,,,0
1310745600,Ogre,Valmiera,0,4,,,,0
1310826600,Grobina,Madona Kvarcs,0,0,Pen,0,1,0
1310907600,1625 Liepaja,Rezekne,2,0,,,,0
1310914800,Ozolnieki,Tukums 2000,0,3,,,,0
1312038000,RFS,Skonto,0,2,,,,0
1312038000,Metta,Jurmala,0,3,,,,0
1312113600,Madona Kvarcs,FC Daugava,0,11,,,,0
1312124400,Spartaks,Ventspils,1,2,,,,0
1312124400,1625 Liepaja,FK Liepaja,1,3,,,,0
1312125300,Valmiera,Gulbene,1,1,AET,1,3,0
1312126200,Tukums 2000,Daugava Riga,0,4,,,,0
1312128000,Jelgava,Olimps Riga,3,1,,,,0
1331985600,FK Liepaja,FC Daugava,1,0,,,,0
1332072000,Daugava Riga,Gulbene,1,3,,,,0
1332075600,Jelgava,Ventspils,1,1,AET,2,1,0
1332079200,Jurmala,Skonto,0,1,,,,0
1334154600,Jelgava,FK Liepaja,1,4,,,,0
1334156400,Gulbene,Skonto,0,1,,,,0
1336831200,Skonto,FK Liepaja,1,1,Pen,2,1,0
