timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1558542600,Salaspils FK,Fk Jurnieks Riga,bg8X4XYH,48hHPKnI,4,1,,,,0
1558627200,Jauniba,Jurmalas,48hHPKnI,raiLOv2O,2,1,,,,0
1558782000,Riga United,Karosta,lSMzlI7H,OEIRt6pq,1,3,,,,0
1558792800,Talsu/Laidze,Aliance,ruRUrrmt,48hHPKnI,0,1,,,,0
1558792800,LDZ Cargo/DFA,Monarhs,rqskBWTa,MkjPNbHU,7,0,,,,0
1558864800,AFA Olaine,Kalupe,Ycwif2Tq,U9ODZatc,1,2,,,,0
1558877400,DSVK Traktors,Krimulda,nRf9RtI5,dljQOsUR,1,3,,,,0
1559326800,Caramba,FK Limbazi,nRf9RtI5,bDhCLHai,8,2,,,,0
1560358800,Caramba,Marupe,nRf9RtI5,AH5Iepr6,5,3,,,,0
1560528900,Alberts JDFS,Dinamo Riga,SIDDuAGg,6PrjRERe,1,1,AET,3,1,0
1560601800,Auda,Tukums 2000,hftqBi79,tC6rU9Br,1,5,,,,0
1560610800,Salaspils FK,Jauniba,bg8X4XYH,48hHPKnI,3,0,,,,0
1560610800,Kalupe,New Project,U9ODZatc,nRf9RtI5,0,0,Pen,0,1,0
1560690000,Karosta,Madona Kvarcs,OEIRt6pq,raiLOv2O,8,1,,,,0
1560690000,Albatroz,Grobina,8zd5SM2a,02zeHdqh,1,2,,,,0
1560693600,Super Nova,Rezekne,Qwg96XNN,YunHGuYA,2,2,Pen,4,3,0
1560697200,Livani,Nikers,48hHPKnI,QHgDQ0XB,5,1,,,,0
1560877200,Alberts,Lielupe,EPhva3GT,jBgLtRmi,2,1,,,,0
1560965400,Krimulda,Keiko Jekabpils,dljQOsUR,raiLOv2O,3,2,,,,0
1560967200,Aliance,LDZ Cargo/DFA,48hHPKnI,rqskBWTa,1,2,,,,0
1561134600,FK Smiltene,Ghetto,tAwvWAcU,raiLOv2O,3,0,Awrd,,,0
1561136400,Lubana,Tente,Ui73BF9H,lEuwO7jC,2,6,,,,0
1561140000,Caramba,Salaspils FK,nRf9RtI5,bg8X4XYH,1,0,,,,0
1561806000,Tukums 2000,Krimulda,tC6rU9Br,dljQOsUR,9,1,,,,0
1561813200,Grobina,Alberts JDFS,02zeHdqh,SIDDuAGg,2,4,,,,0
1561824000,Livani,FK Smiltene,48hHPKnI,tAwvWAcU,0,7,,,,0
1561879800,Tente,Karosta,lEuwO7jC,OEIRt6pq,0,1,,,,0
1561893300,New Project,Super Nova,nRf9RtI5,Qwg96XNN,1,2,,,,0
1561896000,LDZ Cargo/DFA,Alberts,rqskBWTa,EPhva3GT,6,0,,,,0
1563015600,Alberts JDFS,Caramba,SIDDuAGg,nRf9RtI5,0,1,,,,0
1563102000,Tukums 2000,Ventspils,tC6rU9Br,IROavVX5,4,1,,,,0
1563109200,FK Smiltene,FK Liepaja,tAwvWAcU,tfJgPT4F,0,4,,,,0
1563120000,Valmiera,RFS,63LcsWgs,Uye1gatQ,1,2,,,,0
1563120000,Super Nova,Riga FC,Qwg96XNN,EmoyoZps,0,6,,,,0
1563202800,Spartaks,BFC Daugavpils,xKNcwgvn,0Si1Ct09,0,1,,,,0
1563202800,Jelgava,Metta,finrn2xp,xICJ1EZ7,1,0,,,,0
1563375600,Karosta,LDZ Cargo/DFA,OEIRt6pq,rqskBWTa,4,1,,,,0
1564916400,Caramba,Karosta,nRf9RtI5,OEIRt6pq,1,1,Pen,1,2,0
1566396000,BFC Daugavpils,Jelgava,0Si1Ct09,finrn2xp,1,2,,,,0
1566403200,FK Liepaja,RFS,tfJgPT4F,Uye1gatQ,1,2,,,,0
1567350000,Riga FC,Tukums 2000,EmoyoZps,tC6rU9Br,4,0,,,,0
1569427200,Karosta,Jelgava,OEIRt6pq,finrn2xp,0,5,,,,0
1569513600,RFS,Riga FC,Uye1gatQ,EmoyoZps,3,1,,,,0
1572088800,RFS,Jelgava,Uye1gatQ,finrn2xp,2,2,AET,3,2,1
