timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1081087200,Ventspils,Daugava Riga,IROavVX5,zZsp1Eos,3,2,,,,0
1081087200,Skonto,Auda,MaoY8XU2,hftqBi79,3,0,,,,0
1081087200,FK Liepaja,FC Daugava,tfJgPT4F,v3b841Xb,5,1,,,,0
1081087200,Dinaburg,FK Riga,YB20ndi2,4WKLkpQP,2,1,,,,0
1081353600,FK Riga,FC Daugava,4WKLkpQP,v3b841Xb,1,2,,,,0
1081353600,Dinaburg,Ventspils,YB20ndi2,IROavVX5,0,2,,,,0
1081353600,Daugava Riga,Skonto,zZsp1Eos,MaoY8XU2,0,1,,,,0
1081440000,Auda,FK Liepaja,hftqBi79,tfJgPT4F,1,7,,,,0
1081695600,Ventspils,FK Riga,IROavVX5,4WKLkpQP,1,1,,,,0
1081695600,Skonto,Dinaburg,MaoY8XU2,YB20ndi2,1,1,,,,0
1081695600,FC Daugava,Auda,v3b841Xb,hftqBi79,1,0,,,,0
1081785600,FK Liepaja,Daugava Riga,tfJgPT4F,zZsp1Eos,1,1,,,,0
1082131200,Ventspils,Skonto,IROavVX5,MaoY8XU2,1,1,,,,0
1082131200,FK Riga,Auda,4WKLkpQP,hftqBi79,2,1,,,,0
1082131200,Dinaburg,FK Liepaja,YB20ndi2,tfJgPT4F,1,4,,,,0
1082131200,Daugava Riga,FC Daugava,zZsp1Eos,v3b841Xb,0,2,,,,0
1082473200,Auda,Daugava Riga,hftqBi79,zZsp1Eos,1,2,,,,0
1082476800,FK Liepaja,Ventspils,tfJgPT4F,IROavVX5,3,4,,,,0
1082476800,FC Daugava,Dinaburg,v3b841Xb,YB20ndi2,0,1,,,,0
1082480400,Skonto,FK Riga,MaoY8XU2,4WKLkpQP,1,0,,,,0
1082815200,Daugava Riga,FK Riga,zZsp1Eos,4WKLkpQP,1,1,,,,0
1082822400,Ventspils,FC Daugava,IROavVX5,v3b841Xb,3,0,,,,0
1082822400,Dinaburg,Auda,YB20ndi2,hftqBi79,2,0,,,,0
1082826000,Skonto,FK Liepaja,MaoY8XU2,tfJgPT4F,1,0,,,,0
1083686400,FK Liepaja,FK Riga,tfJgPT4F,4WKLkpQP,2,2,,,,0
1083686400,FC Daugava,Skonto,v3b841Xb,MaoY8XU2,0,4,,,,0
1083686400,Daugava Riga,Dinaburg,zZsp1Eos,YB20ndi2,2,0,,,,0
1083686400,Auda,Ventspils,hftqBi79,IROavVX5,0,3,,,,0
1084021200,FK Riga,Dinaburg,4WKLkpQP,YB20ndi2,1,1,,,,0
1084032000,FC Daugava,FK Liepaja,v3b841Xb,tfJgPT4F,0,3,,,,0
1084032000,Daugava Riga,Ventspils,zZsp1Eos,IROavVX5,1,1,,,,0
1084032000,Auda,Skonto,hftqBi79,MaoY8XU2,0,4,,,,0
1084377600,Ventspils,Dinaburg,IROavVX5,YB20ndi2,1,2,,,,0
1084377600,FK Liepaja,Auda,tfJgPT4F,hftqBi79,4,1,,,,0
1084377600,FC Daugava,FK Riga,v3b841Xb,4WKLkpQP,0,0,,,,0
1084723200,FK Riga,Ventspils,4WKLkpQP,IROavVX5,1,4,,,,0
1084723200,Daugava Riga,FK Liepaja,zZsp1Eos,tfJgPT4F,0,2,,,,0
1084809600,Auda,FC Daugava,hftqBi79,v3b841Xb,0,2,,,,0
1084896000,Dinaburg,Skonto,YB20ndi2,MaoY8XU2,0,1,,,,0
1085241600,Skonto,Ventspils,MaoY8XU2,IROavVX5,1,0,,,,0
1085241600,FK Liepaja,Dinaburg,tfJgPT4F,YB20ndi2,2,1,,,,0
1085241600,FC Daugava,Daugava Riga,v3b841Xb,zZsp1Eos,1,1,,,,0
1085328000,Auda,FK Riga,hftqBi79,4WKLkpQP,0,2,,,,0
1087135200,Dinaburg,FC Daugava,YB20ndi2,v3b841Xb,1,0,,,,0
1088946000,FK Liepaja,Ventspils,tfJgPT4F,IROavVX5,4,0,,,,0
1088956800,FK Riga,Skonto,4WKLkpQP,MaoY8XU2,0,2,,,,0
1089302400,FK Riga,Daugava Riga,4WKLkpQP,zZsp1Eos,1,0,,,,0
1089302400,FK Liepaja,Skonto,tfJgPT4F,MaoY8XU2,3,1,,,,0
1089302400,FC Daugava,Ventspils,v3b841Xb,IROavVX5,0,8,,,,0
1089561600,Ventspils,Auda,IROavVX5,hftqBi79,5,1,,,,0
1089561600,FK Riga,FK Liepaja,4WKLkpQP,tfJgPT4F,0,2,,,,0
1089993600,FC Daugava,Daugava Riga,v3b841Xb,zZsp1Eos,1,1,,,,0
1090080000,Dinaburg,FK Riga,YB20ndi2,4WKLkpQP,3,3,,,,0
1090081800,Skonto,Auda,MaoY8XU2,hftqBi79,2,0,,,,0
1090339200,Ventspils,Daugava Riga,IROavVX5,zZsp1Eos,4,0,,,,0
1090339200,FK Liepaja,FC Daugava,tfJgPT4F,v3b841Xb,3,0,,,,0
1090684800,Dinaburg,Ventspils,YB20ndi2,IROavVX5,0,2,,,,0
1090684800,Auda,FK Liepaja,hftqBi79,tfJgPT4F,1,6,,,,0
1090771200,FK Riga,FC Daugava,4WKLkpQP,v3b841Xb,1,1,,,,0
1090944000,Auda,Dinaburg,hftqBi79,YB20ndi2,0,5,,,,0
1091289600,FC Daugava,Auda,v3b841Xb,hftqBi79,4,0,,,,0
1091376000,Dinaburg,Daugava Riga,YB20ndi2,zZsp1Eos,0,0,,,,0
1091635200,Ventspils,FK Riga,IROavVX5,4WKLkpQP,1,0,,,,0
1091635200,Dinaburg,FK Liepaja,YB20ndi2,tfJgPT4F,3,0,,,,0
1091635200,Daugava Riga,FC Daugava,zZsp1Eos,v3b841Xb,4,1,,,,0
1092326400,Skonto,FK Riga,MaoY8XU2,4WKLkpQP,4,1,,,,0
1092326400,FC Daugava,Dinaburg,v3b841Xb,YB20ndi2,2,0,,,,0
1092412800,Auda,Daugava Riga,hftqBi79,zZsp1Eos,0,1,,,,0
1093104000,FK Riga,Daugava Riga,4WKLkpQP,zZsp1Eos,1,1,,,,0
1093104000,Dinaburg,Auda,YB20ndi2,hftqBi79,3,1,,,,0
1093190400,Ventspils,FC Daugava,IROavVX5,v3b841Xb,0,0,,,,0
1093190400,Skonto,FK Liepaja,MaoY8XU2,tfJgPT4F,1,2,,,,0
1093363200,FK Riga,Auda,4WKLkpQP,hftqBi79,3,1,,,,0
1093536000,Daugava Riga,Skonto,zZsp1Eos,MaoY8XU2,0,1,,,,0
1093795200,FC Daugava,Skonto,v3b841Xb,MaoY8XU2,0,4,,,,0
1093795200,Daugava Riga,Dinaburg,zZsp1Eos,YB20ndi2,0,0,,,,0
1093881600,FK Liepaja,FK Riga,tfJgPT4F,4WKLkpQP,2,1,,,,0
1093881600,Auda,Ventspils,hftqBi79,IROavVX5,0,6,,,,0
1094569200,Daugava Riga,Auda,zZsp1Eos,hftqBi79,1,1,,,,0
1095346800,FK Riga,Dinaburg,4WKLkpQP,YB20ndi2,0,0,,,,0
1095433200,Auda,Skonto,hftqBi79,MaoY8XU2,1,6,,,,0
1095778800,Ventspils,Dinaburg,IROavVX5,YB20ndi2,3,1,,,,0
1095778800,FC Daugava,FK Riga,v3b841Xb,4WKLkpQP,0,1,,,,0
1095782400,Skonto,Daugava Riga,MaoY8XU2,zZsp1Eos,0,2,,,,0
1095782400,FK Liepaja,Auda,tfJgPT4F,hftqBi79,10,1,,,,0
1096120800,FC Daugava,FK Liepaja,v3b841Xb,tfJgPT4F,0,4,,,,0
1096812000,Dinaburg,Skonto,YB20ndi2,MaoY8XU2,1,2,,,,0
1096812000,Daugava Riga,FK Liepaja,zZsp1Eos,tfJgPT4F,1,4,,,,0
1096812000,Auda,FC Daugava,hftqBi79,v3b841Xb,1,2,,,,0
1096898400,FK Riga,Ventspils,4WKLkpQP,IROavVX5,1,3,,,,0
1097931600,Ventspils,FK Liepaja,IROavVX5,tfJgPT4F,0,2,,,,0
1098014400,Auda,FK Riga,hftqBi79,4WKLkpQP,0,4,,,,0
1098025200,Skonto,Daugava Riga,MaoY8XU2,zZsp1Eos,3,2,,,,0
1098288000,Skonto,Ventspils,MaoY8XU2,IROavVX5,0,0,,,,0
1098288000,FK Liepaja,Dinaburg,tfJgPT4F,YB20ndi2,4,0,,,,0
1098532800,Daugava Riga,Auda,zZsp1Eos,hftqBi79,2,0,,,,0
1098619200,Ventspils,FK Liepaja,IROavVX5,tfJgPT4F,1,1,,,,0
1098619200,FK Riga,Skonto,4WKLkpQP,MaoY8XU2,2,4,,,,0
1098619200,Dinaburg,FC Daugava,YB20ndi2,v3b841Xb,4,0,,,,0
1098882000,Skonto,FC Daugava,MaoY8XU2,v3b841Xb,2,0,,,,0
1098964800,Daugava Riga,Ventspils,zZsp1Eos,IROavVX5,2,2,,,,0
1099227600,FK Liepaja,Skonto,tfJgPT4F,MaoY8XU2,2,3,,,,0
1099227600,FC Daugava,Ventspils,v3b841Xb,IROavVX5,0,4,,,,0
1099227600,Daugava Riga,FK Riga,zZsp1Eos,4WKLkpQP,2,0,,,,0
1099227600,Auda,Dinaburg,hftqBi79,YB20ndi2,0,3,,,,0
1099494000,Skonto,Dinaburg,MaoY8XU2,YB20ndi2,3,0,,,,0
1099836000,Ventspils,Skonto,IROavVX5,MaoY8XU2,0,3,,,,0
1099846800,FK Liepaja,Daugava Riga,tfJgPT4F,zZsp1Eos,1,0,,,,0
1100178000,Ventspils,Auda,IROavVX5,hftqBi79,2,1,,,,0
1100178000,Skonto,FC Daugava,MaoY8XU2,v3b841Xb,6,0,,,,0
1100178000,FK Riga,FK Liepaja,4WKLkpQP,tfJgPT4F,1,2,,,,0
1100178000,Dinaburg,Daugava Riga,YB20ndi2,zZsp1Eos,0,1,,,,0
1100386800,FC Daugava,FK Venta,v3b841Xb,,0,1,,,,0
1100646000,FK Venta,FC Daugava,,v3b841Xb,1,0,,,,0
