timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1662123600,Safa,Al Ghazieh,1,1,,,,0
1662210000,Bourj FC,Salam Zgharta,2,1,,,,0
1662211800,Al Ansar,Al Sahel,2,2,,,,0
1662296400,Tadamon,Tripoli,0,0,,,,0
1662296400,Al Akhaa Al Ahli,Al Ahed,1,2,,,,0
1662298200,Al Hikma,Nejmeh SC,0,2,,,,0
1662728400,Bourj FC,Tripoli,4,1,,,,0
1662728400,Al Ghazieh,Tadamon,2,2,,,,0
1662728400,Al Akhaa Al Ahli,Safa,1,3,,,,0
1662814800,Al Sahel,Al Hikma,0,0,,,,0
1662901200,Salam Zgharta,Al Ansar,0,3,,,,0
1662901200,Al Ahed,Nejmeh SC,1,1,,,,0
1663419600,Al Ghazieh,Bourj FC,0,2,,,,0
1663419600,Al Ahed,Al Sahel,0,1,,,,0
1663506000,Tripoli,Al Ansar,0,6,,,,0
1663506000,Safa,Tadamon,1,0,,,,0
1663506000,Al Hikma,Salam Zgharta,0,1,,,,0
1663506000,Al Akhaa Al Ahli,Nejmeh SC,0,2,,,,0
1664541000,Al Ansar,Al Ghazieh,2,1,,,,0
1664627400,Tripoli,Al Hikma,0,2,,,,0
1664629200,Nejmeh SC,Al Sahel,1,2,,,,0
1664713800,Tadamon,Al Akhaa Al Ahli,5,2,,,,0
1664713800,Salam Zgharta,Al Ahed,1,2,,,,0
1664713800,Safa,Bourj FC,1,2,,,,0
1665145800,Al Sahel,Al Akhaa Al Ahli,3,1,,,,0
1665232200,Tripoli,Al Ahed,0,4,,,,0
1665232200,Safa,Al Ansar,1,1,,,,0
1665232200,Al Hikma,Al Ghazieh,0,2,,,,0
1665318600,Salam Zgharta,Nejmeh SC,1,2,,,,0
1665320400,Tadamon,Bourj FC,0,1,,,,0
1665750600,Safa,Al Hikma,1,3,,,,0
1665835200,Nejmeh SC,Tripoli,2,0,,,,0
1665837000,Al Akhaa Al Ahli,Bourj FC,0,2,,,,0
1665923400,Al Sahel,Salam Zgharta,1,0,,,,0
1665923400,Al Ghazieh,Al Ahed,1,2,,,,0
1665925200,Tadamon,Al Ansar,0,4,,,,0
1666273500,Safa,Al Ahed,0,4,,,,0
1666353600,Nejmeh SC,Al Ghazieh,2,0,,,,0
1666440000,Al Akhaa Al Ahli,Salam Zgharta,2,0,,,,0
1666446300,Bourj FC,Al Ansar,1,3,,,,0
1666526400,Tripoli,Al Sahel,0,0,,,,0
1666526400,Tadamon,Al Hikma,2,1,,,,0
1666958400,Bourj FC,Al Hikma,2,1,,,,0
1666958400,Al Sahel,Al Ghazieh,4,0,,,,0
1666961100,Tadamon,Al Ahed,0,1,,,,0
1667051100,Nejmeh SC,Safa,1,0,,,,0
1667131200,Al Ansar,Al Akhaa Al Ahli,3,0,,,,0
1667132100,Tripoli,Salam Zgharta,1,1,,,,0
1669378500,Tripoli,Al Akhaa Al Ahli,2,2,,,,0
1669464900,Salam Zgharta,Al Ghazieh,1,1,,,,0
1669464900,Safa,Al Sahel,0,2,,,,0
1669471200,Bourj FC,Al Ahed,0,0,,,,0
1669551300,Al Ansar,Al Hikma,1,0,,,,0
1669557600,Tadamon,Nejmeh SC,0,0,,,,0
1669989600,Bourj FC,Nejmeh SC,1,4,,,,0
1670069700,Tadamon,Al Sahel,1,2,,,,0
1670070600,Al Hikma,Al Akhaa Al Ahli,0,1,,,,0
1670156100,Salam Zgharta,Safa,0,0,,,,0
1670156100,Al Ghazieh,Tripoli,1,0,,,,0
1670162400,Al Ansar,Al Ahed,1,1,,,,0
1670588100,Al Hikma,Al Ahed,2,3,,,,0
1670677200,Al Ansar,Nejmeh SC,2,1,,,,0
1670760900,Tadamon,Salam Zgharta,1,1,,,,0
1670760900,Safa,Tripoli,0,0,,,,0
1670760900,Bourj FC,Al Sahel,0,0,,,,0
1670760900,Al Ghazieh,Al Akhaa Al Ahli,3,0,,,,0
1673013600,Al Sahel,Bourj FC,1,1,,,,0
1673093700,Al Ansar,Al Ghazieh,4,0,,,,0
1673180100,Tadamon,Al Hikma,2,0,,,,0
1673180100,Safa,Tripoli,1,2,,,,0
1673180100,Al Akhaa Al Ahli,Salam Zgharta,2,1,,,,0
1673186400,Al Ahed,Nejmeh SC,0,0,,,,0
1673618400,Al Sahel,Al Ahed,1,2,,,,0
1673698500,Al Ghazieh,Nejmeh SC,0,1,,,,0
1673704800,Bourj FC,Al Ansar,0,2,,,,0
1673784900,Tripoli,Salam Zgharta,1,0,,,,0
1673784900,Tadamon,Al Akhaa Al Ahli,2,0,,,,0
1673784900,Al Hikma,Safa,2,1,,,,0
1674303300,Al Sahel,Al Ghazieh,2,1,,,,0
1674303300,Salam Zgharta,Safa,0,1,,,,0
1674303300,Al Akhaa Al Ahli,Al Hikma,0,1,,,,0
1674309600,Bourj FC,Al Ahed,1,5,,,,0
1674389700,Tripoli,Tadamon,3,2,,,,0
1674396000,Al Ansar,Nejmeh SC,1,1,,,,0
1674821700,Salam Zgharta,Tadamon,0,2,,,,0
1674821700,Safa,Al Akhaa Al Ahli,1,0,,,,0
1674821700,Al Hikma,Tripoli,0,0,,,,0
1674908100,Al Ghazieh,Bourj FC,0,1,,,,0
1674910800,Nejmeh SC,Al Sahel,2,0,,,,0
1674997200,Al Ahed,Al Ansar,0,0,,,,0
1675426500,Al Hikma,Salam Zgharta,1,2,,,,0
1675512900,Tripoli,Al Akhaa Al Ahli,3,1,,,,0
1675512900,Tadamon,Safa,4,1,,,,0
1675515600,Al Ansar,Al Sahel,3,1,,,,0
1675602000,Nejmeh SC,Bourj FC,1,1,,,,0
1675685700,Al Ahed,Al Ghazieh,2,0,,,,0
1676117700,Tadamon,Salam Zgharta,1,0,,,,0
1676117700,Safa,Al Hikma,0,0,,,,0
1676124000,Al Sahel,Nejmeh SC,1,4,,,,0
1676204100,Al Ghazieh,Al Ansar,0,3,,,,0
1676204100,Al Akhaa Al Ahli,Tripoli,4,0,,,,0
1676210400,Al Ahed,Bourj FC,1,0,,,,0
1676731500,Al Ansar,Bourj FC,0,0,,,,0
1676808900,Al Ghazieh,Al Sahel,0,2,,,,0
1676808900,Tripoli,Safa,1,1,,,,0
1676808900,Salam Zgharta,Al Hikma,2,1,,,,0
1676808900,Al Akhaa Al Ahli,Tadamon,0,0,,,,0
1676817900,Nejmeh SC,Al Ahed,1,1,,,,0
1677240900,Salam Zgharta,Tripoli,2,1,,,,0
1677240900,Al Hikma,Tadamon,2,1,,,,0
1677240900,Al Akhaa Al Ahli,Safa,2,2,,,,0
1677327300,Al Ghazieh,Al Ahed,0,3,,,,0
1677336300,Bourj FC,Nejmeh SC,0,1,,,,0
1677423600,Al Sahel,Al Ansar,1,2,,,,0
1677932100,Tripoli,Al Hikma,2,0,,,,0
1677932100,Salam Zgharta,Al Akhaa Al Ahli,0,0,,,,0
1677932100,Safa,Tadamon,1,3,,,,0
1677942000,Al Ahed,Al Sahel,2,0,,,,0
1678018500,Bourj FC,Al Ghazieh,3,2,,,,0
1678028400,Nejmeh SC,Al Ansar,3,2,,,,0
1678450500,Tadamon,Tripoli,2,2,,,,0
1678452300,Safa,Salam Zgharta,1,1,,,,0
1678452300,Al Hikma,Al Akhaa Al Ahli,2,1,,,,0
1678536900,Nejmeh SC,Al Ghazieh,2,1,,,,0
1678536900,Bourj FC,Al Sahel,1,2,,,,0
1678633200,Al Ansar,Al Ahed,0,3,Awrd,,,0
