timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1281355200,Al-Ittihad,Darnes,dlMwRnhD,zk4aE9AK,3,0,,,,0
1281355200,Al Hilal Benghazi,Al-Tirsana,8IzCPxmc,AD9YOedP,1,0,,,,0
1281355200,Al Akhdar,Al Medina,fFGnXfBc,4jyk12Ig,2,3,,,,0
1281441600,Khaleej Sirte,Al Sowaihili,hGmL9lJC,YuMor2ZC,1,0,,,,0
1281441600,Al Shat,Al Ahly Benghazi,WOZTVMLM,QHFBrDj7,0,4,,,,0
1281441600,Al Nasr,Al Olomby,8hmaPcYe,,2,2,,,,0
1282046400,Al-Tirsana,Khaleej Sirte,AD9YOedP,hGmL9lJC,2,0,,,,0
1282046400,Al Nasr,Al Shat,8hmaPcYe,WOZTVMLM,1,0,,,,0
1282132800,Al Olomby,Al Akhdar,,fFGnXfBc,3,1,,,,0
1282132800,Al Medina,Darnes,4jyk12Ig,zk4aE9AK,2,1,,,,0
1282132800,Al Ahly Benghazi,Al Hilal Benghazi,QHFBrDj7,8IzCPxmc,1,1,,,,0
1287057600,Al Tahaddi,Al Wehda,xUU6QNkK,hGXrPOHD,1,2,,,,0
1287489600,Al Najma,Al Sowaihili,0EAbxzze,YuMor2ZC,1,1,,,,0
1287576000,Al Wehda,Al-Ittihad,hGXrPOHD,dlMwRnhD,2,3,,,,0
1287576000,Al Tahaddi,Al Ahly Tripoli,xUU6QNkK,EmmZhJCB,0,2,,,,0
1287921600,Al-Tirsana,Al Tahaddi,AD9YOedP,xUU6QNkK,4,0,,,,0
1287921600,Al Hilal Benghazi,Al Olomby,8IzCPxmc,,0,0,,,,0
1287921600,Al Akhdar,Al Shat,fFGnXfBc,WOZTVMLM,4,0,,,,0
1288008000,Darnes,Al Wehda,zk4aE9AK,hGXrPOHD,1,1,,,,0
1288008000,Al Najma,Al Ahly Benghazi,0EAbxzze,QHFBrDj7,0,1,,,,0
1288008000,Al Ahly Tripoli,Al Medina,EmmZhJCB,4jyk12Ig,0,0,,,,0
1288440000,Khaleej Sirte,Al Olomby,hGmL9lJC,,2,2,,,,0
1288440000,Al Sowaihili,Al Medina,YuMor2ZC,4jyk12Ig,1,1,,,,0
1288440000,Al Shat,Al Hilal Benghazi,WOZTVMLM,8IzCPxmc,0,1,,,,0
1288440000,Al Ahly Benghazi,Al Tahaddi,QHFBrDj7,xUU6QNkK,2,1,,,,0
1288530000,Darnes,Al Ahly Tripoli,zk4aE9AK,EmmZhJCB,2,4,,,,0
1288530000,Al Wehda,Al Akhdar,hGXrPOHD,fFGnXfBc,2,2,,,,0
1288789200,Al-Tirsana,Al Shat,AD9YOedP,WOZTVMLM,2,0,,,,0
1288789200,Al Olomby,Al Ahly Benghazi,,QHFBrDj7,0,0,,,,0
1288875600,Al Tahaddi,Darnes,xUU6QNkK,zk4aE9AK,0,0,,,,0
1288962000,Al Hilal Benghazi,Al Sowaihili,8IzCPxmc,YuMor2ZC,1,1,,,,0
1288962000,Al Ahly Tripoli,Khaleej Sirte,EmmZhJCB,hGmL9lJC,3,1,,,,0
1289048400,Al Najma,Al Wehda,0EAbxzze,hGXrPOHD,0,1,,,,0
1289221200,Al-Tirsana,Al Olomby,AD9YOedP,,2,1,,,,0
1289221200,Al Medina,Al Tahaddi,4jyk12Ig,xUU6QNkK,0,1,,,,0
1289221200,Al Ahly Benghazi,Al Nasr,QHFBrDj7,8hmaPcYe,0,0,,,,0
1289307600,Al Shat,Al Sowaihili,WOZTVMLM,YuMor2ZC,1,1,,,,0
1289307600,Al Hilal Benghazi,Al Ahly Tripoli,8IzCPxmc,EmmZhJCB,1,1,,,,0
1289394000,Darnes,Al Najma,zk4aE9AK,0EAbxzze,2,1,,,,0
1289394000,Al Wehda,Khaleej Sirte,hGXrPOHD,hGmL9lJC,4,3,,,,0
1290258000,Al Tahaddi,Al Najma,xUU6QNkK,0EAbxzze,1,1,,,,0
1290258000,Al Shat,Darnes,WOZTVMLM,zk4aE9AK,0,0,,,,0
1290258000,Al Olomby,Al Wehda,,hGXrPOHD,0,0,,,,0
1290258000,Al Akhdar,Al-Tirsana,fFGnXfBc,AD9YOedP,2,0,,,,0
1290344400,Al Sowaihili,Al Ahly Benghazi,YuMor2ZC,QHFBrDj7,1,2,,,,0
1290344400,Al Nasr,Al Ahly Tripoli,8hmaPcYe,EmmZhJCB,2,1,,,,0
1290344400,Al Medina,Al Hilal Benghazi,4jyk12Ig,8IzCPxmc,4,0,,,,0
1290776400,Khaleej Sirte,Al Nasr,hGmL9lJC,8hmaPcYe,4,1,,,,0
1290776400,Al Sowaihili,Al-Ittihad,YuMor2ZC,dlMwRnhD,0,1,,,,0
1291294800,Al-Ittihad,Al-Tirsana,dlMwRnhD,AD9YOedP,1,1,,,,0
1291294800,Al Nasr,Al Najma,8hmaPcYe,0EAbxzze,2,0,,,,0
1291467600,Al Olomby,Al Tahaddi,,xUU6QNkK,2,0,,,,0
1291467600,Al Ahly Benghazi,Al Medina,QHFBrDj7,4jyk12Ig,2,1,,,,0
1291554000,Al Wehda,Al Sowaihili,hGXrPOHD,YuMor2ZC,2,2,,,,0
