timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1463670000,Al Shat,Asswehly,0,0,,,,0
1463670000,Al Shat,Al Wehda,3,2,,,,0
1463670000,Al Madina,Al-Tirsana,2,0,,,,0
1463756400,Khaleej Sirte,Abi Al Ashar,1,0,,,,0
1463756400,Al-Ittihad,Mahalla Tripoli,2,0,,,,0
1464013800,Asswehly,Al-Sharara,2,1,,,,0
1464013800,Al Tahaddi,Al Najma,3,1,,,,0
1464013800,Al Ahly Benghazi,Al Hilal Benghazi,1,1,,,,0
1464100200,Al Taawun,Al Akhdar,0,2,,,,0
1464100200,Al Nasr,Shabaab Al Jabal,4,0,,,,0
1464188400,Al Ahly Tripoli,Olympic Azzaweya,0,0,,,,0
1464363000,Al-Sharara,Abi Al Ashar,0,2,,,,0
1464363000,Al Madina,Al Wehda,1,0,,,,0
1464534000,Olympic Azzaweya,Mahalla Tripoli,1,0,,,,0
1464620400,Al Ahly Benghazi,Shabaab Al Jabal,2,2,,,,0
1464706800,Al Taawun,Al Nasr,0,2,,,,0
1465594200,Al-Ittihad,Khaleej Sirte,3,1,,,,0
1465594200,Al Tahaddi,Al Akhdar,0,1,,,,0
1465637400,Darnes,Al Hilal Benghazi,0,2,,,,0
1465637400,Al-Tirsana,Al Ahly Tripoli,0,3,,,,0
1466110800,Darnes,Shabaab Al Jabal,1,4,,,,0
1466110800,Al Ahly Benghazi,Al Taawun,2,1,,,,0
1466197200,Al Tahaddi,Al Nasr,0,2,,,,0
1466197200,Al Akhdar,Al Najma,2,2,,,,0
1466458200,Olympic Azzaweya,Khaleej Sirte,1,1,,,,0
1466458200,Al-Ittihad,Al-Sharara,3,1,,,,0
1466544600,Al-Tirsana,Mahalla Tripoli,1,1,,,,0
1466629200,Al Najma,Al Nasr,0,0,,,,0
1466631000,Al Shat,Abi Al Ashar,0,1,,,,0
1466715600,Shabaab Al Jabal,Al Hilal Benghazi,0,0,,,,0
1466715600,Al Tahaddi,Al Ahly Benghazi,0,1,,,,0
1466802000,Darnes,Al Taawun,2,1,,,,0
1466803800,Al Ahly Tripoli,Al Madina,1,1,,,,0
1466976600,Olympic Azzaweya,Al-Sharara,2,1,,,,0
1466976600,Al Madina,Asswehly,1,1,,,,0
1467063000,Al-Tirsana,Khaleej Sirte,1,3,,,,0
1467149400,Al Wehda,Abi Al Ashar,1,2,,,,0
1467149400,Al Shat,Al-Ittihad,0,0,,,,0
1467234000,Al Nasr,Al Akhdar,1,1,,,,0
1467320400,Al Ahly Benghazi,Al Najma,2,1,,,,0
1467406800,Darnes,Al Tahaddi,1,1,,,,0
