timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1659981600,Triesen C,Eschen/Mauren C,0,5,,,,0
1660672800,Vaduz C,Schaan,1,6,,,,0
1660672800,Triesenberg,Triesen,5,3,,,,0
1660672800,Ruggell B,Vaduz B,1,1,Pen,1,2,0
1660673700,Eschen/Mauren B,Balzers,0,9,,,,0
1660759200,Triesenberg B,Balzers B,1,4,,,,0
1660759200,Schaan B,Eschen/Mauren C,3,7,,,,0
1660759200,Ruggell,Eschen/Mauren,1,4,,,,0
1661969700,Triesen B,Vaduz,0,18,,,,0
1663696800,Eschen/Mauren C,Vaduz,0,8,,,,0
1665511200,Balzers B,Schaan,3,2,,,,0
1665597600,Vaduz B,Balzers,0,3,,,,0
1665597600,Triesenberg,Eschen/Mauren,0,1,,,,0
1678906800,Balzers B,Balzers,0,3,,,,0
1680717600,Eschen/Mauren,Vaduz,0,0,AET,1,2,0
1684342800,Balzers,Vaduz,0,4,,,,0
