timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1402848000,Eurostandartas,Saulininkas Siauliai,,fHFRGjWS,4,1,,,,0
1402934400,KUPSC Siauliai,Sveikata 2,ADuRQ7cM,,3,1,,,,0
1403020800,Fanai Siauliai,Dziugas Telsiai,rDdPdKw7,YZpdiAPs,1,1,Pen,1,2,0
1403107200,Kursiai,Palanga,213vzE0t,4vkZ9lY0,1,3,,,,0
1403625600,Gelezinis Vilkas,Utenis,pYnri7U5,GIIj2pH0,0,5,,,,0
1403802000,Mostiskes,Trivartis Vilnius,YZpdiAPs,pjtzDJx2,1,1,Pen,2,1,0
1403802000,Klaipeda,Stumbras,0nfvb9qO,Yg3Qwrxa,1,3,,,,0
1403805600,Presas Vilnius,Hegelmann,,x6Y6RKeG,0,5,,,,0
1404043200,Sakuona Plikiai,FBK Kaunas,j7TZK9GP,2XZjQRJG,3,2,,,,0
1405008000,Sirvinta,TAIP Vilnius,,88VgMWwM,2,5,,,,0
1406736000,Medelyno Begiai,Silute,rPpmnHAn,xt573lo2,0,6,,,,0
1406739600,TEC Vilnius,FK Panevezys,06bBw84M,OlLDanjn,1,2,,,,0
1406912400,Adiada Siauliai,Prelegentai Vilnius,x6bGDXnM,KfqBgj9U,0,5,,,,0
1406988000,Pipirini Rokiskis,MRU TiuMenas,GWDwvVYs,xMpp7wKs,2,7,,,,0
1407513600,Dziugas Telsiai,Palanga,YZpdiAPs,4vkZ9lY0,2,0,,,,0
1409324400,Eurostandartas,Hegelmann,,x6Y6RKeG,1,2,,,,0
1409326200,TAIP Vilnius,Viltis Vilnius,88VgMWwM,zJTyhWme,4,1,,,,0
1409335200,Mostiskes,KUPSC Siauliai,YZpdiAPs,ADuRQ7cM,2,0,,,,0
1409756400,Utenis,FK Panevezys,GIIj2pH0,OlLDanjn,4,0,,,,0
1410273000,Gariunai Vilnius,Silute,pOPkhUmn,xt573lo2,1,2,,,,0
1410350400,MRU TiuMenas,Stumbras,xMpp7wKs,Yg3Qwrxa,3,2,,,,0
1410699600,Prelegentai Vilnius,Sakuona Plikiai,KfqBgj9U,j7TZK9GP,7,1,,,,0
1411477200,Utenis,Kauno Zalgiris,GIIj2pH0,hjhLeNs8,1,3,,,,0
1411477200,Nevezis Kedainiai,Granitas K.,xlaz5QOI,Gvbv4pvP,0,2,,,,0
1411477200,Marijampole City,Riteriai,OU4xNqTS,jJXyKvW1,2,2,AET,3,2,0
1411480800,TAIP Vilnius,Lokomotyvas,88VgMWwM,URRCU1Xj,2,0,,,,0
1411480800,Mostiskes,Jonava,YZpdiAPs,2PkRYezG,1,0,,,,0
1411491600,Hegelmann,Tauras Taurage,x6Y6RKeG,xGkXZymr,1,1,AET,2,1,0
1411497000,Prelegentai Vilnius,Dziugas Telsiai,KfqBgj9U,YZpdiAPs,1,0,,,,0
1411561800,Silute,MRU TiuMenas,xt573lo2,xMpp7wKs,0,1,,,,0
1412078400,MRU TiuMenas,Suduva,xMpp7wKs,zeD1tvmN,0,2,,,,0
1412094600,Hegelmann,Dainava Alytus,x6Y6RKeG,x28DBGvr,0,3,,,,0
1412168400,Zalgiris,Ekranas,CK4bnx4C,KGWqWzzf,3,0,,,,0
1412168400,Prelegentai Vilnius,Banga,KfqBgj9U,tGWvEQkr,1,0,,,,0
1412170200,Kauno Zalgiris,Siauliai,hjhLeNs8,zasGo2ad,0,0,Pen,1,0,0
1412175600,Granitas K.,Kruoja,Gvbv4pvP,xGkXZymr,2,0,,,,0
1412184600,TAIP Vilnius,Atlantas,88VgMWwM,tGWvEQkr,1,1,AET,1,3,0
1412356500,Mostiskes,Marijampole City,YZpdiAPs,OU4xNqTS,0,4,,,,0
1413903600,Prelegentai Vilnius,Kauno Zalgiris,KfqBgj9U,hjhLeNs8,0,2,,,,0
1413979200,Marijampole City,Dainava Alytus,OU4xNqTS,x28DBGvr,0,2,,,,0
1413990000,Granitas K.,Atlantas,Gvbv4pvP,tGWvEQkr,0,4,,,,0
1413993600,Zalgiris,Suduva,CK4bnx4C,zeD1tvmN,1,0,,,,0
1414602000,Kauno Zalgiris,Prelegentai Vilnius,hjhLeNs8,KfqBgj9U,5,0,,,,0
1415116800,Atlantas,Granitas K.,tGWvEQkr,Gvbv4pvP,3,0,,,,0
1415188800,Dainava Alytus,Marijampole City,x28DBGvr,OU4xNqTS,0,2,AET,0,3,0
1415203200,Suduva,Zalgiris,zeD1tvmN,CK4bnx4C,2,3,,,,0
1429540200,Marijampole City,Atlantas,OU4xNqTS,tGWvEQkr,0,1,,,,0
1429720200,Zalgiris,Kauno Zalgiris,CK4bnx4C,hjhLeNs8,4,0,,,,0
1430839800,Kauno Zalgiris,Zalgiris,hjhLeNs8,CK4bnx4C,0,2,,,,0
1430926200,Atlantas,Marijampole City,tGWvEQkr,OU4xNqTS,6,0,,,,0
1432378800,Zalgiris,Atlantas,CK4bnx4C,tGWvEQkr,2,0,,,,0
