timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1310211000,Zomba United,Civil,,KrDf11BT,1,2,,,,0
1310211000,Silver Strikers,ESCOM,QcZKFp8a,I7OF5IiD,1,3,,,,0
1310211000,MAFCO,Mighty Wanderers,MoEKHYQA,WU0oUpxQ,1,0,,,,0
1310211000,Embangweni,Big Bullets,,lzyHGQhg,0,0,,,,0
1310211000,Blantyre United,Civo Utd,lzyHGQhg,YZU1ae1O,0,0,,,,0
1310297400,Red Lions,Civo Utd,QcZKFp8a,YZU1ae1O,0,0,,,,0
1310297400,Moyale Barracks,Big Bullets,8UtzRpDF,lzyHGQhg,1,2,,,,0
1310297400,Mighty Tigers,Civil,04FLL0ra,KrDf11BT,2,1,,,,0
1310297400,Blue Eagles,Mighty Wanderers,QcZKFp8a,WU0oUpxQ,1,1,,,,0
1310815800,Zomba United,Embangweni,,,2,1,,,,0
1310815800,Mighty Tigers,Silver Strikers,04FLL0ra,QcZKFp8a,1,2,,,,0
1310815800,MAFCO,Blantyre United,MoEKHYQA,lzyHGQhg,0,0,,,,0
1310815800,Civo Utd,Moyale Barracks,YZU1ae1O,8UtzRpDF,3,1,,,,0
1310815800,Big Bullets,ESCOM,lzyHGQhg,I7OF5IiD,1,2,,,,0
1310902200,Mighty Wanderers,Embangweni,WU0oUpxQ,,0,0,,,,0
1310902200,Cobbe Barracks,Silver Strikers,EwSHBouN,QcZKFp8a,2,0,,,,0
1310902200,Civil,Blantyre United,KrDf11BT,lzyHGQhg,2,2,,,,0
1310902200,Blue Eagles,Moyale Barracks,QcZKFp8a,8UtzRpDF,1,1,,,,0
1311766200,Silver Strikers,Red Lions,QcZKFp8a,QcZKFp8a,0,0,,,,0
1311766200,Moyale Barracks,Mighty Tigers,8UtzRpDF,04FLL0ra,0,0,,,,0
1311766200,MAFCO,Zomba United,MoEKHYQA,,2,0,,,,0
1311766200,ESCOM,Blue Eagles,I7OF5IiD,QcZKFp8a,3,1,,,,0
1311766200,Cobbe Barracks,Mighty Wanderers,EwSHBouN,WU0oUpxQ,0,1,,,,0
1311852600,ESCOM,Cobbe Barracks,I7OF5IiD,EwSHBouN,2,0,,,,0
1311852600,Embangweni,Mighty Tigers,,04FLL0ra,1,0,,,,0
1311852600,Civo Utd,Zomba United,YZU1ae1O,,2,1,,,,0
1311852600,Civil,Red Lions,KrDf11BT,QcZKFp8a,0,1,,,,0
1311852600,Big Bullets,Blue Eagles,lzyHGQhg,QcZKFp8a,1,0,,,,0
1312025400,Embangweni,Blantyre United,,lzyHGQhg,0,2,,,,0
1312025400,Civo Utd,Silver Strikers,YZU1ae1O,QcZKFp8a,2,2,,,,0
1312025400,Civil,MAFCO,KrDf11BT,MoEKHYQA,1,1,,,,0
1312111800,Moyale Barracks,Blantyre United,8UtzRpDF,lzyHGQhg,1,1,,,,0
1312111800,Mighty Wanderers,Big Bullets,WU0oUpxQ,lzyHGQhg,2,1,,,,0
1312111800,Cobbe Barracks,Red Lions,EwSHBouN,QcZKFp8a,0,2,,,,0
1312111800,Blue Eagles,Civil,QcZKFp8a,KrDf11BT,1,0,,,,0
1312371000,Mighty Tigers,ESCOM,04FLL0ra,I7OF5IiD,1,2,,,,0
1312630200,Red Lions,Blue Eagles,QcZKFp8a,QcZKFp8a,1,1,,,,0
1312630200,Moyale Barracks,ESCOM,8UtzRpDF,I7OF5IiD,1,0,,,,0
1312630200,Mighty Wanderers,Silver Strikers,WU0oUpxQ,QcZKFp8a,1,0,,,,0
1312630200,Mighty Tigers,MAFCO,04FLL0ra,MoEKHYQA,0,0,,,,0
1312630200,Civil,Civo Utd,KrDf11BT,YZU1ae1O,2,4,,,,0
1312716600,Zomba United,Silver Strikers,,QcZKFp8a,1,1,,,,0
1312716600,Embangweni,ESCOM,,I7OF5IiD,2,1,,,,0
1312716600,Cobbe Barracks,MAFCO,EwSHBouN,MoEKHYQA,1,2,,,,0
1312716600,Blantyre United,Blue Eagles,lzyHGQhg,QcZKFp8a,0,1,,,,0
1313235000,Silver Strikers,Big Bullets,QcZKFp8a,lzyHGQhg,0,1,,,,0
1313235000,Mighty Wanderers,Moyale Barracks,WU0oUpxQ,8UtzRpDF,0,1,,,,0
1313235000,MAFCO,Embangweni,MoEKHYQA,,1,0,,,,0
1313321400,Zomba United,Moyale Barracks,,8UtzRpDF,1,0,,,,0
1313321400,Mighty Tigers,Red Lions,04FLL0ra,QcZKFp8a,0,3,,,,0
1313321400,Civo Utd,Embangweni,YZU1ae1O,,1,0,,,,0
1313321400,Civil,Big Bullets,KrDf11BT,lzyHGQhg,2,1,,,,0
1313321400,Blantyre United,Cobbe Barracks,lzyHGQhg,EwSHBouN,2,0,,,,0
1313839800,Zomba United,Red Lions,,QcZKFp8a,1,1,,,,0
1313839800,MAFCO,Silver Strikers,MoEKHYQA,QcZKFp8a,0,3,,,,0
1313839800,ESCOM,Blantyre United,I7OF5IiD,lzyHGQhg,1,2,,,,0
1313839800,Embangweni,Civil,,KrDf11BT,0,1,,,,0
1313839800,Civo Utd,Cobbe Barracks,YZU1ae1O,EwSHBouN,1,0,,,,0
1313839800,Big Bullets,Mighty Tigers,lzyHGQhg,04FLL0ra,0,3,,,,0
1313926200,Moyale Barracks,Civil,8UtzRpDF,KrDf11BT,1,0,,,,0
1313926200,Mighty Wanderers,Red Lions,WU0oUpxQ,QcZKFp8a,0,1,,,,0
1313926200,Blue Eagles,Cobbe Barracks,QcZKFp8a,EwSHBouN,2,0,,,,0
1314444600,Red Lions,MAFCO,QcZKFp8a,MoEKHYQA,0,1,,,,0
1314444600,Moyale Barracks,Silver Strikers,8UtzRpDF,QcZKFp8a,1,1,,,,0
1314444600,Mighty Wanderers,Zomba United,WU0oUpxQ,,2,0,,,,0
1314444600,Blue Eagles,Mighty Tigers,QcZKFp8a,04FLL0ra,0,1,,,,0
1314531000,Zomba United,Blantyre United,,lzyHGQhg,2,2,,,,0
1314531000,Embangweni,Silver Strikers,,QcZKFp8a,0,4,,,,0
1314531000,Civo Utd,Mighty Tigers,YZU1ae1O,04FLL0ra,0,1,,,,0
1314531000,Big Bullets,MAFCO,lzyHGQhg,MoEKHYQA,0,0,,,,0
1315135800,Silver Strikers,Civil,QcZKFp8a,KrDf11BT,3,2,,,,0
1315135800,Mighty Wanderers,Blantyre United,WU0oUpxQ,lzyHGQhg,1,1,,,,0
1315135800,ESCOM,Zomba United,I7OF5IiD,,2,0,,,,0
1315135800,Embangweni,Moyale Barracks,,8UtzRpDF,0,4,,,,0
1315135800,Civo Utd,Blue Eagles,YZU1ae1O,QcZKFp8a,1,2,,,,0
1315135800,Big Bullets,Red Lions,lzyHGQhg,QcZKFp8a,1,1,,,,0
1315654200,Silver Strikers,Blantyre United,QcZKFp8a,lzyHGQhg,3,1,,,,0
1315654200,Mighty Tigers,Mighty Wanderers,04FLL0ra,WU0oUpxQ,1,2,,,,0
1315654200,MAFCO,ESCOM,MoEKHYQA,I7OF5IiD,0,0,,,,0
1315654200,Embangweni,Red Lions,,QcZKFp8a,1,0,,,,0
1315654200,Big Bullets,Cobbe Barracks,lzyHGQhg,EwSHBouN,2,1,,,,0
1315740600,Moyale Barracks,Red Lions,8UtzRpDF,QcZKFp8a,3,0,,,,0
1315740600,Cobbe Barracks,Mighty Tigers,EwSHBouN,04FLL0ra,0,0,,,,0
1315740600,Civil,ESCOM,KrDf11BT,I7OF5IiD,4,1,,,,0
1315740600,Blue Eagles,Zomba United,QcZKFp8a,,1,0,,,,0
1316259000,Red Lions,Blantyre United,QcZKFp8a,lzyHGQhg,0,1,,,,0
1316259000,Mighty Wanderers,Civil,WU0oUpxQ,KrDf11BT,0,1,,,,0
1316259000,Blue Eagles,MAFCO,QcZKFp8a,MoEKHYQA,1,1,,,,0
1316259000,Big Bullets,Civo Utd,lzyHGQhg,YZU1ae1O,1,3,,,,0
1316345400,Mighty Tigers,Zomba United,04FLL0ra,,3,1,,,,0
1316345400,ESCOM,Civo Utd,I7OF5IiD,YZU1ae1O,2,1,,,,0
1316345400,Cobbe Barracks,Civil,EwSHBouN,KrDf11BT,3,0,,,,0
1316863800,Zomba United,Big Bullets,,lzyHGQhg,1,0,,,,0
1316863800,Silver Strikers,Blue Eagles,QcZKFp8a,QcZKFp8a,4,1,,,,0
1316863800,Moyale Barracks,Cobbe Barracks,8UtzRpDF,EwSHBouN,4,0,,,,0
