timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1718194500,PDRM FC,MUFT,x8cGSWV1,6XY4TkX1,0,3,,,,0
1718361000,Kuala Lumpur City,Kuching City FC,IN0VyIh2,vX1Rxbwd,2,2,AET,2,3,0
1718367300,Sri Pahang,Penang,Qwk1MJvH,hxFcDpEF,1,1,Pen,1,2,0
1718370000,Terengganu,Perak,ChKPjr8P,fm2XAoqA,2,1,,,,0
1718370000,Kedah,Bukit Tambun,vX1Rxbwd,tA7sCxvt,5,0,,,,0
1718443800,Selangor,Negeri Sembilan,M5v0Fw3E,rFudGJm8,4,0,,,,0
1718453700,Sabah,KL Rovers,EoGgEQb9,EPtEqcKN,7,0,,,,0
1718453700,Johor DT,Kelantan DNFC,d29rUy0U,rw6DByzH,4,0,,,,0
1719576900,Penang,Kedah,hxFcDpEF,vX1Rxbwd,0,1,,,,0
1719579600,Terengganu,Sabah,ChKPjr8P,EoGgEQb9,4,0,,,,0
1719653400,MUFT,Johor DT,6XY4TkX1,d29rUy0U,0,5,,,,0
1719663300,Kuching City FC,Selangor,vX1Rxbwd,M5v0Fw3E,2,1,,,,0
1720181700,Johor DT,MUFT,d29rUy0U,6XY4TkX1,8,0,,,,0
1720184400,Kedah,Penang,vX1Rxbwd,hxFcDpEF,0,0,,,,0
1720264500,Sabah,Terengganu,EoGgEQb9,ChKPjr8P,0,3,,,,0
1720270800,Selangor,Kuching City FC,M5v0Fw3E,vX1Rxbwd,3,2,Pen,4,2,0
1721391300,Kedah,Johor DT,vX1Rxbwd,d29rUy0U,1,2,,,,0
1721394000,Terengganu,Selangor,ChKPjr8P,M5v0Fw3E,3,2,,,,0
1722690000,Selangor,Terengganu,M5v0Fw3E,ChKPjr8P,4,1,,,,0
1722773700,Johor DT,Kedah,d29rUy0U,vX1Rxbwd,3,0,,,,0
1724504400,Johor DT,Selangor,d29rUy0U,M5v0Fw3E,6,1,,,,1
