timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1499173200,Terengganu 2,Perak 2,1,2,,,,0
1499173200,Sri Pahang,Negeri Sembilan,2,2,,,,0
1499173200,Selangor,Terengganu,1,1,,,,0
1499173200,Perak,Selangor 2,2,0,,,,0
1499173200,Kelantan,UiTM,3,1,,,,0
1499173200,Kedah,Melaka United,2,0,,,,0
1499173200,Johor DT,Sarawak FA,4,0,,,,0
1499173200,Felda Utd.,Kuala Lumpur City,0,0,,,,0
1499417100,Kuala Lumpur City,Perak,0,3,,,,0
1499432400,UiTM,Kedah,0,5,,,,0
1499432400,Terengganu,Johor DT,0,0,,,,0
1499432400,Perak 2,Sri Pahang,1,1,,,,0
1499432400,Negeri Sembilan,Terengganu 2,3,3,,,,0
1499516100,Sarawak FA,Selangor,1,2,,,,0
1499518800,Selangor 2,Felda Utd.,1,2,,,,0
1499518800,Melaka United,Kelantan,3,0,,,,0
1500367500,Perak 2,Negeri Sembilan,2,0,,,,0
1500380100,Sarawak FA,Terengganu,0,0,,,,0
1500382800,Terengganu 2,Sri Pahang,1,1,,,,0
1500382800,Selangor 2,Kuala Lumpur City,0,0,,,,0
1500382800,Selangor,Johor DT,3,2,,,,0
1500382800,Melaka United,UiTM,2,1,,,,0
1500382800,Kelantan,Kedah,3,1,,,,0
1500382800,Felda Utd.,Perak,1,1,,,,0
1501330500,Sarawak FA,Johor DT,0,2,,,,0
1501333200,UiTM,Kelantan,2,0,,,,0
1501333200,Terengganu,Selangor,2,3,,,,0
1501333200,Selangor 2,Perak,1,3,,,,0
1501333200,Perak 2,Terengganu 2,4,1,,,,0
1501333200,Negeri Sembilan,Sri Pahang,2,1,,,,0
1501333200,Melaka United,Kedah,2,6,,,,0
1501333200,Kuala Lumpur City,Felda Utd.,1,4,,,,0
1501592400,Terengganu 2,Negeri Sembilan,4,1,,,,0
1501592400,Sri Pahang,Perak 2,6,0,,,,0
1501592400,Perak,Kuala Lumpur City,2,0,,,,0
1501592400,Kedah,UiTM,1,0,,,,0
1501592400,Johor DT,Terengganu,5,0,,,,0
1501592400,Felda Utd.,Selangor 2,3,2,,,,0
1501678800,Selangor,Sarawak FA,1,2,,,,0
1501678800,Kelantan,Melaka United,2,3,,,,0
1504962000,UiTM,Melaka United,5,3,,,,0
1504962000,Terengganu,Sarawak FA,3,3,,,,0
1504962000,Sri Pahang,Terengganu 2,3,2,,,,0
1504962000,Perak,Felda Utd.,2,1,,,,0
1504962000,Negeri Sembilan,Perak 2,0,0,,,,0
1504962000,Kuala Lumpur City,Selangor 2,2,0,,,,0
1504962000,Kedah,Kelantan,2,0,,,,0
1504962000,Johor DT,Selangor,3,1,,,,0
1505480400,Selangor,Kedah,2,3,,,,0
1505480400,Melaka United,Johor DT,1,4,,,,0
1505480400,Felda Utd.,Perak 2,1,3,,,,0
1505566800,Sri Pahang,Perak,3,1,,,,0
1506258000,Perak 2,Felda Utd.,1,4,,,,0
1506258000,Perak,Sri Pahang,4,0,,,,0
1506258000,Kedah,Selangor,1,0,,,,0
1506258000,Johor DT,Melaka United,1,1,,,,0
1508072400,Perak,Johor DT,1,1,,,,0
1508072400,Felda Utd.,Kedah,1,1,,,,0
1508590800,Kedah,Felda Utd.,2,0,,,,0
1508590800,Johor DT,Perak,3,0,,,,0
1509800400,Kedah,Johor DT,0,2,,,,0
