timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1646393400,Sabah,Negeri Sembilan,0,1,,,,0
1646396100,Sarawak Utd.,Kedah,0,1,,,,0
1646398800,Kuala Lumpur City,Selangor,3,3,,,,0
1646398800,Johor DT,Penang,1,0,,,,0
1646485200,Petaling Jaya CFC,Melaka United,1,0,,,,0
1646744400,Penang,Melaka United,1,1,,,,0
1646825400,Sabah,Petaling Jaya CFC,3,1,,,,0
1646828100,Johor DT,Sarawak Utd.,6,0,,,,0
1646830800,Kedah,Kuala Lumpur City,3,2,,,,0
1649164500,Sarawak Utd.,Penang,1,1,,,,0
1649167200,Negeri Sembilan,Selangor,2,2,,,,0
1649167200,Melaka United,Sabah,0,1,,,,0
1649253600,Petaling Jaya CFC,Terengganu,3,0,,,,0
1649253600,Kuala Lumpur City,Johor DT,0,3,,,,0
1649253600,Kedah,Sri Pahang,1,0,,,,0
1649512800,Sri Pahang,Petaling Jaya CFC,1,1,,,,0
1649512800,Penang,Negeri Sembilan,1,1,,,,0
1649512800,Kuala Lumpur City,Melaka United,2,0,,,,0
1649596500,Sarawak Utd.,Sabah,0,1,,,,0
1649599200,Selangor,Kedah,4,1,,,,0
1649599200,Johor DT,Terengganu,2,1,,,,0
1650117600,Sri Pahang,Melaka United,1,2,,,,0
1650117600,Negeri Sembilan,Petaling Jaya CFC,3,1,,,,0
1650117600,Kuala Lumpur City,Sabah,2,0,,,,0
1650201300,Sarawak Utd.,Terengganu,0,2,,,,0
1650204000,Penang,Kedah,1,2,,,,0
1650636000,Terengganu,Selangor,2,0,,,,0
1650722400,Sri Pahang,Penang,3,1,,,,0
1650722400,Petaling Jaya CFC,Sarawak Utd.,1,3,,,,0
1650806100,Sabah,Kedah,4,0,,,,0
1650808800,Negeri Sembilan,Kuala Lumpur City,2,1,,,,0
1651240800,Selangor,Sri Pahang,3,1,,,,0
1651839300,Sarawak Utd.,Negeri Sembilan,1,2,,,,0
1651842000,Kedah,Melaka United,2,3,,,,0
1651925700,Kuala Lumpur City,Sri Pahang,1,2,,,,0
1652184900,Kuala Lumpur City,Penang,3,2,,,,0
1652187600,Petaling Jaya CFC,Kedah,3,3,,,,0
1652271300,Sri Pahang,Sarawak Utd.,1,2,,,,0
1652274000,Negeri Sembilan,Johor DT,0,1,,,,0
1652789700,Sarawak Utd.,Kuala Lumpur City,1,2,,,,0
1652792400,Penang,Sabah,2,4,,,,0
1652792400,Kedah,Negeri Sembilan,0,0,,,,0
1652876100,Johor DT,Sri Pahang,2,2,,,,0
1655554500,Sabah,Sri Pahang,2,1,,,,0
1655554500,Melaka United,Negeri Sembilan,0,0,,,,0
1655557200,Terengganu,Kuala Lumpur City,2,0,,,,0
1655557200,Penang,Petaling Jaya CFC,1,1,,,,0
1655643600,Selangor,Sarawak Utd.,7,0,,,,0
1655902800,Penang,Terengganu,2,1,,,,0
1656072900,Johor DT,Selangor,5,1,,,,0
1656159300,Negeri Sembilan,Sri Pahang,3,0,,,,0
1656162000,Melaka United,Sarawak Utd.,2,3,,,,0
1656421200,Selangor,Sabah,1,1,,,,0
1656421200,Johor DT,Petaling Jaya CFC,4,0,,,,0
1656507600,Terengganu,Negeri Sembilan,0,0,,,,0
1656766800,Melaka United,Johor DT,1,1,,,,0
1656850500,Negeri Sembilan,Sabah,0,1,,,,0
1656853200,Terengganu,Sri Pahang,2,1,,,,0
1657023300,Melaka United,Selangor,2,0,,,,0
1657887300,Sabah,Johor DT,1,2,,,,0
1657890000,Terengganu,Kedah,2,1,,,,0
1657973700,Kuala Lumpur City,Petaling Jaya CFC,0,0,,,,0
1657976400,Selangor,Penang,2,0,,,,0
1658232900,Sabah,Terengganu,2,1,,,,0
1658235600,Kedah,Sarawak Utd.,3,1,,,,0
1658322000,Selangor,Kuala Lumpur City,1,1,,,,0
1658322000,Penang,Johor DT,0,1,,,,0
1658322000,Melaka United,Petaling Jaya CFC,2,2,,,,0
1658837700,Petaling Jaya CFC,Sabah,1,2,,,,0
1658840400,Melaka United,Penang,4,1,,,,0
1658924100,Sri Pahang,Selangor,2,0,,,,0
1658924100,Sarawak Utd.,Johor DT,0,4,,,,0
1658926800,Negeri Sembilan,Terengganu,2,1,,,,0
