timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1417795200,Tombouctou,AS Bamako,zPhhIbBM,4lYOE4N5,0,0,,,,0
1417795200,AS Police,Real Bamako,OlLeDkzH,pbxKr6KI,0,0,,,,0
1417802400,CO Bamako,ASOM,4Kl9EWU2,hOHEEr9G,1,0,,,,0
1417881600,Djoliba,Mamahira,lngRcJD9,vgLkMC1k,2,1,,,,0
1417888800,CS Duguwolofila,CSK,OlLeDkzH,CrTzmp8m,3,1,,,,0
1417968000,Stade Malien,USFAS Bamako,8lJcxUEI,QcZKFp8a,3,0,,,,0
1417968000,Sabana de Mopti,Onze Createurs,MLMYsqaP,4lYOE4N5,2,2,,,,0
1417968000,Bakaridjan,AS Nianan,raL6XQE3,QcZKFp8a,0,2,,,,0
1418400000,Tombouctou,CO Bamako,zPhhIbBM,4Kl9EWU2,0,1,,,,0
1418400000,Mamahira,CSK,vgLkMC1k,CrTzmp8m,0,2,,,,0
1418400000,AS Police,Bakaridjan,OlLeDkzH,raL6XQE3,0,1,,,,0
1418486400,Stade Malien,Onze Createurs,8lJcxUEI,4lYOE4N5,2,2,,,,0
1418493600,AS Bamako,ASOM,4lYOE4N5,hOHEEr9G,0,0,,,,0
1418572800,Sabana de Mopti,USFAS Bamako,MLMYsqaP,QcZKFp8a,0,2,,,,0
1418572800,Djoliba,CS Duguwolofila,lngRcJD9,OlLeDkzH,2,1,,,,0
1418580000,Real Bamako,AS Nianan,pbxKr6KI,QcZKFp8a,3,1,,,,0
1419001200,CS Duguwolofila,Mamahira,OlLeDkzH,vgLkMC1k,2,1,,,,0
1419001200,AS Nianan,AS Police,QcZKFp8a,OlLeDkzH,0,2,,,,0
1419087600,Stade Malien,Sabana de Mopti,8lJcxUEI,MLMYsqaP,4,0,,,,0
1419087600,Onze Createurs,USFAS Bamako,4lYOE4N5,QcZKFp8a,0,0,,,,0
1419087600,Bakaridjan,Real Bamako,raL6XQE3,pbxKr6KI,1,1,,,,0
1419087600,AS Bamako,CO Bamako,4lYOE4N5,4Kl9EWU2,1,1,,,,0
1419174000,CSK,Djoliba,CrTzmp8m,lngRcJD9,1,0,,,,0
1419174000,ASOM,Tombouctou,hOHEEr9G,zPhhIbBM,2,0,,,,0
1419688800,CO Bamako,Real Bamako,4Kl9EWU2,pbxKr6KI,2,1,,,,0
1419688800,AS Bamako,Bakaridjan,4lYOE4N5,raL6XQE3,0,1,,,,0
1419775200,USFAS Bamako,Mamahira,QcZKFp8a,vgLkMC1k,0,1,,,,0
1419775200,Stade Malien,Djoliba,8lJcxUEI,lngRcJD9,0,0,,,,0
1419775200,Onze Createurs,CS Duguwolofila,4lYOE4N5,OlLeDkzH,1,0,,,,0
1419775200,CSK,Sabana de Mopti,CrTzmp8m,MLMYsqaP,4,1,,,,0
1419775200,ASOM,AS Nianan,hOHEEr9G,QcZKFp8a,1,2,,,,0
1419775200,AS Police,Tombouctou,OlLeDkzH,zPhhIbBM,1,1,,,,0
1420214400,AS Nianan,AS Bamako,QcZKFp8a,4lYOE4N5,1,0,,,,0
1420300800,Stade Malien,Mamahira,8lJcxUEI,vgLkMC1k,2,2,,,,0
1420300800,Real Bamako,Tombouctou,pbxKr6KI,zPhhIbBM,2,2,,,,0
