timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1665849600,USC Kita,AS Police,0,1,,,,0
1665849600,US Bougouni,CO Bamako,2,0,,,,0
1665849600,Bakaridjan,Stade Malien,2,1,,,,0
1665936000,USFAS Bamako,Binga,0,2,,,,0
1665943200,LC Bamako,Korofina,0,2,,,,0
1666022400,Onze Createurs,Foot Elite,0,3,,,,0
1666368000,USFAS Bamako,AS Police,1,0,,,,0
1666454400,USC Kita,Binga,1,0,,,,0
1667664000,Yeelen,CO Bamako,1,2,,,,0
1667671200,LC Bamako,Bakaridjan,0,1,,,,0
1667750400,Stade Malien,Korofina,0,1,,,,0
1667757600,Onze Createurs,Black Stars,1,0,,,,0
1668182400,Foot Elite,Korofina,0,0,,,,0
1668267900,US Bougouni,USC Kita,3,1,,,,0
1668267900,Bakaridjan,Black Stars,2,1,,,,0
1668268800,USFAS Bamako,Yeelen,2,1,,,,0
1668276000,AS Police,CO Bamako,1,1,,,,0
1668355200,Real Bamako,Binga,2,0,,,,0
1668362400,LC Bamako,Onze Createurs,1,0,,,,0
1668700800,Yeelen,Real Bamako,0,1,,,,0
1668959100,US Bougouni,Real Bamako,0,1,,,,0
1668960000,Djoliba,Black Stars,4,2,,,,0
1669219200,Djoliba,Foot Elite,1,0,,,,0
1669392000,Real Bamako,Bakaridjan,2,2,,,,0
1669399200,CO Bamako,Korofina,1,3,,,,0
1669477500,USC Kita,Onze Createurs,1,1,,,,0
1669477500,US Bougouni,LC Bamako,1,0,,,,0
1669478400,Binga,Black Stars,1,0,,,,0
1669485600,AS Police,Foot Elite,0,1,,,,0
1669564800,Djoliba,Stade Malien,1,0,,,,0
1669824000,USFAS Bamako,Djoliba,1,1,,,,0
1669910400,Yeelen,Stade Malien,0,2,,,,0
1669996800,Foot Elite,Real Bamako,1,1,,,,0
1670083200,Black Stars,CO Bamako,1,0,,,,0
1670090400,Korofina,Binga,0,0,,,,0
1670169600,Onze Createurs,Yeelen,0,1,,,,0
1670169600,Bakaridjan,AS Police,2,1,,,,0
1670176800,Stade Malien,USC Kita,2,1,,,,0
1670256000,LC Bamako,USFAS Bamako,0,0,,,,0
1670263200,Djoliba,US Bougouni,2,0,,,,0
1670687100,USC Kita,Djoliba,0,0,,,,0
1670687100,US Bougouni,Stade Malien,2,0,,,,0
1670688000,Real Bamako,Korofina,2,0,,,,0
1670688000,CO Bamako,Bakaridjan,1,0,,,,0
1670695200,Binga,Foot Elite,0,0,,,,0
1670774400,Yeelen,LC Bamako,1,2,,,,0
1670774400,AS Police,Black Stars,0,0,,,,0
1670781600,USFAS Bamako,Onze Createurs,1,1,,,,0
1671206400,Foot Elite,US Bougouni,1,0,,,,0
1671213600,AS Police,LC Bamako,1,1,,,,0
1671291900,Bakaridjan,USFAS Bamako,1,2,,,,0
1671292800,Korofina,USC Kita,2,0,,,,0
1671292800,Binga,Stade Malien,0,3,,,,0
1671300000,Black Stars,Yeelen,3,1,,,,0
1671465600,Real Bamako,Djoliba,1,1,,,,0
1671472800,CO Bamako,Onze Createurs,0,1,,,,0
1671552000,Black Stars,Foot Elite,1,0,,,,0
1671637500,USC Kita,USFAS Bamako,1,1,,,,0
1671638400,Stade Malien,LC Bamako,0,0,,,,0
1671638400,Korofina,Bakaridjan,0,0,,,,0
1671645600,Yeelen,US Bougouni,2,2,,,,0
1671724800,Onze Createurs,Djoliba,0,0,,,,0
1671724800,Binga,AS Police,2,0,,,,0
1671732000,CO Bamako,Real Bamako,0,3,,,,0
1672070400,Foot Elite,LC Bamako,0,1,,,,0
1672070400,Djoliba,Bakaridjan,2,0,,,,0
1672077600,Korofina,Onze Createurs,0,1,,,,0
1672156800,CO Bamako,USC Kita,0,0,,,,0
1672156800,Black Stars,Stade Malien,0,0,,,,0
1672164000,Binga,Yeelen,1,1,,,,0
1672243200,Real Bamako,USFAS Bamako,1,0,,,,0
1672250400,AS Police,US Bougouni,2,2,,,,0
1675440000,Binga,CO Bamako,0,0,,,,0
1675440000,AS Police,Real Bamako,1,0,,,,0
1675447200,Onze Createurs,Stade Malien,0,0,,,,0
1675525500,USC Kita,Yeelen,1,1,,,,0
1675525500,US Bougouni,USFAS Bamako,3,0,,,,0
1675525500,Bakaridjan,Foot Elite,0,1,,,,0
1675699200,Djoliba,LC Bamako,2,1,,,,0
1675706400,Black Stars,Korofina,2,2,,,,0
1676044800,Korofina,Djoliba,1,1,,,,0
1676130300,Bakaridjan,Onze Createurs,0,1,,,,0
1676131200,Foot Elite,Stade Malien,0,2,,,,0
1676138400,Black Stars,LC Bamako,2,1,,,,0
1676217600,CO Bamako,USFAS Bamako,1,1,,,,0
1676224800,AS Police,Yeelen,2,0,,,,0
1676304000,Binga,US Bougouni,0,0,,,,0
1679589000,USC Kita,Black Stars,0,3,,,,0
1679589000,US Bougouni,Bakaridjan,1,1,,,,0
1679589000,Djoliba,AS Police,0,0,,,,0
1679761800,LC Bamako,Real Bamako,1,1,,,,0
1679934600,Yeelen,Korofina,1,2,,,,0
1680107400,Onze Createurs,Binga,0,0,,,,0
1680280200,USFAS Bamako,Foot Elite,2,1,,,,0
1680366600,Bakaridjan,USC Kita,3,1,,,,0
1680366600,AS Police,Stade Malien,0,0,,,,0
1680453000,CO Bamako,Djoliba,0,0,,,,0
1680539400,Black Stars,US Bougouni,1,1,,,,0
1680625800,Binga,LC Bamako,1,1,,,,0
1680712200,Korofina,USFAS Bamako,0,0,,,,0
1680798600,Foot Elite,Yeelen,1,0,,,,0
1680885000,Real Bamako,Onze Createurs,2,3,,,,0
1681056900,USC Kita,Foot Elite,0,1,,,,0
1681056900,US Bougouni,Korofina,2,0,,,,0
1681056900,Binga,Djoliba,0,0,,,,0
1681229700,Yeelen,Bakaridjan,0,1,,,,0
1681229700,USFAS Bamako,Black Stars,3,0,,,,0
1681402500,Stade Malien,Real Bamako,0,0,,,,0
1681488900,LC Bamako,CO Bamako,2,3,,,,0
1681575300,Djoliba,Yeelen,4,0,,,,0
1681575300,Bakaridjan,Binga,1,0,,,,0
1681661700,Onze Createurs,AS Police,1,2,,,,0
1681661700,Black Stars,Real Bamako,0,1,,,,0
1681748100,Stade Malien,USFAS Bamako,0,0,,,,0
1681748100,Foot Elite,CO Bamako,0,1,,,,0
1681835400,LC Bamako,USC Kita,1,1,,,,0
1681920900,Onze Createurs,US Bougouni,2,1,,,,0
1681920900,Korofina,AS Police,0,1,,,,0
1682007300,Stade Malien,CO Bamako,2,0,,,,0
