timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1702409400,Kirkop,Lija,ITgD2zoA,dWnUZWVt,1,2,,,,0
1702462500,Melita,Qala Saints,4zR8yCNE,zo0dNtid,2,2,AET,5,7,0
1702465200,Victoria Wanderers,Marsa,zo0dNtid,ITgD2zoA,1,2,,,,0
1702471500,Msida,Xaghra,fN02vDNP,2TJ3K3yC,5,1,,,,0
1702472400,Zejtun,Kercem Ajax,dWnUZWVt,AsZNUoUm,1,1,AET,3,2,0
1702474200,Nadur,St. Andrews,hbK7bybG,zNoYYjom,1,1,Pen,3,2,0
1702481400,St. George's FC,Swieqi,dWnUZWVt,df1hOMyj,1,5,,,,0
1702483200,Oratory,Fgura,MPUUyBpO,vwe93GV3,0,2,,,,0
1702490400,Tarxien,Zebbug,6BT6bC1D,baoyosxj,1,2,,,,0
1702490400,Senglea,Pieta,tnFQZaTd,Ct4j2I6k,1,1,Pen,2,3,0
1705001400,Santa Lucia,Marsa,zojvecAo,ITgD2zoA,2,0,,,,0
1705150800,Zabbar,Zebbug,zPYfuFCs,baoyosxj,1,2,,,,0
1705150800,Floriana,Naxxar,xGkXZymr,UyZzkm66,2,0,,,,0
1705150800,Birkirkara,Attard,rDY9klCL,MyLf3SJl,3,1,,,,0
1705159800,Msida,Mgarr,fN02vDNP,dKhH1f0G,1,3,,,,0
1705159800,Mosta,Pieta,xGkXZymr,Ct4j2I6k,5,1,,,,0
1705159800,Marsaxlokk,Zejtun,bZmYBGs9,dWnUZWVt,5,0,,,,0
1705168800,Hamrun,Lija,j3L7suLi,dWnUZWVt,3,0,,,,0
1705226400,Balzan,Zurrieq,8SwKCrBK,zRR91HRC,2,1,,,,0
1705233600,Nadur,Sirens,hbK7bybG,vXHIUObM,1,1,Pen,1,2,0
1705237200,Luqa,Swieqi,zVZ6Di06,df1hOMyj,1,2,,,,0
1705237200,Hibernians,Qala Saints,WrjrBuU2,zo0dNtid,2,0,,,,0
1705242600,Xewkija,Gudja,zo0dNtid,fN02vDNP,0,3,,,,0
1705246200,Valletta,Ghajnsielem,WrjrBuU2,8nQv3C5f,7,1,,,,0
1705255200,Sliema,Marsaskala,YFbDUeTh,O0mnUy35,3,0,,,,0
1705338000,Gzira,Fgura,dWnUZWVt,vwe93GV3,2,0,,,,0
1707238800,Birkirkara,Sirens,rDY9klCL,vXHIUObM,0,0,AET,1,0,0
1707239700,Floriana,Zebbug,xGkXZymr,baoyosxj,7,1,,,,0
1707247800,Mosta,Valletta,xGkXZymr,WrjrBuU2,2,1,,,,0
1707248700,Marsaxlokk,Swieqi,bZmYBGs9,df1hOMyj,3,0,,,,0
1707325200,Gzira,Hibernians,dWnUZWVt,WrjrBuU2,1,0,,,,0
1707333300,Santa Lucia,Mgarr,zojvecAo,dKhH1f0G,2,2,Pen,3,4,0
1707334200,Sliema,Balzan,YFbDUeTh,8SwKCrBK,0,0,AET,1,0,0
1707419700,Hamrun,Gudja,j3L7suLi,fN02vDNP,3,0,,,,0
1711803600,Marsaxlokk,Floriana,bZmYBGs9,xGkXZymr,0,2,,,,0
1711803600,Gzira,Mgarr,dWnUZWVt,dKhH1f0G,2,0,,,,0
1711807200,Birkirkara,Hamrun,rDY9klCL,j3L7suLi,2,2,Pen,3,2,0
1711812600,Mosta,Sliema,xGkXZymr,YFbDUeTh,1,1,Pen,2,3,0
1715101200,Floriana,Gzira,xGkXZymr,dWnUZWVt,2,2,Pen,3,2,0
1715187600,Birkirkara,Sliema,rDY9klCL,YFbDUeTh,0,0,AET,0,1,0
1715522400,Floriana,Sliema,xGkXZymr,YFbDUeTh,0,0,Pen,0,1,0
