timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1094572800,Msida,Sliema,1,2,,,,0
1094580000,Valletta,Floriana,3,2,,,,0
1094655600,Zabbar,Hibernians,0,1,,,,0
1094662800,Marsaxlokk,Birkirkara,1,1,,,,0
1094914800,Lija,Pieta,0,4,,,,0
1094922000,Sliema,Valletta,3,1,,,,0
1094997600,Hibernians,Marsaxlokk,3,3,,,,0
1095004800,Birkirkara,Msida,5,3,,,,0
1095177600,Pieta,Zabbar,4,0,,,,0
1095184800,Floriana,Lija,4,0,,,,0
1095442200,Birkirkara,Hibernians,2,1,,,,0
1095516000,Marsaxlokk,Pieta,4,1,,,,0
1095523200,Msida,Valletta,4,1,,,,0
1095602400,Zabbar,Floriana,0,2,,,,0
1095609600,Lija,Sliema,0,4,,,,0
1095775200,Hibernians,Msida,1,1,,,,0
1095782400,Pieta,Birkirkara,1,1,,,,0
1096128000,Floriana,Marsaxlokk,1,0,,,,0
1096135200,Valletta,Lija,4,1,,,,0
1096207200,Sliema,Zabbar,2,1,,,,0
1096214400,Hibernians,Pieta,2,1,,,,0
1096560000,Msida,Lija,2,1,,,,0
1096567200,Birkirkara,Floriana,3,0,,,,0
1096646400,Zabbar,Valletta,1,2,,,,0
1096653600,Marsaxlokk,Sliema,1,3,,,,0
1097931600,Pieta,Msida,2,2,,,,0
1098018000,Lija,Zabbar,1,0,,,,0
1098025200,Sliema,Birkirkara,0,0,,,,0
1098532800,Msida,Marsaxlokk,1,2,,,,0
1098540000,Floriana,Sliema,0,2,,,,0
1098619200,Hibernians,Lija,2,1,,,,0
1098626400,Pieta,Valletta,2,3,,,,0
1098882000,Floriana,Hibernians,1,1,,,,0
1098889200,Valletta,Marsaxlokk,3,1,,,,0
1099227600,Marsaxlokk,Lija,5,1,,,,0
1099234800,Birkirkara,Zabbar,7,2,,,,0
1100905200,Hibernians,Sliema,2,3,,,,0
1100905200,Birkirkara,Valletta,1,2,,,,0
1100991600,Pieta,Floriana,2,3,,,,0
1100991600,Msida,Zabbar,3,1,,,,0
1101423600,Sliema,Pieta,1,0,,,,0
1101510000,Valletta,Hibernians,2,2,,,,0
1101510000,Lija,Birkirkara,1,6,,,,0
1101596400,Zabbar,Marsaxlokk,0,0,,,,0
1101596400,Floriana,Msida,1,1,,,,0
1102096800,Pieta,Lija,3,0,,,,0
1102165200,Floriana,Valletta,0,0,,,,0
1102172400,Birkirkara,Marsaxlokk,1,1,,,,0
1102247100,Hibernians,Zabbar,2,2,,,,0
1102254300,Sliema,Msida,1,1,,,,0
1102701600,Lija,Floriana,1,1,,,,0
1102851900,Zabbar,Pieta,0,5,,,,0
1102859100,Msida,Birkirkara,0,2,,,,0
1102942800,Marsaxlokk,Hibernians,1,2,,,,0
1102950000,Valletta,Sliema,3,2,,,,0
1103306400,Floriana,Zabbar,2,1,,,,0
1103461200,Valletta,Msida,5,1,,,,0
1103468400,Hibernians,Birkirkara,4,2,,,,0
1104674400,Lija,Valletta,1,2,,,,0
1104681600,Birkirkara,Pieta,2,3,,,,0
1104775200,Msida,Hibernians,0,2,,,,0
1104944400,Pieta,Marsaxlokk,0,3,,,,0
1104951600,Sliema,Lija,0,1,,,,0
1105120800,Valletta,Zabbar,5,0,,,,0
1105189200,Sliema,Marsaxlokk,2,1,,,,0
1105196400,Floriana,Birkirkara,1,3,,,,0
1105272000,Lija,Msida,1,2,,,,0
