timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1665766800,Nouadhibou,Madine Trarza,6,0,,,,0
1665776400,Tevragh-Zeina,SNIM,2,3,,,,0
1665853200,Nouakchott King's,Kaedi,2,0,,,,0
1665862800,Gendrim,Chemal,0,3,,,,0
1665939600,Douane,Police,2,0,,,,0
1665945600,Ksar,Garde Nationale,0,2,,,,0
1665949200,Inter Nouakchott,ASAC Concorde,2,1,,,,0
1666456200,Madine Trarza,Ksar,1,1,,,,0
1666456200,Kaedi,Gendrim,1,0,,,,0
1666458000,Chemal,Douane,1,1,,,,0
1666467600,ASAC Concorde,Nouakchott King's,1,2,,,,0
1666542600,SNIM,Inter Nouakchott,0,0,,,,0
1666544400,Garde Nationale,Tevragh-Zeina,0,1,,,,0
1666554000,Police,Nouadhibou,0,1,,,,0
1666976400,Nouadhibou,Chemal,3,2,,,,0
1666986000,Nouakchott King's,SNIM,2,0,,,,0
1667061000,Madine Trarza,Police,0,3,,,,0
1667062800,Ksar,Tevragh-Zeina,1,1,,,,0
1667072400,Douane,Kaedi,4,0,,,,0
1667149200,Inter Nouakchott,Garde Nationale,1,3,,,,0
1667158800,Gendrim,ASAC Concorde,1,2,,,,0
1667583000,Chemal,Madine Trarza,2,1,,,,0
1667665800,SNIM,Gendrim,0,0,,,,0
1667665800,Kaedi,Nouadhibou,1,1,,,,0
1667667600,ASAC Concorde,Douane,3,0,,,,0
1667677200,Tevragh-Zeina,Inter Nouakchott,0,0,,,,0
1667754000,Police,Ksar,2,1,,,,0
1667763600,Garde Nationale,Nouakchott King's,1,5,,,,0
1668270600,Madine Trarza,Kaedi,1,4,,,,0
1668272400,Gendrim,Garde Nationale,0,0,,,,0
1668282000,Ksar,Inter Nouakchott,1,2,,,,0
1668358800,Douane,SNIM,1,0,,,,0
1668368400,Police,Chemal,0,1,,,,0
1668445200,Nouakchott King's,Tevragh-Zeina,0,1,,,,0
1668454800,Nouadhibou,ASAC Concorde,3,2,,,,0
1668706200,Garde Nationale,Douane,2,1,,,,0
1668790800,ASAC Concorde,Madine Trarza,2,1,,,,0
1668800400,Tevragh-Zeina,Gendrim,1,0,,,,0
1668873600,SNIM,Nouadhibou,0,1,,,,0
1668874500,Kaedi,Police,0,0,,,,0
1668877200,Chemal,Ksar,2,1,,,,0
1668886800,Inter Nouakchott,Nouakchott King's,0,1,,,,0
1669222800,Police,ASAC Concorde,0,2,,,,0
1669232400,Douane,Tevragh-Zeina,0,0,,,,0
1669307400,Madine Trarza,SNIM,2,1,,,,0
