timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1322137800,Savanne,Cercle De Joachim,3,1,,,,0
1322224200,Petite Riviere,Curepipe Starl.,3,2,,,,0
1322397000,PAS Mates,Port Louis,1,2,,,,0
1322397000,Pamplemousses,AS Vacoas,0,2,,,,0
1322397000,Entente Boulet,Riviere Du Rempart,2,2,,,,0
1322829000,Pamplemousses,Port Louis,2,1,,,,0
1323001800,Savanne,Petite Riviere,2,2,,,,0
1323001800,Riviere Du Rempart,Curepipe Starl.,0,1,,,,0
1323001800,Entente Boulet,AS Vacoas,1,1,,,,0
1323001800,Cercle De Joachim,PAS Mates,3,0,,,,0
1323433800,Savanne,PAS Mates,2,0,,,,0
1323520200,Petite Riviere,Riviere Du Rempart,0,0,,,,0
1323520200,Entente Boulet,Port Louis,0,5,,,,0
1323520200,Curepipe Starl.,AS Vacoas,1,2,,,,0
1323520200,Cercle De Joachim,Pamplemousses,1,1,,,,0
1327667400,PAS Mates,Pamplemousses,1,4,,,,0
1327840200,Riviere Du Rempart,Savanne,2,1,,,,0
1327840200,Petite Riviere,AS Vacoas,0,0,,,,0
1327840200,Curepipe Starl.,Port Louis,1,2,,,,0
1327840200,Cercle De Joachim,Entente Boulet,3,0,,,,0
1328272200,Riviere Du Rempart,AS Vacoas,4,1,,,,0
1328445000,Petite Riviere,Port Louis,2,1,,,,0
1328445000,PAS Mates,Entente Boulet,0,0,,,,0
1328445000,Pamplemousses,Savanne,5,1,,,,0
1328445000,Curepipe Starl.,Cercle De Joachim,1,2,,,,0
1329913800,Riviere Du Rempart,Cercle De Joachim,3,0,,,,0
1330259400,Petite Riviere,PAS Mates,0,1,,,,0
1330259400,Entente Boulet,Savanne,1,3,,,,0
1330259400,Curepipe Starl.,Pamplemousses,3,0,,,,0
1330259400,AS Vacoas,Port Louis,0,0,,,,0
1330864200,Riviere Du Rempart,PAS Mates,1,0,,,,0
1330864200,Port Louis,Savanne,0,1,,,,0
1330864200,Petite Riviere,Pamplemousses,3,1,,,,0
1330864200,Entente Boulet,Curepipe Starl.,1,2,,,,0
1330864200,AS Vacoas,Cercle De Joachim,1,3,,,,0
1331123400,Petite Riviere,Cercle De Joachim,2,2,,,,0
1331123400,Pamplemousses,Entente Boulet,3,2,,,,0
1331123400,Curepipe Starl.,PAS Mates,5,4,,,,0
1331901000,Riviere Du Rempart,Pamplemousses,2,2,,,,0
1332073800,Petite Riviere,Entente Boulet,2,1,,,,0
1332073800,Curepipe Starl.,Savanne,3,1,,,,0
1332073800,AS Vacoas,PAS Mates,0,0,,,,0
1332333000,Savanne,AS Vacoas,3,0,,,,0
1332419400,Riviere Du Rempart,Port Louis,0,3,,,,0
1332675000,Savanne,Riviere Du Rempart,0,2,,,,0
1332675000,Port Louis,Curepipe Starl.,2,0,,,,0
1332675000,Pamplemousses,PAS Mates,2,0,,,,0
1332675000,Entente Boulet,Cercle De Joachim,2,3,,,,0
1332675000,AS Vacoas,Petite Riviere,0,1,,,,0
1333107000,Pamplemousses,Curepipe Starl.,6,1,,,,0
1333279800,Port Louis,AS Vacoas,0,0,,,,0
1333279800,Entente Boulet,Savanne,1,2,,,,0
1333279800,Cercle De Joachim,Riviere Du Rempart,2,1,,,,0
1334316600,Cercle De Joachim,Port Louis,0,1,,,,0
1334748600,Port Louis,Pamplemousses,2,1,,,,0
1334748600,Curepipe Starl.,Riviere Du Rempart,0,2,,,,0
1334748600,Cercle De Joachim,PAS Mates,0,0,,,,0
1334748600,AS Vacoas,Entente Boulet,3,1,,,,0
1335094200,Savanne,AS Vacoas,1,0,,,,0
1335094200,Port Louis,Riviere Du Rempart,0,1,,,,0
1335094200,Curepipe Starl.,PAS Mates,3,0,,,,0
1335094200,Cercle De Joachim,Petite Riviere,1,0,,,,0
1335180600,Pamplemousses,Entente Boulet,5,0,,,,0
1335526200,Riviere Du Rempart,Entente Boulet,6,0,,,,0
1335612600,Cercle De Joachim,Savanne,3,2,,,,0
1335699000,PAS Mates,Port Louis,0,1,,,,0
1335699000,Curepipe Starl.,Petite Riviere,0,2,,,,0
1335958200,Pamplemousses,AS Vacoas,1,0,,,,0
1336303800,Petite Riviere,Entente Boulet,2,3,,,,0
1336303800,PAS Mates,AS Vacoas,0,1,,,,0
1336303800,Pamplemousses,Riviere Du Rempart,3,0,,,,0
1336303800,Curepipe Starl.,Savanne,1,1,,,,0
1336303800,Cercle De Joachim,Port Louis,5,0,,,,0
1336563000,Petite Riviere,PAS Mates,2,0,,,,0
1336735800,Savanne,Port Louis,0,4,,,,0
1336908600,PAS Mates,Riviere Du Rempart,1,3,,,,0
1336908600,Pamplemousses,Petite Riviere,3,1,,,,0
1336908600,Curepipe Starl.,Entente Boulet,1,2,,,,0
1336908600,Cercle De Joachim,AS Vacoas,1,1,,,,0
1337167800,Petite Riviere,Savanne,5,0,,,,0
1337427000,Riviere Du Rempart,Petite Riviere,1,3,,,,0
1337513400,Savanne,PAS Mates,1,3,,,,0
1337513400,Pamplemousses,Cercle De Joachim,1,0,,,,0
1337513400,Entente Boulet,Port Louis,3,5,,,,0
1337513400,AS Vacoas,Curepipe Starl.,1,0,,,,0
1338118200,Savanne,Pamplemousses,0,1,,,,0
1338118200,Port Louis,Petite Riviere,2,0,,,,0
1338118200,Entente Boulet,PAS Mates,1,0,,,,0
1338118200,Cercle De Joachim,Curepipe Starl.,2,0,,,,0
1338118200,AS Vacoas,Riviere Du Rempart,2,1,,,,0
