timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1574508600,Petite Riviere,Savanne,ruXSDOxC,MLhiODrg,3,1,,,,0
1574510400,Cercle De Joachim,AS Vacoas,4lYOE4N5,I7URiLb3,1,6,,,,0
1574596800,La Cure Sylvester,Port Louis,fPmPpykK,ruXSDOxC,1,6,,,,0
1574692200,Pamplemousses,Grande Riviere,4lYOE4N5,jThasDOM,0,2,,,,0
1574692200,Bolton City,Entente Boulet,4t4SZPn3,fPmPpykK,1,1,,,,0
1575115200,Grande Riviere,Bolton City,jThasDOM,4t4SZPn3,0,2,,,,0
1575115200,AS Vacoas,Petite Riviere,I7URiLb3,ruXSDOxC,1,2,,,,0
1575201600,Port Louis,Savanne,ruXSDOxC,MLhiODrg,1,1,,,,0
1575201600,Entente Boulet,La Cure Sylvester,fPmPpykK,fPmPpykK,2,3,,,,0
1575205200,Pamplemousses,Cercle De Joachim,4lYOE4N5,4lYOE4N5,0,0,,,,0
1575720000,La Cure Sylvester,AS Vacoas,fPmPpykK,I7URiLb3,0,2,,,,0
1575720000,Grande Riviere,Petite Riviere,jThasDOM,ruXSDOxC,0,0,,,,0
1575723600,Savanne,Entente Boulet,MLhiODrg,fPmPpykK,2,7,,,,0
1575802800,Cercle De Joachim,Port Louis,4lYOE4N5,ruXSDOxC,0,3,,,,0
1575810000,Pamplemousses,Bolton City,4lYOE4N5,4t4SZPn3,0,2,,,,0
1576247400,Port Louis,Entente Boulet,ruXSDOxC,fPmPpykK,1,1,,,,0
1576328400,Cercle De Joachim,Bolton City,4lYOE4N5,4t4SZPn3,1,2,,,,0
1576411200,Savanne,AS Vacoas,MLhiODrg,I7URiLb3,2,6,,,,0
1576411200,Petite Riviere,Pamplemousses,ruXSDOxC,4lYOE4N5,1,2,,,,0
1576411200,Grande Riviere,La Cure Sylvester,jThasDOM,fPmPpykK,3,0,,,,0
1579435200,Savanne,Bolton City,MLhiODrg,4t4SZPn3,1,4,,,,0
1579435200,Port Louis,Grande Riviere,ruXSDOxC,jThasDOM,0,1,,,,0
1579435200,Cercle De Joachim,Entente Boulet,4lYOE4N5,fPmPpykK,2,1,,,,0
1580040000,Entente Boulet,Grande Riviere,fPmPpykK,jThasDOM,2,2,,,,0
1580558400,Savanne,Cercle De Joachim,MLhiODrg,4lYOE4N5,2,2,,,,0
1580558400,Port Louis,Petite Riviere,ruXSDOxC,ruXSDOxC,0,0,,,,0
1580558400,Entente Boulet,Pamplemousses,fPmPpykK,4lYOE4N5,2,6,,,,0
1580644800,Bolton City,La Cure Sylvester,4t4SZPn3,fPmPpykK,4,1,,,,0
1580652000,AS Vacoas,Grande Riviere,I7URiLb3,jThasDOM,0,1,,,,0
1580911200,AS Vacoas,Pamplemousses,I7URiLb3,4lYOE4N5,1,0,,,,0
1580997600,La Cure Sylvester,Petite Riviere,fPmPpykK,ruXSDOxC,2,0,,,,0
1581249600,Petite Riviere,Entente Boulet,ruXSDOxC,fPmPpykK,2,2,,,,0
1581249600,Pamplemousses,Port Louis,4lYOE4N5,ruXSDOxC,2,0,,,,0
1581249600,Grande Riviere,Cercle De Joachim,jThasDOM,4lYOE4N5,1,0,,,,0
1581249600,Bolton City,AS Vacoas,4t4SZPn3,I7URiLb3,2,0,,,,0
1581253200,La Cure Sylvester,Savanne,fPmPpykK,MLhiODrg,3,2,,,,0
1581516000,Cercle De Joachim,La Cure Sylvester,4lYOE4N5,fPmPpykK,2,1,,,,0
1581602400,Bolton City,Petite Riviere,4t4SZPn3,ruXSDOxC,2,2,,,,0
1581768000,La Cure Sylvester,Pamplemousses,fPmPpykK,4lYOE4N5,0,2,,,,0
1581768000,Entente Boulet,AS Vacoas,fPmPpykK,I7URiLb3,2,1,,,,0
1581852600,Grande Riviere,Savanne,jThasDOM,MLhiODrg,5,0,,,,0
1581854400,Port Louis,Bolton City,ruXSDOxC,4t4SZPn3,1,2,,,,0
1581854400,Cercle De Joachim,Petite Riviere,4lYOE4N5,ruXSDOxC,1,1,,,,0
1582034400,Pamplemousses,Savanne,4lYOE4N5,MLhiODrg,0,1,,,,0
1582372800,Savanne,Petite Riviere,MLhiODrg,ruXSDOxC,0,1,,,,0
1582372800,Grande Riviere,Pamplemousses,jThasDOM,4lYOE4N5,3,0,,,,0
1582372800,AS Vacoas,Cercle De Joachim,I7URiLb3,4lYOE4N5,1,0,,,,0
1582459200,Port Louis,La Cure Sylvester,ruXSDOxC,fPmPpykK,1,0,,,,0
1582459200,Entente Boulet,Bolton City,fPmPpykK,4t4SZPn3,1,3,,,,0
1582891200,Cercle De Joachim,Pamplemousses,4lYOE4N5,4lYOE4N5,2,2,,,,0
1582900200,La Cure Sylvester,Entente Boulet,fPmPpykK,fPmPpykK,3,2,,,,0
1583062200,Bolton City,Grande Riviere,4t4SZPn3,jThasDOM,1,3,,,,0
1583064000,Savanne,Port Louis,MLhiODrg,ruXSDOxC,1,3,,,,0
