timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1438128000,Pachuca,Atlante,1,1,,,,0
1438128000,Leones Negros,Atlas,0,0,,,,0
1438128000,Guadalajara Chivas,Zacatecas Mineros,2,0,,,,0
1438128000,Atl. San Luis,Club Leon,1,2,,,,0
1438135200,UNAM Pumas,Alebrijes Oaxaca,1,2,,,,0
1438135200,Lobos BUAP,Veracruz,0,2,,,,0
1438135200,Dorados de Sinaloa,Murcielagos,1,2,,,,0
1438135200,Club Tijuana,Zacatepec,2,1,,,,0
1438214400,Toluca,Necaxa,4,2,,,,0
1438214400,Chiapas,Cafetaleros,1,0,,,,0
1438214400,Celaya,Puebla,0,0,,,,0
1438219800,Venados,Cruz Azul,0,1,,,,0
1438221600,Correcaminos,Monterrey,1,3,,,,0
1438221600,Coras,Atl. Morelia,2,2,,,,0
1438732800,Zacatepec,Club Tijuana,1,2,,,,0
1438732800,Puebla,Celaya,2,0,,,,0
1438732800,Cruz Azul,Venados,0,1,,,,0
1438732800,Atl. Morelia,Coras,1,0,,,,0
1438740000,Veracruz,Lobos BUAP,2,1,,,,0
1438740000,Murcielagos,Dorados de Sinaloa,1,0,,,,0
1438740000,Atlante,Pachuca,3,2,,,,0
1438817400,Alebrijes Oaxaca,UNAM Pumas,1,1,,,,0
1438819200,Necaxa,Toluca,1,1,,,,0
1438819200,Club Leon,Atl. San Luis,3,3,,,,0
1438824600,Zacatecas Mineros,Guadalajara Chivas,0,1,,,,0
1438826400,Atlas,Leones Negros,1,0,,,,0
1439942400,Puebla,Lobos BUAP,0,5,,,,0
1439942400,Leones Negros,Dorados de Sinaloa,1,2,,,,0
1439942400,Correcaminos,Club Leon,1,3,,,,0
1439942400,Coras,Guadalajara Chivas,0,1,,,,0
1439949600,Veracruz,Celaya,1,2,,,,0
1439949600,UNAM Pumas,Cafetaleros,3,0,,,,0
1439949600,Necaxa,Club Tijuana,1,2,,,,0
1439949600,Murcielagos,Atlas,1,2,,,,0
1439949600,Atlante,Cruz Azul,0,2,,,,0
1440028800,Pachuca,Venados,4,1,,,,0
1440034200,Atl. San Luis,Monterrey,2,1,,,,0
1440034200,Atl. Morelia,Zacatecas Mineros,2,1,,,,0
1440036000,Zacatepec,Toluca,1,1,,,,0
1440036000,Chiapas,Alebrijes Oaxaca,3,3,,,,0
1440547200,Zacatecas Mineros,Atl. Morelia,0,0,,,,0
1440547200,Cruz Azul,Atlante,1,0,,,,0
1440547200,Club Leon,Correcaminos,2,1,,,,0
1440547200,Celaya,Veracruz,0,2,,,,0
1440554400,Venados,Pachuca,1,0,,,,0
1440554400,Monterrey,Atl. San Luis,1,1,,,,0
1440554400,Lobos BUAP,Puebla,0,1,,,,0
1440554400,Dorados de Sinaloa,Leones Negros,3,0,,,,0
1440554400,Cafetaleros,UNAM Pumas,2,0,,,,0
1440631800,Alebrijes Oaxaca,Chiapas,2,0,,,,0
1440633600,Toluca,Zacatepec,3,1,,,,0
1440633600,Atlas,Murcielagos,2,0,,,,0
1440639000,Guadalajara Chivas,Coras,1,1,,,,0
1440640800,Club Tijuana,Necaxa,4,3,,,,0
1441497600,Monterrey,Correcaminos,1,0,,,,0
1441504800,Cafetaleros,Chiapas,2,2,,,,0
1442361600,Zacatepec,Necaxa,5,2,,,,0
1442361600,Lobos BUAP,Celaya,2,0,,,,0
1442361600,Leones Negros,Murcielagos,2,0,,,,0
1442361600,Cruz Azul,Pachuca,2,1,,,,0
1442361600,Cafetaleros,Alebrijes Oaxaca,1,0,,,,0
1442361600,Atlante,Venados,1,0,,,,0
1442368800,Veracruz,Puebla,0,0,,,,0
1442368800,Guadalajara Chivas,Atl. Morelia,0,1,,,,0
