timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1186178100,Tecos,Pachuca,h0ev9zH7,zFZbB1JF,1,4,,,,0
1186264500,Tigres UANL,Atl. San Luis,zgtUoENa,dG08RUsN,0,0,,,,0
1186264500,Chiapas,Atlante,614q8irc,dAJb3Ws0,1,1,,,,0
1186264500,Atlas,Toluca,OtymR74A,0pHVJYjM,1,1,,,,0
1186264500,Atl. Morelia,Veracruz,vupRtYdp,GE0ZDLak,1,1,,,,0
1186333200,UNAM Pumas,Guadalajara Chivas,WdwQoCtd,lEs0thDm,1,1,,,,0
1186344000,Santos Laguna,Cruz Azul,bmPslben,nqhLBCKD,2,0,,,,0
1186347600,Necaxa,Monterrey,8rY7at7H,MVPKYVvK,3,2,,,,0
1186350900,Puebla,Club America,W6vdbCVa,OGkmEu0T,0,0,,,,0
1186782900,Veracruz,Atlas,GE0ZDLak,OtymR74A,2,1,,,,0
1186869300,Pachuca,Atl. Morelia,zFZbB1JF,vupRtYdp,3,1,,,,0
1186869300,Monterrey,Puebla,MVPKYVvK,W6vdbCVa,2,0,,,,0
1186869300,Guadalajara Chivas,Tecos,lEs0thDm,h0ev9zH7,0,0,,,,0
1186869300,Cruz Azul,Tigres UANL,nqhLBCKD,zgtUoENa,1,0,,,,0
1186869300,Atlante,UNAM Pumas,dAJb3Ws0,WdwQoCtd,1,0,,,,0
1186869300,Atl. San Luis,Necaxa,dG08RUsN,8rY7at7H,3,2,,,,0
1186938000,Toluca,Santos Laguna,0pHVJYjM,bmPslben,2,3,,,,0
1186952400,Club America,Chiapas,OGkmEu0T,614q8irc,6,1,,,,0
1187387700,Tecos,Atlante,h0ev9zH7,dAJb3Ws0,0,3,,,,0
1187474100,Tigres UANL,Toluca,zgtUoENa,0pHVJYjM,0,1,,,,0
1187474100,Chiapas,Monterrey,614q8irc,MVPKYVvK,0,0,,,,0
1187474100,Atlas,Pachuca,OtymR74A,zFZbB1JF,0,1,,,,0
1187474100,Atl. San Luis,Cruz Azul,dG08RUsN,nqhLBCKD,3,1,,,,0
1187542800,UNAM Pumas,Club America,WdwQoCtd,OGkmEu0T,1,1,,,,0
1187557200,Santos Laguna,Veracruz,bmPslben,GE0ZDLak,2,0,,,,0
1187557200,Necaxa,Puebla,8rY7at7H,W6vdbCVa,2,1,,,,0
1187560500,Atl. Morelia,Guadalajara Chivas,vupRtYdp,lEs0thDm,1,0,,,,0
1187992500,Veracruz,Tigres UANL,GE0ZDLak,zgtUoENa,2,1,,,,0
