timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1311383400,Tecos,Toluca,1,2,,,,0
1311458400,Pachuca,Santos Laguna,1,4,,,,0
1311465600,Tigres UANL,Cruz Azul,1,1,,,,0
1311465600,Club Tijuana,Atl. Morelia,1,2,,,,0
1311471900,Atlas,Puebla,0,1,,,,0
1311472800,Atlante,Guadalajara Chivas,0,2,,,,0
1311526800,UNAM Pumas,Atl. San Luis,2,0,,,,0
1311541200,Club America,Queretaro,2,1,,,,0
1311548400,Chiapas,Monterrey,1,4,,,,0
1312063200,Queretaro,Tigres UANL,0,0,,,,0
1312063200,Cruz Azul,Atlas,2,1,,,,0
1312070400,Santos Laguna,Atlante,3,0,,,,0
1312070400,Monterrey,Club Tijuana,4,2,,,,0
1312076700,Atl. San Luis,Tecos,2,1,,,,0
1312131600,Toluca,Club America,1,1,,,,0
1312131600,Puebla,Pachuca,2,2,,,,0
1312131600,Atl. Morelia,UNAM Pumas,0,1,,,,0
1312149600,Guadalajara Chivas,Chiapas,2,1,,,,0
1312416000,Club America,Tecos,1,2,,,,0
1312421400,Pachuca,Cruz Azul,1,0,,,,0
1312422300,Tigres UANL,Toluca,2,2,,,,0
1312422300,Atlas,Queretaro,3,0,,,,0
1312423200,UNAM Pumas,Monterrey,2,1,,,,0
1312423200,Atlante,Puebla,5,1,,,,0
1312664400,Cruz Azul,Atlante,2,1,,,,0
1312668000,Queretaro,Pachuca,2,1,,,,0
1312675200,Santos Laguna,Club Tijuana,1,3,,,,0
1312675200,Guadalajara Chivas,UNAM Pumas,0,0,,,,0
1312682400,Monterrey,Atl. Morelia,2,0,,,,0
1312736400,Toluca,Atlas,0,0,,,,0
1312736400,Puebla,Chiapas,1,2,,,,0
1312758000,Tecos,Tigres UANL,0,1,,,,0
1313197800,Atl. Morelia,Guadalajara Chivas,1,2,,,,0
1313272800,Atl. San Luis,Monterrey,1,0,,,,0
1313274600,Chiapas,Cruz Azul,1,1,,,,0
1313276400,Tigres UANL,Club America,2,2,,,,0
1313280000,Pachuca,Toluca,3,0,,,,0
1313286300,Atlas,Tecos,0,2,,,,0
1313287200,Atlante,Queretaro,1,3,,,,0
1313341200,UNAM Pumas,Santos Laguna,1,1,,,,0
1313348400,Club Tijuana,Puebla,1,1,,,,0
1313802600,Tecos,Pachuca,2,1,,,,0
1313874000,Cruz Azul,Club Tijuana,2,1,,,,0
1313877600,Queretaro,Chiapas,1,2,,,,0
1313884800,Tigres UANL,Atl. San Luis,1,0,,,,0
1313884800,Guadalajara Chivas,Monterrey,2,1,,,,0
1313946000,Toluca,Atlante,2,1,,,,0
1313946000,Puebla,UNAM Pumas,2,1,,,,0
1313960400,Club America,Atlas,5,2,,,,0
1314406800,Chiapas,Toluca,1,1,,,,0
1314489600,Pachuca,Club America,2,0,,,,0
1314489600,Monterrey,Santos Laguna,2,0,,,,0
1314495900,Atlas,Tigres UANL,0,1,,,,0
1314495900,Atl. San Luis,Guadalajara Chivas,2,0,,,,0
1314496800,Atlante,Tecos,2,1,,,,0
1314550800,UNAM Pumas,Cruz Azul,1,2,,,,0
1314558000,Club Tijuana,Queretaro,1,1,,,,0
1314572400,Atl. Morelia,Puebla,0,0,,,,0
1315004400,Club Tijuana,Guadalajara Chivas,0,1,,,,0
1315011600,Chiapas,Santos Laguna,3,2,,,,0
1315155600,Atl. San Luis,Atl. Morelia,2,3,,,,0
1315617000,Tecos,Chiapas,0,2,,,,0
1315692000,Queretaro,UNAM Pumas,4,0,,,,0
1315692000,Cruz Azul,Atl. Morelia,0,1,,,,0
1315699200,Tigres UANL,Pachuca,5,0,,,,0
1315699200,Santos Laguna,Guadalajara Chivas,1,1,,,,0
1315705500,Atlas,Atl. San Luis,1,1,,,,0
1315760400,Toluca,Club Tijuana,1,1,,,,0
1315760400,Puebla,Monterrey,3,3,,,,0
1315774800,Club America,Atlante,0,1,,,,0
1316050200,Club America,Atl. San Luis,2,2,,,,0
1316296800,Monterrey,Cruz Azul,1,2,,,,0
1316296800,Chiapas,Club America,5,3,,,,0
1316304000,Pachuca,Atlas,4,2,,,,0
1316304000,Guadalajara Chivas,Puebla,1,4,,,,0
1316310300,Atl. San Luis,Santos Laguna,0,1,,,,0
1316311200,Atlante,Tigres UANL,1,0,,,,0
1316365200,UNAM Pumas,Toluca,4,1,,,,0
1316372400,Club Tijuana,Tecos,0,2,,,,0
1316386800,Atl. Morelia,Queretaro,4,2,,,,0
1316901600,Queretaro,Monterrey,2,1,,,,0
1316901600,Cruz Azul,Guadalajara Chivas,1,1,,,,0
1316908800,Tigres UANL,Chiapas,1,1,,,,0
1316908800,Tecos,UNAM Pumas,1,2,,,,0
1316908800,Pachuca,Atl. San Luis,1,1,,,,0
1316915100,Atlas,Atlante,2,3,,,,0
1316970000,Toluca,Atl. Morelia,2,1,,,,0
1316970000,Puebla,Santos Laguna,1,2,,,,0
1316984400,Club America,Club Tijuana,1,1,,,,0
1317429900,Chiapas,Atlas,1,1,,,,0
1317502800,UNAM Pumas,Club America,1,0,,,,0
