date,home_team,away_team,home_score,away_score
21.05. 02:00,Toluca,Santos Laguna,1,1
18.05. 03:00,Santos Laguna,Toluca,2,1
14.05. 02:00,Club America,Santos Laguna,2,2
13.05. 19:00,Toluca,Club Tijuana,4,1
11.05. 04:30,Club Tijuana,Toluca,2,1
11.05. 02:30,Santos Laguna,Club America,4,1
07.05. 01:00,Santos Laguna,Tigres UANL,2,0
06.05. 19:00,Toluca,Atl. Morelia,2,2
06.05. 04:00,Monterrey,Club Tijuana,1,2
06.05. 02:00,Club America,UNAM Pumas,2,1
04.05. 04:30,Atl. Morelia,Toluca,2,2
04.05. 02:30,Tigres UANL,Santos Laguna,2,0
03.05. 04:30,Club Tijuana,Monterrey,1,1
03.05. 02:30,UNAM Pumas,Club America,1,4
30.04. 01:00,Veracruz,Cruz Azul,1,2
29.04. 19:00,UNAM Pumas,Queretaro,1,1
29.04. 04:06,Guadalajara Chivas,Club Leon,0,2
29.04. 04:00,Club America,Santos Laguna,1,0
29.04. 02:06,Pachuca,Atlas,0,0
29.04. 02:00,Tigres UANL,Monterrey,2,2
29.04. 00:00,Lobos BUAP,Puebla,0,1
28.04. 04:00,Club Tijuana,Toluca,1,0
28.04. 02:00,Atl. Morelia,Necaxa,2,2
23.04. 01:00,Santos Laguna,UNAM Pumas,1,2
22.04. 19:00,Toluca,Veracruz,3,0
22.04. 04:00,Necaxa,Tigres UANL,1,1
22.04. 02:06,Club Leon,Club Tijuana,1,1
22.04. 02:00,Monterrey,Lobos BUAP,4,0
22.04. 00:00,Cruz Azul,Atl. Morelia,2,0
22.04. 00:00,Queretaro,Pachuca,0,0
21.04. 04:00,Atlas,Guadalajara Chivas,1,0
21.04. 02:00,Puebla,Club America,3,1
16.04. 01:00,Veracruz,Club Leon,1,2
15.04. 19:00,UNAM Pumas,Puebla,4,2
15.04. 04:00,Club America,Monterrey,0,0
15.04. 03:30,Atl. Morelia,Toluca,0,1
15.04. 02:06,Pachuca,Santos Laguna,3,1
15.04. 02:00,Tigres UANL,Cruz Azul,2,2
15.04. 00:00,Lobos BUAP,Necaxa,0,1
14.04. 04:00,Atlas,Queretaro,1,0
14.04. 04:00,Club Tijuana,Guadalajara Chivas,3,0
09.04. 01:00,Santos Laguna,Queretaro,3,0
08.04. 19:00,Toluca,Tigres UANL,1,0
08.04. 04:06,Guadalajara Chivas,Veracruz,0,1
08.04. 04:00,Necaxa,Club America,1,1
08.04. 02:06,Club Leon,Atl. Morelia,2,3
08.04. 02:00,Monterrey,UNAM Pumas,2,1
08.04. 00:00,Cruz Azul,Lobos BUAP,1,0
07.04. 04:00,Club Tijuana,Atlas,2,2
07.04. 02:00,Puebla,Pachuca,2,6
02.04. 01:00,Veracruz,Club Tijuana,1,0
01.04. 19:00,UNAM Pumas,Necaxa,1,1
01.04. 05:00,Club America,Cruz Azul,2,1
01.04. 03:06,Pachuca,Monterrey,1,2
01.04. 03:00,Tigres UANL,Club Leon,4,1
01.04. 01:00,Lobos BUAP,Toluca,1,2
01.04. 01:00,Queretaro,Puebla,2,1
31.03. 05:00,Atlas,Santos Laguna,3,2
31.03. 03:00,Atl. Morelia,Guadalajara Chivas,1,2
19.03. 01:00,Veracruz,Atlas,3,1
18.03. 04:06,Guadalajara Chivas,Tigres UANL,0,0
18.03. 04:00,Club America,Toluca,1,2
18.03. 04:00,Necaxa,Pachuca,1,1
18.03. 02:06,Club Leon,Lobos BUAP,2,2
18.03. 02:00,Monterrey,Queretaro,3,1
18.03. 00:00,Cruz Azul,UNAM Pumas,1,1
17.03. 03:00,Club Tijuana,Atl. Morelia,1,1
17.03. 02:00,Puebla,Santos Laguna,0,1
12.03. 01:00,Santos Laguna,Monterrey,3,2
